year;month;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1975;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;6;0.3209606986899563;0.3363329583802025;0.3707093821510297;0.38626126126126126;0.37012987012987014;0.36560247167868176;0.3687315634218289;0.38645418326693226;0.4292929292929293;0.40698869475847893;0.4126819126819127;0.4040511727078891;0.3778751369112815;0.3565022421524664;0.34137931034482755;0.3536866359447005;0.353072625698324;0.3390928725701944;0.3276955602536998;0.3087179487179487;0.2887323943661972;0.2932932932932933;0.3017751479289941;0.30481809242871194;0.3053053053053053;0.3123689727463313;0.30836047774158526;0.31454340473506204;0.3395348837209302;0.3374858437146093;
1975;7;0.3286026200873362;0.3847019122609674;0.5251716247139588;0.3761261261261261;0.47619047619047616;0.47373841400617916;0.4670599803343166;0.48804780876494025;0.5101010101010102;0.5272353545734841;0.5405405405405406;0.5554371002132196;0.5596933187294633;0.5650224215246636;0.5758620689655173;0.5737327188940092;0.5586592178770949;0.5302375809935206;0.5031712473572939;0.4758974358974359;0.45271629778672035;0.4394394394394394;0.4270216962524655;0.4129793510324484;0.4064064064064064;0.4046121593291405;0.4017372421281216;0.399098083427283;0.40581395348837207;0.38731596828992076;0.3598233995584989
1975;8;0.33842794759825323;0.32620922384701917;0.3226544622425629;0.3141891891891892;0.3106060606060606;0.305870236869207;0.29006882989183874;0.2848605577689243;0.28383838383838383;0.2795477903391572;0.24220374220374222;0.279317697228145;0.27491785323110624;0.281390134529148;0.34022988505747126;0.3663594470046083;0.3966480446927374;0.39740820734341253;0.3900634249471459;0.40820512820512816;0.42655935613682094;0.45145145145145144;0.46153846153846156;0.4788593903638152;0.49549549549549554;0.5157232704402516;0.5461454940282302;0.5715896279594137;0.591860465116279;0.5809739524348811;0.5849889624724063
1975;9;0.5840611353711791;0.5916760404949382;0.6041189931350115;0.5867117117117117;0.550865800865801;0.5190525231719877;0.48967551622418876;0.4900398406374502;0.503030303030303;0.5056526207605345;0.43243243243243246;0.4434968017057569;0.529025191675794;0.5347533632286996;0.5367816091954023;0.5241935483870968;0.4994413407821229;0.4708423326133909;0.452431289640592;0.4492307692307692;0.4406438631790745;0.44044044044044045;0.43984220907297833;0.45034414945919377;0.47147147147147145;0.5020964360587002;0.5233441910966341;0.5422773393461104;0.5616279069767441;0.5447338618346547;
1975;10;0.5207423580786026;0.5264341957255344;0.5274599542334096;0.518018018018018;0.5054112554112554;0.4850669412976313;0.4680432645034415;0.4721115537848606;0.4808080808080808;0.4779033915724563;0.48856548856548854;0.5106609808102345;0.5323110624315444;0.5538116591928252;0.5839080459770115;0.5933179723502304;0.5865921787709497;0.5593952483801297;0.540169133192389;0.5261538461538462;0.5140845070422536;0.5165165165165165;0.4861932938856016;0.48279252704031467;0.4864864864864865;0.5073375262054507;0.5276872964169381;0.5467869222096956;0.5593023255813953;0.5651189127972821;0.5607064017660044
1975;11;0.5589519650655022;0.5804274465691789;0.5972540045766591;0.5844594594594594;0.5573593073593074;0.5231719876416067;0.49655850540806296;0.4960159362549801;0.5050505050505051;0.5282631038026722;0.5353430353430354;0.5522388059701492;0.5728368017524643;0.5908071748878924;0.6229885057471265;0.6186635944700462;0.6156424581005586;0.5831533477321815;0.5676532769556025;0.5476923076923077;0.5261569416498995;0.5225225225225225;0.5029585798816568;0.49754178957718787;0.5015015015015015;0.5167714884696016;0.5331161780673181;0.5400225479143179;0.5430232558139534;0.520951302378256;
1975;12;0.48799126637554585;0.5028121484814398;0.5183066361556065;0.5191441441441441;0.5054112554112554;0.4891864057672502;0.4768928220255654;0.49302788844621515;0.5111111111111112;0.5272353545734841;0.5353430353430354;0.5469083155650319;0.5531215772179627;0.5594170403587444;0.5666666666666668;0.5610599078341014;0.5396648044692737;0.511879049676026;0.4947145877378436;0.4758974358974359;0.4627766599597586;0.45545545545545546;0.4457593688362919;0.4454277286135694;0.45045045045045046;0.4643605870020965;0.4625407166123779;0.46110484780157834;0.4616279069767442;0.4371460928652322;0.40728476821192056
1976;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976;3;0.11790393013100436;0.12935883014623173;0.13043478260869565;0.13963963963963963;0.1515151515151515;0.1513903192584964;0.13962635201573256;0.13944223107569723;0.13636363636363635;0.13360739979445016;0.0893970893970894;0.06716417910447761;0.0700985761226725;0.07286995515695067;0.07586206896551723;0.0771889400921659;0.07932960893854747;0.0755939524838013;0.07505285412262157;0.07384615384615384;0.07444668008048291;0.07607607607607608;0.06903353057199212;0.07472959685349066;0.07707707707707707;0.07232704402515724;0.06731813246471227;0.06877113866967305;0.0755813953488372;0.07587768969422423;0.0739514348785872
