Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
TABLA 2. PRODUCCIÓN OBTENIDA DE LOS PRINCIPALES PRODUCTOS AGRÍCOLAS TOTAL NACIONAL 1987 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Toneladas)
Años,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017
Cultivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transitorios,7812330,8155820,8855370,8753150,8349403.9,7653453.648999998,8063789.236,8250352.9805999985,8083909.753766666,7820898.760899998,8126563.8473000005,7329906.512500001,8240218.7650999995,8798191.1699,8718683.39526711,8305049.7304,8704760.336,9093357.898999998,8468913.720999999,8764013.77,8766221.3,9000500.9,9405469.425,8899319.5,8748600.45,9046548.840000002,9107485.0,9001167.710925762,9500444.734659372,10412198.960421348,11207369.188997913
Fríjol,90425,95900,97700,132150,108016,119756,121927,134955.9,163554.84,135725.54,136592.78999999998,114503.01999999999,121980.65,124559.07,123191.9,118455.85,125338.43,127429.84999999999,141210.86,135230,154103.0,145307.0,147017.0,136626.0,129668.08,137249.22,142747.0,149027.0,139779.0,133385.0,134527
Maíz Tecnificado,198600,190300,228400,265600,331217.9,268532.299,263252.73600000003,298785.5666,261456.97710000002,270913.5719,323675.8673,268482.7535,371892.59219999996,543682.9629,529331.74005711,521768.9,549057.19,648885.05,623407,638130,622094.0,625941.0,612106.0,516082.0,517441.7,651899.3,756009.0,744118.0,745560.0,1008578.0,1046204
Maíz Tradicional,661000,717500,815400,947700,973800,812755,892827,886577.82,776171.79,709533.904,668452.41,498631.8,599309.6429000001,660787.72,643656.4250100001,610298.4199999999,638138.44,714673.4199999999,685999.26,707275.96,695929.0,651551.0,626921.0,552976.9,555885.62,556282.22,609419.0,604905.0,528782.0,486735.0,543186
Maíz Total,859600,907800,1043800,1213300,1305017.9,1081287.299,1156079.736,1185363.3865999999,1037628.7671,980447.4759,992128.2773,767114.5534999999,971202.2351,1204470.6829,1172988.1650671102,1132067.3199999998,1187195.63,1363558.47,1309406.26,1345405.96,1318023.0,1277492.0,1239027.0,1069058.9,1073327.32,1208181.52,1365428.0,1349023.0,1274342.0,1495313.0,1589390
Sorgo,703800,706600,695200,777400,738300,751785,633304,649318.804,553818,444793.5,329705.6,189307.09,198758.3,217565.16,212374.3,222601.365,246308.83000000002,248111.58,219873.2,168436,130534.5,62448.0,61810.0,47371.0,45018.0,24066.0,18265.0,19322.0,10374.0,10315.0,7747
Soya,128210,115400,177400,232140,193597,96002,113213,109391,94992.5,58103.08,90297.3,71965.79999999999,39429.100000000006,37829.44,55655.9,60920.7,57706.75,69034.9,57991.4,48565,55642.0,55591.0,63795.0,58273.0,71171.0,104506.0,85943.0,90926.0,102553.0,105902.0,165388
Trigo,74200,62500,79700,104800,93900,75219,96303,105183,74126.2,64623.2,50180.9,39064.2,40007.8,42496.6,27517.35,36450.32,41386.42,43148.899999999994,50011.2,39688.2,43952.0,26264.0,20092.0,14511.0,12754.0,8990.0,8347.0,6481.0,4265.0,3185.0,2943
Maní,5950,6300,8550,4760,5384,4228,8952,9176,7661,9084.9,6327.700000000001,2308.3,6438.7,4503.6,3204,1989.3000000000002,2220,1838.7,2854,3365,2595.0,3550.0,3158.0,5171.0,4385.0,3082.0,2149.0,1757.0,1895.0,2509.0,3974
Hortalizas,1419920,1485000,1566500,1284800,1272100,1142412,1220885,1249094,1277555,1303106,1821584.713,1597783.759,1716196.4290000002,1710008.957,1726006.3302000002,1360085.8954,1379823.476,1371991.099,1428963.121,1642746.51,1679737.0,1773382.0,1822050.0,1762274.0,1788133.0,1966939.0,2047749.0,1944062.7109257616,1921243.7346593714,2005486.960421348,2207103.188997913
Permanentes,8779621.587853115,9015631.69017305,9388967.985902945,10325809.206749536,10798985.103109159,11723126.434686773,12001501.319524154,12236064.13906198,12705722.463631868,12913528.045450002,12527849.410363995,12294239.247328103,12935962.507659033,13203486.524038672,13516176.673980659,13667078.553918332,14222651.625311479,14640512.369939908,14729684.393472113,14717644.401166078,15639694.361740008,15137231.88385,15622497.233059995,15507656.916900001,16034875.789925639,16364219.383000001,17525510.92942992,16987111.097649995,17433030.64729454,18401951.0463926,19508119.489817057
