Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
TABLA 85.  EXISTENCIAS FÍSICAS A FIN DE MES EN ALMACENES GENERALES DE DEPÓSITO 1996- 2017.,,,,,,,,,,,,
,,,,,,,,,,,            ( Toneladas),
Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
,,,,,,,,,,,,
ARROZ PADDY ,,,,,,,,,,,,
1996,173000,192800,141900,103800,73700,62700,56400,76900,132300,166200,162100,135100
1997,154549,121582,77866,47350,30786,29769,12856,52779,128014,124814,115001,64829
1998,82400,60823,52201,47716,35187,38121,45857,84429,190000,170425,168598,151206
1999,114156,372416,340017,303552,355395,267811,270355,297786,110047,134820,115624,103569
2000,91620,95912,93638,70382,37627,33315,32040,82470,153751,180722,142083,190800
2001,61506.02046677818,79427.1369218358,78304.14126027301,76673.38245354073,56895.50084548417,45096,53209,151917,188560,289744,301508,296227
2002,272859,158111,136722,117765,74590,48819,43584,72928,168656,213231,251652,206854
2003,144010,155912,135731,98722,67440,31030,39632,113509,225412,319628,308942,238394
2004,209424,188456,190108,156202,141112,98193,143351,170275,441601,533934,433784,502922
2005,379164,345543,339641,308463,276451,241080,577037,625507,694417,729337,791624,349419
2006,328393,285956,190396,164577,134309,90819,85032,97025,138463,111830,106890,101689
2007,98508,101689,103169,94187,74065,64715,52970,86363,199907,146840,16646788,20946357
2008, 22.264.714, 12.945.841, 13.497.984, 13.746.997, 9.316.485, 47.545, 33.066, 1.569.232, 8.175.723, 4.738.321, 3.788.245, 3.795.177
2009,2929109,1299958,116516,107211,86823,67063,54195,109129,338233,416671,652384,397376
2010,394698,220052,351985,65117,48887,24939,23699,22723,105348,125260,532501,769608
2011,763345,847613,88841,82442,58841,34647,32920,188478,247586,240687,232288,175481
2012,99428,74083,62953,49796,28639,22477,18724,4882327,39470,19075319,33199,33116
2013,39584,39337,34488,30648,18188,16612,11941,17822,67682,64792478,38744235,43469680
2014,36767787,36756600,36758335,36755339,15328189,10333787,17650,22423,30430,39403,43225,39137
2015,34456,7748739,553381,4366224,2814751,1807597,1508210,1510483,7877496,16158650,11269303,5636433
2016,4083693,29306,1425530,1418952,1165845,911270,1658004,4828502,198953,411895,485422,497933
2017,455692,12596430,433013,377562,69675,24585,24873,36565,57091,78357,78769,71193
CEBADA,,,,,,,,,,,,
1996,2100,1900,300,8600,11500,11800,12600,10300,7600,6800,7200,3300
1997,1547,1309,1350,1345,1170,1404,1635,1660,1538,5315,3561,13365
1998,9282,2420,997,430,622,472,308,457,3737,3467,3443,1708
1999,1164,727,534,320,320,268,308,450,13408,11917,5497,639
2000,430,324,276,33,1489,3674,2444,4774,2167,580,1637,379
2001,432,702,516,267,29,19,0,87,87,23,155,62
2002,18,0,0,19,108.014473270598,11,34,332,1083,3560,1157,1075
2003,713,378,89,1,102,103,170,151,146,0,74,64
2004,0,0,0,0,0,0,45,71,61,2,1,0
2005,0,0,0,0,8,53,40,0,0,664,657,437
2006,218,1,292,291,0,0,0,0,2,2,0,0
2007,376,0,0,0,0,0,0,0,0,2,1,0
2008,0,0,53,3,0,0,0,0,37,0,0,0
2009,0,194,71,22,21,21,45,402,259,94,95,94
2010,46,194,28,28,28,28,28,190,276,354,212,137
2011,166,225,74,24,23,51,22,54,113,117,117,115
2012,359,397,1019,286,16,1,16,23,225,237,292,242
2013,506,638,699,683,683,479,411,626,1330,1443,1222,1164
2014,1208,1319,1445,1427,955,591,282,407,598,378,152,578
2015,22,58,105,119,119,0,28,50,225,0,1,0
2016,78,69,34,9,55,55,55,204,850,1729,650,385
2017,223,979,379,280,1289,93,81,940,1367,1254,1047,834
MAIZ,,,,,,,,,,,,
1996,85200,77800,88700,81700,95300,76600,59800,49100,32900,32100,50900,58900
1997,77445,101872,67859,87189,82179,51425,47985,48757,61901,50841,39136,38532
1998,56143,58731,45463,65062,42935,56195,43432,48789,66306,41939,37841,27983
1999,21352,33322,24264,15970,26373,161226,122904,128692,125697,132462,22104,126437
2000,121780,156670,152577,143130,150759,139060,150069,96450,117750,147758,126336,136576
2001,37975.55553066367,37179.52328654501,34447.32039678903,29901.582645434217,20887,15019,21928,12425.422507646887,52191.72791338221,64572,46023,42002
2002,32888,44417,33883,39456,23081,18308,62196.11249518292,95881.1779200019,91423.71819286853,58846,43064,42331
2003,41998,50409,44346,36191,17194,51206,53818,69607,67534,45681,35840,42550
2004,54956,85855,90800,67540,74959,96479,72579,96403,168104,153273,107144,76049
2005,71499,69837,66026,68250,67821,474208,436998,1462086,149526,105338,51521,47935
2006,61941,56504,181968,38204,40638,41552,38842,53609,432313,67219,127350,181314
2007,144381,182787,459440,85466,75736,57977,62820,617610,662457,548089,532748,695791
2008, 671.582, 732.016, 3.646.812, 886.233, 2.361.702, 141.339, 22.618, 475.990, 69.693, 66.083, 55.308, 49.689
2009,38047,35067,34351,36094,25039,45368,43806,41039,51849,29006,23351,40597
2010,23634,51045,29590,27226,22433,23526,37450,32908,57377,54006,53521,37364
2011,42343,39482,57349,37475,257438,154032,133991,92916,95261,91880,88639,54477
2012,50823,43594,51671,30244,44411,47551,49030.229999999996,39495,86906,72380,63193,42709
2013,45970,43203,40528,42293,22587,20440,25439,38577,37335,51877,65189,53350
2014,30898,21577,59124,68068,52428,77452,44071,237928,37239,215771,177104,118820
2015,69788,102850,105133,170623,156700,140588,185859,96744,71466,121533,129961,152076
2016,906664,104394,215848,109929,296183,81796,52851,37271,190006,188867,44353,52019
2017,26244,29900,57419,132729,107357,157405,52146,44640,10197,24817,25262,17444
SORGO,,,,,,,,,,,,
1996,35000,71900,66800,43100,22100,14100,20800,13900,18800,12900,6400,6700
