Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
TABLA 66.  VENTAS MENSUALES DE FERTILIZANTES AL SECTOR CAFETERO 2006 -2017,,,,,,,,,,,,,
,,,,,,,,,,,,,(Miles de toneladas)
AÑO,,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017
,,,,,,,,,,,,,
Enero,,11.80805,8.24775,15.720450000000001,10.809700000000001,11.6995,18.04475,12.26285,10.368,10.70555,13.01045,8.328,10.509
Febrero,,13.445049999999998,10.3321,18.677,17.3006,15.64245,14.192049999999997,14.592,13.27595,9.514,10.7884,11.082,14.684
Marzo,,12.6863,11.171850000000001,4.544,13.12825,10.939200000000001,18.20955,11.366,8.62175,9.6091,10.14555,13.679,8.851
Abril,,10.19285,14.91065,3.912,7.5572,11.905149999999999,7.67615,12.359,14.59225,11.872,4.739,9.962,7.865
Mayo,,12.09895,9.733319999999999,6.3426,12.13645,11.1976,10.8204,14.038,14.01615,13.43875,7.84,12.508,8.523
Junio,,14.40925,12.145700000000001,11.95435,13.1132,15.3245,13.444,16.299,12.62995,13.8325,13.188,16.905,13.139
Julio,,11.2125,12.207049999999999,10.99485,9.68625,17.7879,12.766,15.82,13.09895,14.14675,11.402,6.111,9.968
Agosto,,18.6486,13.554,7.39065,10.75075,10.14975,15.218,13.059,7.0398,8.553,14.664,16.899,9.887
Septiembre,,7.34975,18.31125,12.5617,11.51615,12.09985,20.445,8.216,6.96894,9.4526,15.951,11.983,
Octubre,,7.7489,8.695,4.0251,12.42175,11.0428,12.594,12.966,7.7534,12.2393,15.90125,10.987,
Noviembre,,14.46575,15.256950000000002,3.0635,12.95285,12.8655,16.44,12.98715,9.2855,14.3798,16.193,20.476,
Diciembre,,14.0336,14.0481,6.38835,16.6815,12.67705,10.064,11.47075,7.914525,12.732,17.079,21.654,
TOTAL,,148.09955,148.61372,105.57454999999999,148.05465,153.33125000000004,169.91389999999998,155.43574999999998,125.565165,140.47535,150.90165000000002,160.574,139.151
FUENTE:  FEDERACAFE - Agroinsumos del Café S.A.,,,,,,,,,,,,,
Corresponde a Ventas de Agroinsumos del Café ( Aporta en promedio el 58% del sector cafetero).,,,,,,,,,,,,,
Nota informe gerente general de FNC: El cálculo supone que las ventas de fertilizantes de Agroinsumos del Café corresponden al 45% del volumen total requerido por el sector cafetero,,,,,,,,,,,,,
