TABLA 106. PRECIOS MENSUALES DE LOS PRINCIPALES FERTILIZANTES COMERCIALIZADOS EN COLOMBIA  2006 - 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,($/Ton)
Producto,UREA,DAP,KCL,15-15-15,17-6-18-2,18-18-18,13-26-6,10-30-10,10-20-20
Mes,,,,,,,,,
,,,,,,,,,
Diciembre,945826.5260894854,1235184.7671705862,994477.2929574072,1195096.6303514908,1169847.9591407399,1165818.8426431925,1278017.419182053,1363259.897073014,1086060.9115435649
2013,,,,,,,,,
Enero,932287.0113865209,1197684.828079979,998521.7336356919,1176238.7586198242,1143381.5738112554,1130971.4775450367,1269545.1007987387,1341768.5767633275,1299550.4723408418
Febrero,890997.1723867282,1121720.333662389,945118.5080954644,1163408.1923178602,1126891.942716588,1098173.428916301,1232910.867763755,1320484.6920262235,1274506.7424599435
Marzo,910656.568434999,1114001.849969087,984490.2282094273,1144443.7678220011,1143297.5359453445,1101073.80792234,1207164.3296523518,1318934.6925486824,1256612.815332457
Abril,898701.3781697832,1138029.8668521738,962312.6364523597,1138323.143092975,1128665.407603328,1092191.8993637094,1190850.468601239,1315216.3891710462,1259815.9237415993
Mayo,892253.4108002041,1138623.5258440594,959130.9142609108,1110399.5111861862,1126506.4300946554,1065073.0905087222,1174745.465086112,1293734.7661029713,1253350.0561811298
Junio,919998.537448676,1143063.8011447755,966964.558192659,1120899.4920731331,1126840.5267161247,1076360.948108998,1167393.8394305864,1297711.227268517,1247872.9895887861
Julio,885529.0760626992,1138709.0807081794,927984.4120372167,1151910.9058199541,1119246.7490318618,1067124.0570984336,1195880.8489594532,1300861.9898709361,1249427.9103543258
Agosto,853716.1329137266,1137570.7012873439,955842.4095030002,1170406.7770634894,1143194.7373220173,1068525.6230015603,1193966.8290936658,1322991.0278514589,1262562.497510456
Septiembre,806882.7117186596,1115082.5197962907,989032.4868033679,1167230.274462171,1123188.8031646626,1047696.3933639817,1200058.6954192338,1297204.0149514761,1273668.368
Octubre,821798.544833705,1104907.9093905478,907089.5730105105,1155281.5583847535,1133107.5067537348,1022344.3073274698,1219252.5229644163,1297457.890259464,1279252.2611664694
Noviembre,830154.5237903032,1094451.7772024164,897508.2169107897,1120114.7412494225,1112071.803339663,997175.7697817478,1178337.9042729319,1245757.0327700973,1261259.2216022597
Diciembre,814260.0450129465,1093337.812971958,888557.5278545149,1085078.5153823108,1083630.8716297788,992885.5622523812,1176939.2202966,1384157.5656194752,1126292.837442146
2014,,,,,,,,,
Enero,895462.4011705595,1106152.614457334,876597.384540504,1094773.1326347825,1093099.2877416727,1056435.8340569765,1169830.6084070795,1195919.903122863,1142030.3392836924
Febrero,983563.2518362058,1110163.9496447176,867052.8507742146,1101210.735460958,1094135.9126809286,1070101.9263709574,1187125.99921063,1201380.2295182154,1172489.2120793571
Marzo,978188.0202001178,1133600.4752042932,855050.9405545366,1107708.6199223995,1090563.919676603,1051866.8031913738,1177606.2035726323,1231519.8485635167,1179177.4463106247
Abril,960216.1560285849,1164521.8112730908,830631.0125858897,1096040.5078333083,1086697.3472422627,1034566.0148469481,1170932.576083774,1215689.9570411346,1172239.7746158224
Mayo,951014.5206112935,1158179.7903319744,858089.3768096587,1095225.3240281374,1082533.517702387,1018263.5934595804,1175402.9481742892,1204017.2125095774,1160388.0065566227
Junio,920415.1425267988,1152476.5577017702,821809.720627594,1084445.7860511157,1068006.6888848492,1003062.1896501029,1172969.0904837498,1171273.563343674,1134004.1093135912
Julio,874033.9140711171,1135413.1551304846,825232.175018561,1067950.713886047,1071288.0991938023,996753.5915799962,1152070.840270488,1174786.253709909,1147778.324954687
Agosto,848624.1943025903,1145366.6163504266,800473.1823556081,1062462.8013678305,1063143.9435919048,986641.136915078,1158325.7326966608,1190355.7450689774,1142456.5620455078
Septiembre,830729.7443747255,1161204.568082389,803095.1557111308,1071774.8924044569,1050795.4007294232,992175.2550309713,1166300.323876475,1189322.5662251655,1165696.0948034003
Octubre,860204.0701407755,1174518.8290599089,827046.9275049183,1083686.1105809305,1075186.729652855,1048021.8147013782,1195882.2798837349,1176765.3373369614,1143498.9743589743
Noviembre,865397.1493172299,1184911.6817339654,863593.6459006951,1118143.7106698074,1131448.6788031037,1078354.9478370477,1235170.1667080482,1251326.3700546157,1229214.3975832942
Diciembre,857741.7120925636,1160728.226833501,906369.7020324401,1139681.3684161657,1133283.222364557,1133506.0130151843,1263580.0933985393,1241542.7767012424,1194404.1836373743
2015,,,,,,,,,
Enero,950810.519444258,1265529.3005148526,971437.0655429352,1211597.003240138,1209750.9889793412,1204006.2654385113,1350951.462882554,1323384.5545585642,1276419.0629100734
Febrero,972445.8743398584,1348887.3734916546,1013140.0113134679,1290290.9803653564,1246279.0207960962,1265067.2327569583,1425069.9029967084,1421032.7660581474,1341504.2107592134
Marzo,965719.2956403554,1363349.501350468,1025765.8425961949,1286945.9561442407,1286080.9089029129,1261521.6108238292,1432210.581322343,1434155.2364894843,1437702.6629752994
Abril,966502.3129012923,1463768.2709758405,1066004.1416868037,1306058.339031299,1285207.0537345877,1291447.304228813,1445348.0384021807,1367223.4755987755,1350523.6820324175
Mayo,964409.6172087707,1472798.2063803812,1074019.1430028973,1319723.045776093,1302004.615644042,1287890.283355612,1402704.0672782876,1501952.9759704252,1411610.437003604
Junio,950906.7320663361,1466480.0652838878,1060330.3758827653,1305992.103403331,1293391.91491004,1266155.331545362,1399610.090810598,1504059.6191984315,1427476.2812292727
Julio,967668.6818854737,1470730.674507023,1075988.1497751593,1309211.899586442,1287221.4811316703,1262481.3513260675,1401001.7712877893,1504416.8333905286,1417888.5475570974
Agosto,1065108.9133775467,1545208.467256717,1090919.4087196484,1332392.4892575194,1322588.0101182885,1394832.792045568,1426606.994062194,1526674.1174631298,1435571.539630636
Septiembre,1106109.6142361283,1531009.1076656764,1157696.2575489457,1252727.5389801406,1309460.6481235349,1426204.5395790439,1463856.186102319,1355730.7744448378,1234160.9972041007
Octubre,1083951.824482132,1678036.419096838,1202355.2336575296,1343124.1046623224,1373353.9452913566,1419688.8134506464,1452660.766995109,1601763.1426463686,1517883.322815201
Noviembre,1052344.2313378481,1654776.2761384912,1170332.7795780902,1329473.1413580053,1371632.990938839,1414489.8992011375,1463461.9077274676,1639294.1524222463,1583134.8967051299
Diciembre,1033674.3921498364,1665445.9527595819,1143403.3848803265,1368142.9816819776,1379691.4426581536,1420272.3042865768,1456691.4278744112,1644031.8351063828,1577856.3675213673
2016,,,,,,,,,
Enero,1027248.6570328273,1671349.1011575598,1168021.1223970223,1384326.310691037,1368680.2308646883,1423545.613756452,1471170.0809687416,1669579.1093901258,1555695.5625352338
Febrero,954557.9350285111,1652384.896731846,1129760.1387440683,1365409.2890221078,1340345.9468148982,1361059.2280462054,1459540.4815315378,1694688.9303274888,1608014.0497712307
Marzo,904344.270386185,1608268.2388567636,1120867.7407372377,1342277.9639292639,1324163.46421841,1393037.9490792933,1434984.2589972795,1648117.6034550453,1546175.5395683453
Abril,858896.4947514419,1580254.7551319052,1067111.3370797874,1329411.6929535007,1302820.8517086927,1323708.7206563656,1418919.8682196178,1575369.84229463,1560419.9455500804
Mayo,831445.1505902123,1501396.6177271197,946989.4500767012,1306159.598860826,1264016.784155499,1287661.2677821722,1407625.8073120979,1603584.4151611102,1512409.0303030303
Junio,816211.4893267466,1452226.741357028,919538.1926607157,1283028.58504644,1233989.9685754187,1262618.8801561438,1393714.0934205514,1569688.1274038462,1491805.6129995994
Julio,821995.7819952087,1375621.3403585234,906325.4017184393,1264076.9334187831,1194017.601556926,1250032.204005153,1347015.5541848182,1435862.8395628615,1410425.9523959844
Agosto,811436.4708957436,1342904.5791052135,882130.5711076946,1263238.957120578,1202019.8866340658,1210293.9136718235,1349051.8976974068,1482006.9157225753,1404629.69307424
Septiembre,789106.0504058398,1382064.2729310412,856771.1415040967,1229892.4146729156,1169293.028617494,1199129.3203977922,1314425.5296978117,1429606.3843337048,1347152.3717645577
Octubre,774098.3483206135,1367425.7255401611,839965.4618826642,1225167.0919544494,1156928.975540746,1160238.4544233924,1306905.1151310746,1369374.1508483118,1315572.20374623
Noviembre,802938.8138839325,1349632.1785242523,858856.0007462364,1209621.358698862,1165823.1461555474,1143641.885404476,1303225.440203503,1393455.6820332566,1323818.1352639943
Diciembre,931128.6977853156,1364222.9284307288,868680.841212138,1200941.8307356648,1062073.535387896,1152384.9311963164,1284585.971742767,1394568.1095069463,1343490.828732849
,,,,,,,,,
Fuente: Reporte al MADR de los principales Productores-Importadores en el marco de la política de libertad vigilada. Dirección de Cadenas Agrícolas y Forestales,,,,,,,,,
"Nota: Los precios de octubre, noviembre y diciembre de 2007 son iguales debido a que la información de este periodo no se recogió en forma mensual sino acumulada para el trimestre.",,,,,,,,,
