Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
"TABLA704.  EXPORTACIONES DE CAFÉ COLOMBIANO SEGÚN PAÍS DE DESTINO, AÑO CAFETEROS1995/1996 - 2016/2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Miles de sacos de 60kg),,
Años,1995/96,,1996/97,,1997/98,,1998/99,,1999/00,,2000/01,,2001/02,,2002/03,,2003/04,,2004/05,,2005/06,,2006/07,,2007/08,,2008/09,,2009/10,,2010/11,,2011/12,,2012/13,,2013/14,,2014/15,,2015/16,,2016/17,
Países,Sacos,%   ,Sacos,%   ,Sacos,%   ,Sacos,%   ,Sacos,%   ,Sacos,%   ,Sacos,%   ,Sacos,%   ,Sacos,%,Sacos,%,Sacos,%,Sacos,%,Sacos,%,Sacos,%,Sacos,%,Sacos,%,Sacos,%,Sacos,%,Sacos,%,Sacos,%,Sacos,%,Sacos,%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,10804,100,11200,100,15112.871,100,10747.573,103.00767971982117,8995.104,100,21660.027000000002,100,10639,100,10478.426999999998,100.00000000000001,10122,100,10987,100,10733,100,11175,100,11556,100,8715,100,7197,100.00000000000001,8064.3,100,7297.944,96.99349520952853,8846.641333333302,99.99999999999999,10842.127,107.316304374118,12278.027,100,12305.515999999998,100,13485.214,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICA,3054,28.267308404294706,3502,31.267857142857142,3316,21.941562261730414,3698,34.40776815379621,3407,37.87616018669712,3522,16.260367542478132,4153,39.03562364883918,4248.384999999999,40.54411029441729,4313,42.61015609563327,4534,41.266951852188946,4534,42.24354793627131,4658,41.682326621923934,4935,42.705088265835926,4124,47.32071141709696,3318,46.102542726135894,3979.5,49.34712250288308,3784.341,51.85489228199065,4465.772,50.47985819401761,5574.72,51.417217304316765,5972.995999999999,48.64784871380393,6275.285999999999,50.99571606749363,6993.034000000001,51.85704876466922
 Estados Unidos,2546,23.56534616808589,3001,26.794642857142858,2850,18.858097842560824,3220,29.960252421639748,2935,32.62886121161023,2946,13.601091078972338,3419,39.23121055651176,3634.149,34.68219991416651,3627,35.832839359810315,3817,34.74105761354328,3793,35.33960682008758,3968,35.50782997762864,4180,36.17168570439598,3493,40.08032128514056,2678.5,37.216895928859245,3327.5,41.2621058244361,3155.392,43.236725302359126,3763.272,42.53899144549185,4670.136,43.07398354584853,4976.687,40.5332794918923,5173.849,42.04495772464967,5839.035,43.29953532810084
 Canadá,395,3.6560533135875604,375,3.3482142857142856,350,2.315906752595189,401,4.601262191623637,383,4.257871837835339,472,2.179129324261692,594,6.815834767641997,497.46,4.7474682984383065,589,5.819008101165777,627,5.706744334213161,602,5.608869840678282,563,5.038031319910514,606,5.244029075804776,504,5.783132530120482,512.5,7.121022648325691,547,6.782981783911808,523.982,7.179857779122448,574.734,6.496635031810966,732.567,6.756672376185964,764.78,6.228850938347016,786.892,6.394628230136795,861.065,6.385252766474451
 Argentina,50,0.4627915586819697,46,0.4107142857142857,46,0.30437631605536764,31,0.35570854847963285,30,0.3335147653656923,24,0.11080318597940805,13,0.1491681009753299,8.766,0.08365759478975233,12,0.11855364552459988,7,0.06371165923363975,8,0.07453647628808348,8,0.07158836689038031,8,0.06922810661128419,8,0.09179575444635686,6,0.08336807002917883,7,0.0868023263023449,6.205,0.08502394647040316,5.898,0.06666936951288956,5.857,0.05402076548264008,9.397,0.0765350980251143,8.022,0.06519027727077842,18.334,0.13595631482006884
 Otros(1),63,0.5831173639392817,80,0.7142857142857143,70,0.46318135051903775,46,0.527825588066552,59,0.6559123718858615,80,0.3693439532646935,127,1.4572576018359151,108.01,1.0307844870227183,85,0.8397549891325825,83,0.7554382451988714,131,1.220534799217367,119,1.0648769574944073,141,1.2201453790238836,119,1.3654618473895583,121,1.681256078921773,98,1.2152325682328287,98.762,1.3532852540386715,121.86799999999948,1.3775623472018974,166.16,1.5325406167996372,222.132,1.8091831855395006,306.52299999999894,2.490939835436393,274.6,2.036304355273858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUROPA,6351,58.78378378378378,6232,55.64285714285714,10463.871,69.23814144909991,5663.573,52.69629710819363,4132.103999999999,45.93725653422128,16670.027000000002,76.96217091511474,4725,44.41206880345897,4623.353999999999,44.12259588199641,3939,38.915234143449915,4389,39.94721033949213,4356,40.58511133886146,4768,42.66666666666667,4702,40.68881966078228,2834,32.518646012621915,2133,29.637348895373073,2507.8,31.097553414431506,2308.865,28.630693302580507,2848.3653333333004,32.197138168142196,3516.7059999999997,39.75187720959576,4122.152,33.57340719319154,4030.6159999999995,32.75454682274193,4062.18,30.123214952317408
UNIÓN EUROPEA,5984,55.38689374305814,13034.479,116.37927678571428,10225.871,67.66332485733518,5523.573,63.38006884681586,3934.1039999999994,43.73605908280771,16406.027000000002,75.74333586934124,4469,42.005827615377385,4342.49,41.442193565885425,3695,36.50464335111638,4080,37.13479566760718,4175,38.89872356284357,4554,40.75167785234899,4476,38.7331256490135,2635,30.23522662076879,1952,27.12241211615951,2311.8,28.667088277965842,2093.263,28.682913982349,2649.0653333333003,29.94430579379176,3274.1249999999995,30.198179748309535,3841.8520000000003,31.290467108436882,3758.5019999999995,30.54322955656635,3721.2240000000006,27.594845732518593
 Alemania ,2968,27.471306923361716,2527,22.5625,2576,17.045073699100588,2076,23.820998278829606,1692,18.810232766625045,1792,8.273304553129135,1784,16.768493279443554,1871.549,17.860972834949372,1338,13.218731475992888,1451,13.206516792573042,1472,13.71471163700736,1436,12.850111856823265,1379,11.93319487712011,609,6.987951807228916,334,4.640822564957621,423,5.245340575127414,418.037,5.728147544020617,630.585,7.127959371699808,914.786,8.437329686324462,1129.414,9.198660338505526,1184.3,9.624139288429678,1068.046,7.92012644367379
 Bélgica,357,3.3043317289892635,736,6.571428571428571,525,3.473860128892783,423,4.853700516351118,484,5.380704881233169,632,2.9178172307910786,575,5.404643293542626,627.183,5.985469002169888,507,5.008891523414345,701,6.380267588968781,546,5.087114506661697,779,6.9709172259507834,728,6.299757701626861,569,6.528973034997132,526,7.308600805891344,577.4,7.159951886710564,523.31,7.170649706273437,661.4003333333,7.476287422676518,780.991,7.203300606974997,958.955,7.810334673478077,720.108,5.851912264386151,654.716,4.855065703814563
 Holanda,414,3.8319141058867086,450,4.017857142857143,714,4.724449775294185,430,4.934021801491681,205,2.2790175633322307,231,1.0664806650518026,262,2.4626374659272487,201.48,1.9228076885967715,239,2.3611934400316144,173,1.5745881496313827,209,1.9472654430261809,225,2.013422818791946,166,1.4364832121841469,63,0.7228915662650602,54,0.7503126302626094,36.4,0.4513720967721934,38.265,0.5243257553086184,3.557,0.04020734950107633,0,0,0,0,0,0,0,0
 Suecia,434,4.0170307293594965,410,3.660714285714286,371,2.4548611577509,297,3.4079173838209984,243,2.7014695994621074,251,1.1588166533679758,281,2.641225679105179,310.721,2.9653401221385622,262,2.588421260620431,267,2.4301447164831163,267,2.487654896114786,315,2.8187919463087248,270,2.336448598130841,218,2.5014343086632245,133,1.8479922189801306,126,1.562441873442208,111.657,1.5299788543184216,139.127,1.5726533354051861,173.406,1.5993725216463521,155.907,1.26980499391311,179.255,1.4567044567655678,151.848,1.1260332983963028
 Francia,363,3.3598667160311,386,3.446428571428571,481,3.182717565709388,423,4.853700516351118,284,3.1572731121285535,277,1.278853438179001,340,3.1957890779208578,236.678,2.258716885654689,160,1.5807152736613317,153,1.392554837535269,158,1.4720954066896488,17,0.15212527964205816,173,1.4970578054690205,177,2.0309810671256456,155,2.153675142420453,121,1.5004402117976763,119.043,1.6311854407213868,157.839,1.784168635901149,140.585,1.296655167385514,129.591,1.0554708830661474,133.433,1.084334862512064,242.518,1.7983993431620735
 España,320,2.961865975564606,316,2.821428571428571,291,1.9255110428719995,283,3.2472748135398737,232,2.5791808521613535,192,0.8864254878352644,244,2.2934486323902625,250.281,2.3885359892281546,219,2.1636040308239477,234,2.129789751524529,275,2.5621913724028698,290,2.5950782997762865,344,2.97680858428522,193,2.214572576018359,207,2.876198416006669,258,3.199285740857855,209.605,2.872110282019155,243.142,2.7484102818079004,258.878,2.3877049217372197,294.184,2.39602014232417,301.904,2.453403823131026,285.872,2.1198922019331694
 Reino Unido,302,2.7952610144390966,279,2.491071428571429,259,1.7137709969204395,236,2.7079747561675274,255,2.8348755056083847,233,1.0757142638834198,306,2.8762101701287714,250.272,2.3884500984737502,267,2.6378186129223473,367,3.3403112769636847,441,4.108823255380602,448,4.008948545861298,488,4.222914503288335,334,3.8324727481353986,272,3.7793525079894397,446,5.53054821869226,323.6,4.434125556458093,334.749,3.783910609540569,346.526,3.196107184503557,284.93,2.32064972653994,327.597,2.6621963678727494,370.943,2.750738697954663
 Irlanda,2,0.018511662347278787,,0,2,0.013233752871972506,2,0.022948938611589215,4,0.0444686353820923,4,0.018467197663234673,4,0.037597518563774794,248.528,2.3718063789536354,14,0.13831258644536654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.134,0.07034858036729248,5.772,0.06524510017436395,6.085,0.05612367388797419,7.752,0.06313717993941534,10.587,0.0860345880660348,12.889,0.09557875759331665
 Italia,355,3.2858200666419846,275,2.455357142857143,267,1.7667060084083297,235,2.6965002868617325,237,2.6347666463889694,239,1.1034150603782718,252,2.368643669517812,140.838,1.3440757854208463,281,2.776131199367714,391,3.5587512514790207,386,3.5963849809000283,407,3.6420581655480984,412,3.5652474904811355,217,2.4899598393574296,90,1.2505210504376825,130,1.612043202757834,114.07,1.5630429611408363,140.713,1.5905810431107545,244.22,2.252510047152187,372.503,3.033899501931377,324.794,2.639417965081676,388.841,2.8834618419848588
 Finlandia,260,2.4065161051462423,235,2.0982142857142856,185,1.224122140657457,222,2.547332185886403,117,1.3007075849262,140,0.6463519182132136,212,1.9926684838800641,103.279,0.985634580457544,171,1.6893894487255483,175,1.5927914808409938,203,1.8913630858101185,228,2.0402684563758386,232,2.0076150917272413,123,1.4113597246127367,122,1.6951507572599693,120,1.4880398794687697,166.037,2.2751202256416327,180.784,2.0435326039366273,206.083,1.9007617232301373,266.037,2.166773212015253,280.998,2.2835125321034893,278.734,2.066960153542984
 Dinamarca,185,1.7123287671232876,168,1.5,182,1.2042715113494982,173,1.985083189902467,99,1.1005987257067846,90,0.4155119474227802,111,1.0433311401447505,22.894,0.21848699237013344,117,1.155898043864849,91,0.8282515700373169,64,0.5962918103046678,63,0.5637583892617449,58,0.5019037729318103,31,0.35570854847963285,18,0.25010421008753647,19,0.23560631424922188,19.829,0.2717066614926067,25.676,0.2902344407617756,34.567,0.31882120547010745,41.753,0.34006278044509924,42.761,0.347494570727469,30.494,0.22612915152848148
 Portugal,10,0.09255831173639394,14,0.125,13,0.0860193936678213,15,0.17211703958691912,15,0.16675738268284615,17,0.07848559006874738,16,0.15039007425509918,11.484,0.10959660261983982,22,0.21734835012843312,20,0.1820333120961136,16,0.14907295257616696,33,0.29530201342281875,39,0.3374870197300104,10,0.11474469305794606,7,0.09726274836737529,7,0.0868023263023449,3.592,0.04921934177625917,8.488,0.09594601702702724,9.381,0.08652361294052356,11.068,0.09014477651824679,7.805,0.06342684045106277,19.436,0.14412822814676876
 Grecia,7,0.06479081821547575,14,0.125,10,0.06616876435986253,15,0.17211703958691912,12,0.13340590614627693,14,0.06463519182132137,17,0.15978945389604288,13.579,0.1295900615617211,17,0.1679509978265165,16,0.14562664967689087,15,0.1397558930401565,18,0.1610738255033557,20,0.17307026652821045,14,0.1606425702811245,6,0.08336807002917883,3,0.03720099698671924,7.391,0.10127509884975824,10.154,0.11477802272531039,12.39,0.11427646992144623,15.814,0.1287991955059229,21.906,0.17801772798475093,23.505,0.17430201700914794
 Austria,3,0.02776749352091818,7,0.0625,5,0.03308438217993127,19,0.21801491681009752,14,0.15564022383732307,16,0.07386879065293869,21,0.19738697245981768,8.308,0.07928670973229095,19,0.18770993874728314,8,0.07281332483844544,1,0.009317059536010435,0,0,0,0,0,0,0,0,0,0,0.017,0.00023294231909699498,0.012,0.00013564469890720157,0.036,0.000332038169263282,0.073,0.000594558067024938,0.01,8.126436957214962e-05,0.024,0.0001779727040297618
Polonia,4,0.037023324694557574,7217.479,64.44177678571428,4344.871,28.749474537300028,674.573,7.740367183017785,41.10399999999936,0.4569596971863734,12278.027,56.685187880883056,44,0.4135727042015227,45.416,0.433423833558224,42,0.4149377593360996,16,0.14562664967689087,72,0.6708282865927513,64,0.5727069351230425,79,0.6836275527864313,36,0.4130808950086058,8,0.11115742670557177,13,0.16120432027578338,13.293,0.18214719104449142,15.915,0.17989878192567607,16.962,0.15644531741788303,15.683,0.12773224883770004,29.904,0.2430129707685562,34.058,0.2525580980769011
Otros,,0,,0,,0,,0,,0,ND.,0,ND.,0,ND.,0,20,0.19758940920766646,17,0.15472831528169653,50,0.46585297680052173,231,2.0671140939597312,88,0.761509172724126,41,0.47045324153757884,20,0.2778935667639294,32,0.39681063452500526,20.383,0.27929784059729695,91.15200000000016,1.0303571328991048,129.229,1.1919155715479075,158.188,1.2883828973498754,193.14,1.5695400339164975,159.3,1.181293822997544
OTROS EUROPA,255,2.360236949278045,238,2.125,238,1.5748165917647283,140,1.6064257028112447,198,2.2011974514135693,264,1.2188350457734884,256,2.4062411880815864,280.864,2.680402316110997,244,2.4105907923335312,309,2.812414671884955,181,1.6863877760178887,214,1.9149888143176734,226,1.9556940117687782,199,2.2834193918531267,181,2.5149367792135613,196,2.4304651364656573,215.602,2.9542841107029596,199.3,2.2528323743504393,242.581,2.237393087168228,280.3,2.2829400847546597,272.11400000000003,2.211317266175592,3041.3619999999996,22.553309128056846
 Noruega,151,1.3976305072195483,130,1.1607142857142858,144,0.9528302067820205,140,1.6064257028112447,84,0.9338413430239384,101,0.46629674099667556,111,1.0433311401447505,145.125,1.3849884147687437,147,1.4522821576763485,155,1.4107581687448805,117,1.090095965713221,148,1.3243847874720358,132,1.142263759086189,107,1.227768215720023,87,1.208837015423093,112,1.3888372208375184,104.612,1.433444816786755,115.45,1.3050150407363685,134.397,1.2395814954021473,163.745,1.333642612123267,159.904,1.299449775206501,191.016,1.416484751372874
 Suiza,58,0.5368382080710848,53,0.47321428571428575,33,0.21835692238754636,,0,33,0.3668662419022615,29,0.13388718305845138,37,0.3477770467149168,30.886,0.29475798228111916,10,0.09879470460383323,37,0.3367616273778101,5,0.04658529768005218,1,0.008948545861297539,1,0.008653513326410523,0,0,0,0,1,0.012400332328906414,5.925,0.08118724944998207,0.708,0.008003037235524892,1.661,0.015319872198508649,0.006,4.886778633081683e-05,6.837,0.05556044947647869,0.166,0.0012309778695391857
Rusia,,0,,0,,0,,0,0,0,0,0,0,0,0,0,56,0.5532503457814661,72,0.6553199235460089,55,0.5124382744805739,61,0.5458612975391499,87,0.7528556593977155,84,0.9638554216867471,91,1.2644157287758788,80,0.9920265863125132,100.885,1.382375638947079,77.169,0.8722971474974864,99.701,0.91957048649218,110.967,0.9037852742952919,99.201,0.8061506725926812,137.98,1.0231947375844386
 Otros(2),46,0.42576823398741204,55,0.49107142857142855,61,0.40362946259516147,,0,81,0.9004898664873692,134,0.6186511217183616,108,1.0151330012219193,104.853,1.0006559190611342,31,0.30626358427188305,45,0.40957495221625556,4,0.03726823814404174,4,0.035794183445190156,6,0.05192107995846314,8,0.09179575444635686,3,0.041684035014589414,3,0.03720099698671924,4.18,0.05727640551914347,5.973,0.06751714888105957,6.822,0.06292123307539194,5.582,0.04546333054976993,6.172,0.05015636889993074,2712.2,20.112398661229992
OTROS PAISES,1399,12.948907811921512,1466,13.089285714285715,1333,8.820296289169676,1386,15.903614457831326,1456,16.1865832790816,1468,6.777461542407126,1761,16.55230754770185,1606.688,15.333293823586311,1870,18.474609760916813,2064,18.78583780831892,1843,17.171340724867232,1749,15.651006711409396,1919,16.606092073381795,1757,20.160642570281126,1746,24.260108378491037,1577,19.555324082685413,1204.738,16.507909624957385,1532.5040000000017,17.323003637840188,1750.701,16.14720986020547,2182.879000000001,17.778744093004526,1999.6139999999998,16.24973710976444,2430,18.01973628301338
 Japón,1214,11.236579044798223,1243,11.098214285714286,1116,7.384434102560659,1121,12.862880091795754,1211,13.462879361928445,1217,5.61864488903915,1482,13.92988062787856,1315.332,12.552761974674256,1567,15.481130211420668,1679,15.281696550468734,1495,13.9290040063356,1313,11.749440715883669,1425,12.331256490134995,1347,15.456110154905337,1339,18.604974294845075,1122.5,13.919373039197449,748.398,10.254915631032521,1010.644,11.424041756864153,1041.998,9.610641897111147,1304.03,10.620843234829179,1149.299,9.339705868490197,1346.669,9.986263473460637
 Corea del Sur,84,0.777489818585709,116,1.0357142857142856,83,0.549200744186859,125,1.4343086632243258,117,1.3007075849262,118,0.544782331065423,88,0.8271454084030454,125.267,1.195475236884315,129,1.2744516893894486,205,1.8658414489851642,150,1.3975589304015652,190,1.7002237136465326,218,1.8864659051574941,230,2.63912794033276,247,3.431985549534528,296.5,3.6766985355207518,229.546,3.14535162231993,234.925,2.655527574231194,326.341,3.009935227654131,363.733,2.962471087577833,396.782,3.2244239087576663,486.539,3.607944226914011
 Australia,31,0.28693076638282117,36,0.3214285714285714,30,0.1985062930795876,31,0.35570854847963285,25,0.2779289711380769,26,0.12003678481102538,32,0.30078014851019835,33.136,0.316230670882185,36,0.35566093657379966,43,0.3913716210066442,45,0.4192676791204696,51,0.45637583892617445,63,0.5451713395638629,46,0.527825588066552,52,0.7225232735862165,50,0.6200166164453207,69.813,0.9566118895952065,84.554,0.9557751559499601,98.544,0.9088991486633573,124.157,1.0112129579125375,137.158,1.1146058401776895,166.667,1.2359240276053463
 Otros(3),70,0.6479081821547575,71,0.6339285714285714,104,0.6881551493425704,109,1.2507171543316122,103,1.1450673610888769,107,0.4939975374915275,159,1.494501362910048,132.953,1.2688259411455558,138,1.3633669235328987,137,1.246928187858378,153,1.4255101090095967,195,1.74496644295302,213,1.8431983385254413,134,1.5375788869764773,108,1.5006252605252188,108,1.3392358915218927,156.981,2.1510304820097277,202.3810000000017,2.287659150794883,283.818,2.6177335867768377,390.9590000000009,3.1842168126849772,316.37500000000006,2.5710014923388838,430.1249999999999,3.189604555033386
Periodo: octubre - septiembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1) Principalmente Ecuador, Chile, Peru y Antillas. (2) Principalmente, Croacia, Turquia, Islandia y Bulgaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3) Principalmente Israel, Sudrafrica, Hong Kong, Nueva Zelanda, Taiwan y Singapur.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUENTE:  FEDERACAFE - Grupo de Información Comercial - ND no disponible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND.: No Disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
