Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
TABLA 58. EXISTENCIAS REGISTRADAS DE CAFÉ AL FINAL DE CADA MES. 1990 - 2017,,,,,,,,,,,,
,,,,,,,,,(Café Verde. Miles de sacos de 60kg),,,
Años,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1990,8329,7543,7019,6597,6360,5943,5425,4786,4828,5383,6189,6769
1991,6828,6543,6333,6701,7258,7546,7325,6702,5899,7190,8297,9235
1992,9815,9833,9223,8862,9276,8820,8558,7805,7254,7202,7558,7647
1993,7884,7680,6685,6860,6956,7065,7009,6611,6336,6383,6599,6298
1994,6077,5990,5836,5658,5294,4909,4369,3745,3335,3797,4453,4821
1995,4791,4819,4487,4581,4831,5512,6006,5859,5607,5676,6606,7350
1996,8540,7929,7528,7199,6962,6785,6370,6149,6237,6337,6312,6350
1997,5981,5487,5093,4945,4495,4507,4597,4547,4271,4470,4758,4638
1998,4407,4169,3882,3981,4117,4095,4250,4138,4022,4393,4906,4658
1999,4529,4237,4076,3693,3448,3298,3336,3199,3160,2917,2638,2343
2000,2319,2271,2360,2554,2966,3028,2996,2417,2122,2082,2164,2312
2001,2757,2340,2125,2209,2251,2077,1978,1874,1816,1758,1947,1884
2002,1888,1688,1569,1621,1818,1962,2005,1822,1764,1878,2005,1882
2003,1950,1726,1580,1702,1882,1935,1980,1806,1775,1872,1901,2040
2004,2157,1830,1687,1489,1725,1711,1596,1482,1418,1449,1823,1985
2005,1774,1490,1297,1253,1356,1417,1369,1172,1056,1309,1544,1411
2006,1552,1437,1148,1228,1330,1518,1391,1495,1232,1240,1576,1490
2007,1454,1333,1167,1169,1335,1559,1520,1478,1444,1531,1938,1879
2008,2168.575,2001.342,1816.945,1717.879,1591.366,1626,1519,1499,1243,1242,1169,1148
2009,1096,984,841,576,685,727,695,626,573,499,631,586
2010,527,537,541,568,709,765,899,810,573,876,1016,969
2011,1060,1099,973,810,763,677,736,785,782,806,821,669
2012,664,678,652,676,715,786,844,778,749,787,783,799
2013,897,766,670,896,903,1076,1263,1024,1120,1207,1190,1209
2014,1200,1022,840,761,848,940,1044,1201,1193,1260,1296,1242
2015,1169,1060,978,848,913,1046,1203,1279,1138,1210,1300,1366
2016,1376,1257,1008,983,1144,1259,1565,1392,1328,1389,1621,1390
2017,1407,1407,1149,955,901,891,1150,1123,1141,991,1018,1220
,,,,,,,,,,,,
"NOTA: Incluye existencias de Federación en bodegas, Trilladoras, Plantas Solubles, Puertos y Tránsito de los particulares a los puertos.",,,,,,,,,,,,
FUENTE:  FEDERACAFE - Gerencia Comercial,,,,,,,,,,,,
