Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
TABLA 114. VOLUMEN IMPORTACIONES DE PRODUCTOS DE ORIGEN AGROPECUARIO Y AGROINDUSTRIAL. 1992 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,(Toneladas)
D E S C R I P C I O N,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,
  I.  ANIMALES VIVOS Y PRODUCTOS DEL REINO ANIMAL,29196.356,52353.725,72498.155,80920.31500000002,87783.91,87186.348,93039.736,69939.09,77026.032,90583.79800000001,86863.16200000001,78157.309,80110.973,92652.48779,91951.14030000001,95542.84587,103607.52681999998,88167.81872000001,94153.31007,108050.09951,154220.41345,204125.15974,239967.07701,229822.14359999998,295456.18010000006,285299.93898
    1 Animales vivos,679.337,4325.4710000000005,22881.059,3272.63,14509.433999999996,4709.775,2312.4849999999997,338.42400000000004,249.87099999999995,509.627,680.3999999999999,929.2570000000001,204.149,287.46558,427.10445000000004,296.32551,671.7242799999999,777.61397,571.80315,293.47294,242.76114,293.99172,227.74647000000002,210.17932,200.01437,227.29979000000003
    2 Carnes y Despojos Comestibles,8584.384,13462.345,17236.221999999998,26458.278,28627.401000000005,23509.439000000002,23151.711000000003,23012.472,23925.666,25958.009000000002,20491.518,9523.88,12294.646999999999,13513.17902,15175.676289999998,20557.885420000002,24806.91872,22468.519109999997,27880.52442,31584.058490000003,47644.70246,90119.92990999999,100127.86283,88901.78269000001,119569.34773000001,144069.89073999997
"    3 Pescados, Crustáceos y Moluscos",2211.2099999999996,7975.097000000001,14606.063999999998,30379.434,19321.436,18606.869,28559.335000000006,20507.14,17161.232000000004,17632.378,23401.061,35931.193,44205.362,48907.42571999999,49685.230110000004,48854.18736000002,51109.04944999999,45169.426170000006,50930.36126,55092.69606,64014.48126,87951.04866999997,96761.2581,94088.63609,95791.6969,81541.22306000002
"    4 Leche y Productos Lácteos, Huevos ave; Miel nat.",11338.967000000002,11010.163999999997,8436.578,14806.494000000002,15379.144999999997,28994.079999999998,31145.310999999998,17720.373,26715.068000000007,38119.15200000001,25403.241,7249.822999999999,8060.083,11271.33446,9726.86814,9840.705929999998,11911.077369999999,8421.49625,5927.256579999999,15226.66277,33972.88990000001,17063.44346,28314.980709999996,31672.048199999997,58819.538080000006,44297.48951
    5 Productos de Origen Animal N.E.P.,6382.4580000000005,15580.648,9338.232,6003.479,9946.493999999999,11366.185000000003,7870.894,8360.681,8974.195,8364.632000000001,16886.942000000003,24523.156,15346.731999999998,18673.08301,16936.261309999998,15993.74165,15108.756999999998,11330.76322,8843.36466,5853.20925,8345.578689999998,8696.745980000002,14535.228900000004,14949.497299999997,21075.583019999995,15164.035879999998
,,,,,,,,,,,,,,,,,,,,,,,,,,
 II.  PRODUCTOS DEL REINO VEGETAL,1852447.8889999995,2168027.8000000003,2925939.9050000003,3087465.3760000006,3885912.537,3985569.168,4432089.276,3733488.459,4199117.326,4371626.254,4689119.55,4425025.436,4723418.1,4814405.731239999,5844977.357090001,6002657.225739999,5926981.659830001,5966840.558710002,6347948.27492,6030103.18757,6869034.657249999,6847810.7354,7268221.977819999,8077892.437930001,8371872.641019999,8300325.253530002
    6 Plantas Vivas y Productos de la Floricultura,563.918,725.5709999999999,911.3720000000002,1092.2060000000001,873.07,808.7830000000001,2017.251,1584.616,2004.4209999999996,1857.687,2272.857,2947.520999999999,2464.9539999999997,2847.1216000000004,3210.6224199999997,3323.83941,3018.79632,3188.503370000001,4654.200629999999,3819.24006,4838.40856,5400.0249,4543.6079,4405.64005,5126.643860000001,5617.45798
"    7 Legumbres, Plantas, Raíces, tubérculos Alimentic.",131566.467,97262.666,154417.41,132536.721,129012.62000000001,195327.089,188905.789,172182.751,291328.37299999996,249960.287,219438.74100000004,181041.32999999996,201424.45900000003,224518.31200999997,226890.06086000006,257008.08652000004,236647.66968000005,232761.09787000006,280860.48338000005,307271.91357000003,289093.2837900001,237471.36970000004,245590.8369,190102.71857000006,217968.25133,205873.69175
"    8 Frutos Comestibles, Cortezas de Agrios y melón",61175.649000000005,82049.93699999999,111291.14700000003,182125.413,160492.8,191374.17999999996,133838.024,156032.76500000004,244670.58699999994,200162.59100000001,167720.29500000004,187487.07899999997,203304.02100000004,199232.46795,169657.27919000003,232456.34671999997,205110.04229999994,233918.04186,194658.25879000005,262697.17648,250130.53671999995,222859.58066,250603.68256,222385.99045000004,204290.03884999998,192452.93366
"    9 Otros Café, Te, Yerba, Mate y Especias1",416.66799999999995,419.09299999999996,446.01,628.6550000000001,673.638,376.755,491.296,442.66999999999996,365.13100000000003,495.61600000000004,189.524,425.546,405.635,481.24195000000003,424.60231999999996,624.42387,588.4309499999999,526.8954200000001,642.60703,491.66331,639.6829299999999,643.7924,713.85749,685.55764,848.3436800000001,886.00115
   10 Cereales,1494565.8779999996,1718045.4319999998,2375818.994,2507647.6620000005,3192311.285,3203850.003,3794684.8239999996,3086831.809,3255910.9170000004,3428328.447,3638764.2460000003,3570068.369,3877148.4860000005,4001465.1771299997,5033947.162070001,5088024.02856,5174307.07405,5128119.636940002,5467544.71479,5132943.0624,5981879.95096,5966777.20611,6250100.53557,7013209.718350001,7323515.3652099995,7252439.651350002
"   11 Productos de Molineria, Malta, Almidones y Fec.",9505.254999999997,21763.617000000002,33385.333000000006,53838.562000000005,65369.275,63196.96100000001,45195.162000000004,60182.21799999999,46174.244,28105.934,17851.936,18321.323,18225.953,15134.597860000002,25575.54442,69391.60105,58576.73562000001,33526.73706000001,24001.465390000005,21809.986810000002,31085.69525,30833.442800000004,36278.229849999996,39616.4253,56179.199349999995,73033.13372
