Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
TABLA 53. PRECIOS INTERNACIONAL DE LA CARNE DE BOVINOS 1988 - 2017,,,,,,,,,,,,,
,,,,,,,,,,,,(US$/Tonelada),
Mes,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Prom.
Año,,,,,,,,,,,,,
1990,2782,2455,2482,247,2478,2502,2557,2652,2694,2583,2532,2545,2375.75
1991,2591,2730,2589,2609,2624,2701,2684,2639,2742,2718,2706,2605,2661.5
1992,2569,2522,2447,2383,2374,2333,2344,2443,2438,2498,2538,2539,2452.3333333333335
1993,2352,2386,2524,259,2674,2742,2818,2801,2731,2667,264,2459,2223.0833333333335
1994,2419,2491,2688,2625,2389,2230,2189,2198,2206,2123,2187,2224,2330.75
1995,2153,2169,2065,1948,1807,1760,1687,1730,1795,1863,1960,1926,1905.25
1996,1900,1829,1747,1795,1791,1696,1711,1767,1733,1793,1810,1828,1783.3333333333333
1997,1795,1880,2056,2004,1905,1765,1800,1824,1772,1756,1833,1856,1853.8333333333333
1998,1825,1808,1799,1800,1771,1707,1673,1677,1653,1636,1665,1682,1724.6666666666667
1999,1709,1802,1795,1743,1759,1761,1797,1946,1905,1864,1937,1958,1831.3333333333333
2000,1943,1961,1993,1983,2002,1940,1915,1903,1821,1826,1976,1942,1933.75
2001,1934,1929,2006,1985,2015,208,2169,2242,2362,2277,2297,2221,1970.4166666666667
2002,2226,2268,2402,2285,2125,2068,2134,2109,2039,1916,1796,1850,2101.5
2003,1880,1845,1848,1820,1747,1724,1784,2007,2137,2167,2439,2322,1976.6666666666667
2004,2358,2192,2142,2249,2525,2572,265,2792,2817,2632,2607,2573,2310.3333333333335
2005,2539,2585,2643,2604,2675,2650,2700,2643,2650,2566,2583,2544,2615.1666666666665
2006,2503,2528,2641,2480,2478,2460,2536,2590,2588,2595,2671,2670,2561.6666666666665
2007,2627,2607,2608,2591,2569,2621,2588,2608,2605,2552,2592,2632,2600
2008,2672,2813,2350,2285,2736,2852,2930,2985,2850,2553,2553,2450,2669.0833333333335
2009,2514,2360,2475,2544,2634,2690,2731,2731,2737,2654,2753,2797,2635
2010,2949,3122,3350,3629,3475,3190,3202,3359,3359,3409,3447,3811,3358.5
2011,4089,4047,4135,4251,4055,3929,3915,3983,3875,3839,4112,4187,4034.75
2012,4206,4275,4289,4231,4126,4044,3973,4034,3970,3999,4230,4309,4140.5
2013,4304,4280,4225,4222,3956,3839,3890,3890,3868,3923,4037,4097,4044.25
2014,4130,4192,4361,4211,4284,4423,5011,5703,5998,5879,5760,5306,4938.166666666667
2015,5110,4623,4577,4722,4388,4295,4502,4670,4458,3881,3901,3687,4401.166666666667
2016,3504,3773,3883,3896,3954,3998,4134,4088,4029,3982,4033,3833,3925.5833333333335
2017,3894,4066,4189,4249,4414,4417,4454,417,4160,4170,4200,4130,3896.6666666666665
 Fuente: Fedeagro,,,,,,,,,,,,,
Condición: FOB Nueva Zelanda,,,,,,,,,,,,,
