Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
TABLA 61. INVENTARIO OVINO 2005 - 2017,,,,,,,,,,,,,
,,,,,,,,,,,,,
DEPARTAMENTO,2005,2006,2007,2008,2009,2010,2011,2012.0,2013,2014.0,2015.0,2016.0,2017.0
AMAZONAS,517,247,247,247,247,257,102,132.0,-,17.0,17.0,0.0,0.0
ANTIOQUIA,13174,13452,14156,14395,14142,15703,17111,15299.0,15396,14779.0,17070.0,32336.0,27791.0
ARAUCA,10600,10600,13450,12250,12250,12150,12250,13800.0,14100,14100.0,13470.0,13249.0,14271.0
ATLANTICO,8992,9369,9806,6854,6854,9711,9711,9701.0,9701,10296.0,10259.0,9688.0,10295.0
BOLIVAR,21274,33163,26180,26416,27084,25862,21575,22359.0,22359,17836.0,17926.0,19908.0,18774.0
BOYACA,144350,144864,144864,144864,144864,20299,23108,21977.0,12456,91412.0,105937.0,105937.0,105937.0
CALDAS,2080,2869,1100,2836,2629,2115,4628,4628.0,4816,4386.0,7973.0,9509.0,7700.0
CAQUETA,28944,28944,28516,28687,30663,30663,24209,24346.0,22480,22519.0,23241.0,23731.0,24046.0
CASANARE,45777,31000,30930,30930,30930,23720,2748,2680.0,2680,2685.0,2685.0,13897.0,13897.0
CAUCA,21370,21370,21370,21370,21370,21370,21370,22440.0,16034,16079.0,16130.0,16014.0,16043.0
CESAR,65631,73708,73708,78493,83249,75273,76317,76317.0,76317,76317.0,71283.0,88370.0,101177.0
CHOCO,26,26,812,1899,1736,702,699,886.0,247,1185.0,1371.0,1326.0,1326.0
CORDOBA,90484,94904,76360,93746,90423,81993,79115,71606.0,69089,64422.0,73106.0,87304.0,96653.0
CUNDINAMARCA,96060,84716,85254,84787,84787,94425,23150,21180.0,10419,44723.0,44723.0,44723.0,44723.0
DISTRITO CAPITAL,-,-,-,-,-,-,365,365.0,0,650.0,648.0,648.0,650.0
GUAINIA,0,0,48,45,45,-,-,34.0,15,7.0,0.0,0.0,0.0
GUAVIARE,2795,2795,3661,2993,3145,3390,2552,2685.0,2805,2695.0,2240.0,3045.0,3063.0
HUILA,11320,11320,11490,11490,13898,15331,5216,5155.0,5175,4159.0,4432.0,5129.0,4603.0
LA GUAJIRA,698155,704532,704532,401462,712915,817420,822076,603382.0,603382,604892.0,615529.0,619940.0,641897.0
MAGDALENA,91923,91500,91500,118197,118197,114313,113323,113562.0,113562,86332.0,101651.0,110844.0,107441.0
META,18015,23810,24816,24577,24815,24815,23620,23630.0,23690,24265.0,24270.0,27292.0,32869.0
NARINO,13602,12535,12371,16259,12924,298,1714,1694.0,16659,13000.0,12992.0,12507.0,12418.0
NORTE SANTANDER,24214,24214,24214,24214,23314,23314,14234,13649.0,13136,13004.0,17889.0,16343.0,17548.0
PUTUMAYO,4758,676,4905,4905,1843,170,2370,2772.0,3345,3900.0,4277.0,4177.0,4272.0
QUINDIO,673,454,417,997,235,240,260,498.0,498,611.0,747.0,578.0,1164.0
RISARALDA,404,498,478,858,301,346,411,411.0,411,671.0,727.0,1122.0,1069.0
S.ANDRES/PROVID,0,0,169,169,183,79,65,152.0,122,152.0,113.0,134.0,139.0
SANTANDER,71164,64042,66219,61611,42011,39560,44431,45260.0,45270,51706.0,51706.0,64137.0,55482.0
SUCRE,35069,36072,29226,29170,27519,23902,23669,3996.0,23599,22092.0,22010.0,32733.0,30397.0
TOLIMA,42105,45275,45195,45715,45878,45438,11179,11253.0,42572,42700.0,43715.0,48821.0,43997.0
VALLE,8024,9580,9184,5410,4818,4818,4818,5061.0,6079,7644.0,8459.0,8783.0,8742.0
VAUPES,0,0,0,0,0,0,40,148.0,165,145.0,190.0,0.0,114.0
VICHADA,1775,3022,1211,1273,1620,2140,2140,1835.0,1365,1535.0,1455.0,1241.0,1207.0
Total,1573275,1579557,1556389,1297119,1584889,1529817,1388576,1142893.0,1177944,1260916.0,1318241.0,1423466.0,1449705.0
Fuente: ICA,,,,,,,,,,,,,
