Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
TABLA 119.  PRECIOS DE REFERENCIA Y ARANCEL APLICADO A LOS PRODUCTOS DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS 2002 - 2017,,,,,,,,,,,,,
,,,,,,,,,,,,,
PERIODO,,ARROZ,,,,AZUCAR BLANCO,,,,CEBADA,,,
AÑO,MES,TECHO,PISO,CIF,Arancel,TECHO,PISO,CIF,Arancel,TECHO,PISO,CIF,Arancel
,,US$/t,US$/t,US$/t,TOTAL%,US$/t,US$/t,US$/t,TOTAL%,US$/t,US$/t,US$/t,TOTAL%
2002,Ene,387,319,220.5,0.735,409,324,280,0.39,169,135,132.5,0.175
,Feb,387,319,228,0.68,409,324,289,0.35,169,135,131.5,0.185
,Mar,387,319,237,0.62,409,324,263.5,0.475,169,135,133.5,0.165
,Abr,352,278,230.5,0.45,351,294,264.5,0.335,148,132,133,0.15
,May,352,278,230.5,0.45,351,294,247.5,0.425,148,132,132,0.155
,Jun,352,278,242.5,0.38,351,294,253,0.395,148,132,132,0.15
,Jul,352,278,245.5,0.36,351,294,246.5,0.435,148,132,129,0.18
,Ago,352,278,241.5,0.385,351,294,252,0.4,148,132,132.5,0.16
,Sep,352,278,230,0.45,351,294,253.5,0.39,148,132,140,0.15
,Oct,352,278,227,0.47,351,294,240,0.475,148,132,154,0.105
,Nov,352,278,227.5,0.465,351,294,241,0.465,148,132,155,0.1
,Dic,352,278,226.5,0.47,351,294,250,0.41,148,132,156,0.095
2003,Ene,352,278,224.5,0.49,351,294,252.5,0.395,148,132,154,0.11
,Feb,352,278,239,0.395,351,294,260,0.36,148,132,152.5,0.115
,Mar,352,278,236,0.41,351,294,270,0.31,148,132,151.5,0.125
,Abr,319,253,235,0.295,313,274,257.5,0.275,141,132,151.5,0.07
,May,319,253,233,0.305,313,274,250,0.315,141,132,152,0.065
,Jun,319,253,238,0.28,313,274,245,0.345,141,132,147,0.1
,Jul,319,253,244.5,0.24,313,274,238.5,0.38,141,132,145,0.12
,Ago,319,253,239.5,0.27,313,274,243,0.355,141,132,146,0.11
,Sep,319,253,233.5,0.3,313,274,240.5,0.365,141,132,160,0.025
,Oct,319,253,238,0.28,313,274,223.5,0.47,141,132,157.5,0.03
,Nov,319,253,235.5,0.29,313,274,211,0.56,141,132,151.5,0.07
,Dic,319,253,232,0.8,313,274,217.5,0.51,141,132,156,0.04
2004,Ene,319,253,237.5,0.8,313,274,229,0.435,141,132,156.5,0.04
,Feb,319,253,255.5,0.8,313,274,228,0.44,141,132,152.5,0.065
,Mar,319,253,256.5,0.8,313,274,236.5,0.39,141,132,153,0.06
,Abr,280,238,284.5,0.8,292,263,259.5,0.22,145,136,152,0.1
,May,280,238,285.5,0.8,292,263,272,0.2,145,136,150,0.11
,Jun,280,238,275,0.8,292,263,263,0.205,145,136,153,0.09
,Jul,280,238,272.5,0.8,292,263,262.5,0.2,145,136,153.5,0.085
,Ago,280,238,274.5,0.8,292,263,286.5,0.2,145,136,145,0.14
,Sep,280,238,280.5,0.8,292,263,286.5,0.2,145,136,133.5,0.17
,Oct,280,238,277.5,0.8,292,263,271,0.2,145,136,126,0.24
,Nov,280,238,287,0.8,292,263,273,0.2,145,136,123,0.27
,Dic,280,238,299.5,0.8,292,263,274.5,0.2,145,136,132,0.185
2005,Ene,280,238,318,0.8,292,263,273,0.2,145,136,137.5,0.15
,Feb,280,238,330,0.8,292,263,282,0.2,145,136,136,0.15
,Mar,280,238,335,0.8,292,263,293,0.2,145,136,139,0.15
,Abr,265,241,332,0.8,297,268,291.5,0.2,151,141,141.5,0.16
,May,265,241,336.5,0.8,297,268,285,0.2,151,141,139.5,0.165
,Jun,265,241,335,0.8,297,268,285,0.2,151,141,140.5,0.155
,Jul,265,241,326,0.8,297,268,305,0.16,151,141,137,0.185
,Ago,265,241,314,0.8,297,268,351.5,0.02,151,141,142,0.16
,Sep,265,241,323.5,0.8,297,268,353,0.01,151,141,147,0.15
,Oct,265,241,327.5,0.8,297,268,350.5,0.025,151,141,143.5,0.15
,Nov,265,241,328.5,0.8,297,268,339.5,0.05,151,141,142,0.15
,Dic,265,241,319.5,0.8,297,268,315.5,0.13,151,141,144,0.15
2006,Ene,265,241,323,0.8,297,268,358,0.01,151,141,142.5,0.15
,Feb,265,241,331,0.8,297,268,401,0,151,141,134,0.215
,Mar,265,241,342.5,0.8,297,268,468,0,151,141,141.5,0.15
,Abr,290,254,344,0.8,317,288,477.5,0,157,147,147,0.15
,May,290,254,343,0.8,317,288,498.5,0,157,147,147,0.15
,Jun,290,254,348,0.8,317,288,509.5,0,157,147,144.5,0.17
,Jul,290,254,353.5,0.8,317,288,488.5,0,157,147,148.5,0.15
,Ago,290,254,354.5,0.8,317,288,501,0,157,147,151,0.15
,Sep,290,254,354.5,0.8,317,288,501,0,157,147,152.5,0.15
,Oct,290,254,352.5,0.8,317,288,501,0,157,147,156,0.15
,Nov,290,254,343,0.8,317,288,501,0,157,147,156,0.15
,Dic,290,254,341,0.8,317,288,441.5,0,157,147,156,0.15
2007,Ene,290,254,349.5,0.8,317,288,377,0.01,157,147,156,0.15
,Feb,290,254,356,0.8,317,288,360,0.055,157,147,156,0.15
,Mar,290,254,357,0.8,317,288,360.3929292929293,0.055,157,147,156.03713999999997,0.15
,Abr,315,275,364,0.8,402,322,370.5,0.2,159,148,156.03713999999997,0.15
,May,315,275,361,0.8,402,322,350.5,0.2,159,148,156.03713999999997,0.15
,Jun,315,275,361,0.8,402,322,356.5,0.2,159,148,156.03713999999997,0.15
,Jul,315,275,372,0.8,402,322,344,0.2,159,148,156.03713999999997,0.15
,Ago,315,275,376.5,0.8,402,322,342,0.2,159,148,191.07675162499999,0.075
,Sep,315,275,372,0.8,402,322,311.06818181818176,0.24,159,148,226.31157000000002,0
,Oct,315,275,369.25,0.8,402,322,301.19500000000005,0.285,159,148,226.31157000000002,0
,Nov,315,275,377.75,0.8,402,322,304.0283333333333,0.27,159,148,226.31157000000002,0
,Dic,315,275,394,0.8,402,322,309.7409090909091,0.25,159,148,226.31157000000002,0
2008,Ene,315,275,415.75,0.8,402,322,330.7216666666667,0.2,159,148,226.31157000000002,0
,Feb,315,275,419.75,0.8,402,322,360.76666666666665,0.2,159,148,226.31157000000002,0
,Mar,315,275,524.25,0.8,402,322,387.8818181818182,0.195,159,148,226.31157000000002,0
,Abr,346,304,651,0.8,427,344,375.4716666666667,0.2,172,153,226.31157000000002,0
,May,346,304,867,0.8,427,344,378.9727272727273,0.2,172,153,226.31157000000002,0
,Jun,346,304,1067.5,0.8,427,344,356.0909090909091,0.2,172,153,226.31157000000002,0
,Jul,346,304,921.25,0.8,427,344,386.55954545454546,0.2,172,153,226.31157000000002,0
,Ago,346,304,788.1666666666667,0.8,427,344,406.35568181818184,0.2,172,153,226.31157000000002,0
,Sep,346,304,744,0.8,427,344,422.30954545454546,0.195,172,153,226.31157000000002,0
,Oct,346,304,760.25,0.8,427,344,410.01363636363635,0.2,172,153,226.31157000000002,0
,Nov,346,304,671,0.8,427,344,360.0246212121212,0.2,172,153,226.31157000000002,0
,Dic,346,304,594.25,0.8,427,344,353.84499999999997,0.2,172,153,226.31157000000002,0
2009,Ene,346,304,570.5,0.8,427,344,341.9327272727272,0.21,172,153,226.31157000000002,0
,Feb,346,304,612,0.8,427,344,371.79090909090905,0.2,172,153,226.31157000000002,0
,Mar,346,304,618,0.8,427,344,417.62,0.2,172,153,226.31157000000002,0
,Abr,502,337,611.75,0.8,452,374,420.11499999999995,0.2,194,162,226.31157000000002,0
,May,502,337,581.75,0.8,452,374,432.0626262626263,0.2,194,162,226.31157000000002,0
,Jun,502,337,570.5,0.8,452,374,469.9940909090909,0.15405944943458333,194,162,226.31157000000002,0
,Jul,502,337,606.75,0.8,452,374,467.3772727272728,0.16052603850409497,194,162,226.31157000000002,0
,Ago,502,337,615.9166666666667,0.8,452,374,486.3439393939394,0.11629238575233919,194,162,226.31157000000002,0
,Sep,502,337,589.25,0.8,452,374,576.2872727272728,0,194,162,226.31157000000002,0
,Oct,502,337,572,0.8,452,374,593.1318181818182,0,194,162,226.31157000000002,0
,Nov,502,337,556.75,0.8,452,374,612.2818181818182,0,194,162,226.31157000000002,0
,Dic,502,337,595.5,0.8,452,374,625.2104545454545,0,194,162,226.31157000000002,0
2010,Ene,502,337,643,0.8,452,374,684.7454545454545,0,194,162,226.31157000000002,0
,Feb,502,337,616.75,0.8,452,374,763.645,0,194,162,226.31157000000002,0
,Mar,502,337,601.75,0.8,452,374,743.8570707070708,0,194,162,226.31157000000002,0
,Abr,560,394,555.9166666666667,0.8,490,408,570.3068181818181,0.051232773975813356,208,172,226.31157000000002,0.05694993852943525
,May,560,394,501.25,0.8,490,408,522.3212121212122,0.12675070124859283,208,172,226.31157000000002,0.05694993852943525
,Jun,560,394,495.75,0.8,490,408,499.21500000000003,0.1707851207579405,208,172,226.31157000000002,0.05694993852943525
,Jul,560,394,493.25,0.8,490,408,536.7681818181818,0.09664415353304955,208,172,226.31157000000002,0.05694993852943525
,Ago,560,394,489.5,0.8,490,408,599.9181818181818,0,208,172,226.31157000000002,0.05694993852943525
,Sep,560,394,495,0.8,490,408,585.0541666666668,0.013312963771278816,208,172,226.31157000000002,0.056949938529435314
,Oct,560,394,523,0.8,490,408,642.2409090909091,0,208,172,226.31157000000002,0.05694993852943525
,Nov,560,394,533,0.8,490,408,717.9081818181819,0,208,172,226.31157000000002,0.05694993852943525
,Dic,560,394,575.5,0.8,490,408,758.9545454545455,0,208,172,226.31157000000002,0.05694993852943525
2011,Ene,560,394,588,0.8,490,408,796.2136363636362,0,208,172,226.31157000000002,0.05694993852943525
,Feb,560,394,568,0.8,490,408,811.625,0,208,172,226.31157000000002,0.05694993852943525
,Mar,560,394,565.5,0.8,490,408,782.440909090909,0,208,172,226.31157000000002,0.05694993852943525
,Abr,600,441,542.5833333333334,0.8,585,470,745.9534090909092,0,224,191,226.31157000000002,0.1382537799547765
,May,600,441,530.5,0.8,585,470,695.1545454545453,0.012376237623762373,224,191,226.31157000000002,0.13825377995477642
,Jun,600,441,533,0.8,585,470,642.2877272727272,0.048184505338092556,224,191,226.31157000000002,0.1382537799547765
,Jul,600,441,560.5,0.8,585,470,748.8090909090909,0,224,191,226.31157000000002,0.13825377995477642
,Ago,600,441,591.75,0.8,585,470,825.9099999999999,0,224,191,226.31157000000002,0.13825377995477642
,Sep,600,441,607.585,0.8,585,470,765.0363636363636,0,224,191,226.31157000000002,0.13825377995477642
,Oct,600,441,645.5,0.8,585,470,736.4077272727272,0,224,191,226.31157000000002,0.13825377995477642
,Nov,600,441,651.75,0.8,585,470,715.8127272727272,0,224,191,226.31157000000002,0.13825377995477642
,Dic,600,441,660.9166666666667,0.8,585,470,671.8954545454546,0.024148994942841263,224,191,226.31157000000002,0.13825377995477642
2012,Ene,600,441,625.5,0.8,585,470,636.8518181818183,0.05638092826714588,224,191,226.31157000000002,0.13825377995477642
,Feb,600,441,570.5,0.8,585,470,656.026388888889,0.025819424016171294,224,191,226.31157000000002,0.13825377995477642
,Mar,600,441,572.5833333333333,0.8,585,470,672.4190909090909,0.0029393774636401193,224,191,226.31157000000002,0.13825377995477642
,Abr,651,505,589.25,0.8,699,535,675.0136363636364,0.15,238,215,226.31157000000002,0.15
,May,651,505,586.75,0.8,699,535,625.7277777777778,0.15,238,215,226.40578500000004,0.15
,Jun,651,505,646.3333333333333,0.8,699,535,590.4181818181819,0.15,238,215,226.31157000000002,0.15
,Jul,651,505,643,0.8,699,535,615.2840909090909,0.15,238,215,226.31157000000002,0.15
,Ago,651,505,623,0.8,699,535,662.7027777777778,0.15,238,215,226.31157000000002,0.15
,Sep,651,505,613.4166666666667,0.8,699,535,602.4318181818181,0.15,238,215,226.31157000000002,0.15
,Oct,651,505,606.75,0.8,699,535,590.2677777777777,0.15,238,215,226.31157000000002,0.15
,Nov,651,505,598,0.8,699,535,593.3590909090909,0.15,238,215,226.31157000000002,0.15
,Dic,651,505,596.75,0.8,699,535,552.8977272727273,0.15,238,215,226.31157000000002,0.15
2013,Ene,651,505,596.75,0.8,699,535,544.4722222222222,0.15,238,215,226.31157000000002,0.15
,Feb,651,505,593.8333333333333,0.8,699,535,529.2,0.16772639691714836,238,215,226.31157000000002,0.15
,Mar,651,505,594.25,0.8,699,535,526.11875,0.16952350442568848,238,215,226.31157000000002,0.15
,Abr,691,575,586.75,0.8,744,595,552.53,0.23844314069015798,240,234,226.31157000000002,0.18906868084561465
,May,691,575,588,0.8,744,595,534.5636363636363,0.2800603057161985,240,234,226.31157000000002,0.18906868084561465
,Jun,691,575,571.75,0.8,744,595,510.1590909090909,0.34144437287510765,240,234,226.31157000000002,0.18906868084561473
,Jul,691,575,546.75,0.8,744,595,518.06,0.32147274685777816,240,234,226.31157000000002,0.18906868084561465
,Ago,691,575,516,0.8,744,595,512.475,0.335471208674863,240,234,226.31157000000002,0.18906868084561465
,Sep,691,575,486.375,0.8,744,595,517.5995454545455,0.3221333981733876,240,234,226.31157000000002,0.18906868084561465
,Oct,691,575,468.25,0.8,744,595,515,0.3286608149430098,240,234,226.31157000000002,0.18906868084561465
,Nov,691,575,460.8636363636364,0.8,744,595,528.0083333333333,0.2959263258813752,240,234,226.31157000000002,0.18906868084561473
,Dic,691,575,453.5,0.8,744,595,494.6232323232323,0.3834164258535242,240,234,226.31157000000002,0.18906868084561465
