Partida,Descripcion Partida10 Dig,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
,,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$
,,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB
0704100000,"Coliflores y brecoles (""broccoli""), frescos o refrigerados.",0,0,22.61,17.915,34.015,34.676,298.238,386.062,55.68,71.55,0,0,0,0,1.126,0.315,6.812,8.539,4.433,4.575,2.4299999999999997,2.489,3.8449999999999998,4.078,7.553000000000001,5.832,12.191000000000003,10.335,140.94387,228.77551,18.4112,17.26562,434.00944,261.24791,465.34800999999993,279.27795000000003,284.72987,328.31146,22.638520000000003,14.67435,147.66093,94.02106,213.77067,133.2249,126.76978,82.75285,50.301,31.710209999999996,100.00885,58.66225,3.6417,7.76013,0,0
0704900000,"Los demás coles, coliflores, coles rizadas, colinabos y productos comestibles similares del género brassica, frescos o refrigerados.",51.212,20.406000000000002,227.74099999999999,167.407,128.00799999999998,118.578,0,0,0,0,0,0,0,0,200.08,60.023,0,0,0.205,0.691,58.07599999999999,24.394000000000002,156.05599999999998,92.775,65.345,30.033,136.20300000000003,65.67999999999999,25.8957,13.231649999999998,56.451750000000004,34.44173000000001,4.13783,5.494549999999999,0.6208400000000001,0.61793,2.08,0.86951,0,0,2.065,1.354,6.541,5.0354,0.12,0.042,0.07834999999999999,0.012,5.95558,3.2469900000000003,91.05350999999999,56.32077000000001,125.94264000000001,80.02201000000001
0705110000,"Lechugas repolladas, frescas o refrigeradas.",0,0,6.2459999999999996,4.022,12.459,7.446999999999999,0.868,0.441,1.843,5.355,1.003,1.206,0.42,0.502,0,0,24.834,25.631,10.556999999999999,13.021,7.119000000000001,2.4829999999999997,11.109999999999998,9.637,4.9990000000000006,5.677,110.622,69.281,23.498699999999996,31.70078,86.5144,139.19866000000002,226.11457,339.05483000000004,311.89359,353.4724499999999,164.88511000000003,231.8453,291.83905,421.35199,369.5958,469.90758000000005,286.02882000000005,379.4923999999999,524.4504499999999,572.0763599999999,145.8915,191.12270999999998,34.79423,140.9328,149.7684,290.81977000000006,136.94858,245.51147999999995
0705190000,"Las demás lechugas (lactuca sativa), frescas o refrigeradas.",0,0,0.007,0.02,0,0,0.353,0.671,11.438,31.775999999999996,0,0,0,0,0.933,0.261,1.1760000000000002,1.7650000000000001,424.224,266.16799999999995,271.13100000000003,163.106,8.167,6.585000000000001,9.983,11.011999999999999,12.721,13.245,72.15803999999999,67.94082,91.18473,108.36008,46.03387000000001,106.159,11.842940000000002,30.05422,8.19479,13.600309999999999,22.7353,21.37598,7.91019,18.029149999999998,3.701,10.98249,6.454940000000001,5.343450000000001,0.014,0.00127,2.4764999999999997,4.28915,1.9277300000000004,5.26608,31.19473,94.29294
0705210000,"Achicoria endibia ""witloof"" (cichorium intybus var. foliosum), fresca o refrigerada.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.03,0.061,0.46187999999999996,0,0,0.166,1.4445999999999999,0.163,1.4186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0705290000,"Las demás achicorias (comprendida la escarola), frescas o refrigeradas.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.05,3.036,4.087,0.10700000000000001,0.202,0.012,0.091,0.003,0.003,0,0,0.008,0.01,0,0,0,0,0,0,0,0,1,0.185,0.0002,0.0002,2.67584,2.47054,1.47371,1.50553,0.05968,0.04729,0,0,0.00249,0.00026,0,0
0706100000,Zanahorias y nabos frescos o refrigerados.,194.175,34.086999999999996,1208.6,1106.743,258.1,151.225,58.486999999999995,36.294,120.16,41.13,0,0,108.14,27.349,273.725,118.8,31.502,9.455,175.65099999999998,45.07599999999999,272.53,162.417,3.6209999999999996,2.835,17.522,8.083,6.981,5.603,26.96654,6.25014,131.38874,73.49768,221.50065000000006,127.09808000000001,19.90463,25.44988,17.69046,23.31829,8.2428,15.0244,8.59536,14.774170000000002,2.57004,3.68782,3.54024,5.06255,26.72298,21.28235,2.7635899999999998,6.353829999999999,17.54764,18.02268,16.88774,22.89246
0706900000,"Remolachas para ensalada, salsifies, apionabos, rabanos y raíces comestibles similares, frescos o refrigerados.",572.2539999999999,110.40599999999999,754.3240000000001,670.748,220,220,1.418,1.46,38.293,8.201,2.614,6.187,0,0,317.65099999999995,86.077,52.989999999999995,7.434,426.068,105.54299999999999,340.66499999999996,247.298,0.31500000000000006,0.31400000000000006,1.8969999999999998,1.928,6.234,6.3629999999999995,2.3407100000000005,3.07379,9.426789999999999,15.25086,16.77578,16.561259999999997,69.63152,51.49024,5.3078,11.7605,2.74359,3.7778799999999997,13.390690000000001,10.36495,2.10296,2.99807,3.2149600000000005,5.89376,1.0926,2.04188,3.80075,3.77515,2.73518,2.32638,2.4530000000000003,2.5698199999999995
0707000000,"Pepinos y pepinillos, frescos o refrigerados.",6.366,12.092,0,0,1.565,6.6419999999999995,0.043,0.012,0,0,3.5,13.44,0,0,0.192,0.192,0.392,0.894,3.462,9.713000000000001,13.594999999999999,26.396000000000004,4.653000000000001,4.065,6.359,3.739,12.974,8.608,2.1162,1.71035,0,0,1.9851799999999997,2.5949399999999994,12.386000000000003,9.87137,8.01186,5.2334,31.93702,11.23584,34.367000000000004,14.105820000000001,3.0039599999999997,3.60991,1.6524100000000002,2.4860599999999997,5.201239999999999,3.95644,2.62509,1.12691,15.92348,4.016789999999999,0.20969000000000002,0.6764
0708100000,"Arvejas (guisantes, chicharos) (pisum sativum), frescas o refrigeradas.",10.881,39.797,15.317,68.16400000000002,4.692000000000001,13.146,0.304,0.9520000000000001,0.16,0.412,2.092,4.183,0.013000000000000001,0.088,0.325,0.631,0.597,1.5359999999999998,0.6759999999999999,1.69,6.915,15.293000000000001,12.022000000000002,26.454,4.539000000000001,10.492,2.294,4.729,2.1277600000000003,2.58941,1.58961,2.65471,5.8389299999999995,13.195450000000001,6.62588,20.01417,2.46858,5.39982,26.299899999999997,34.13146000000001,140.295,449.31305999999995,2.9856499999999997,6.649769999999999,368.66109,1924.9596999999999,36.19505,177.14995000000002,0.01187,0.012589999999999999,2.64124,18.306540000000002,0.5029,1.13826
