Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12, 
TABLA 89.  INDICE DE PRECIOS AL CONSUMIDOR. TOTAL NACIONAL. 1995 - 2017,,,,,,,,,,,,,
,,,,,,,,,,,,,
Años,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,
,,,,,,,,,,,,,
TOTAL NACIONAL,,,,,,,,,,,,,
2007,87.130874,88.152143,89.620948,90.634233,90.995503,91.036413,91.059178,90.722748,90.81904,90.674396,91.224947,91.747709,
2008,92.902117,94.619026,95.495624,96.280623,97.768535,99.075435,99.589363,99.422478,98.858229,99.145872,99.451317,100,
2009,100.656474,101.477936,102.02154,102.426348,102.501255,102.299172,102.140796,102.148692,101.988831,101.91267,101.813123,101.899908,
2010,102.77136,103.580713,103.943546,104.579028,104.669922,104.726103,104.627748,104.763356,104.577088,104.479853,104.751132,105.543213,
2011,106.672286,107.302781,107.555053,107.684527,108.118137,108.433968,108.628831,108.710188,109.120295,109.449694,109.669898,110.131837,
2012,111.035246,111.55422,111.661379,111.886972,112.365253,112.403034,112.394907,112.483428,112.78314,112.998559,112.784963,112.833781,
2013,113.178376,113.565707,113.80825,114.121523,114.551532,114.701458,114.765699,114.856677,115.056373,114.689648,114.387003,114.582434,
2014,115.197431,115.751798,116.343104,116.96084,117.623401,117.690885,117.957879,118.171079,118.300792,118.468059,118.665898,118.908034,
2015,119.920694,121.394537,122.345804,123.041302,123.108489,123.110548,123.330824,123.86207,124.775825,125.78757,126.628167,127.536388,
2016,129.526166,131.272484,132.731596,133.28776,134.022612,134.623506,135.552859,134.614541,134.356812,134.201522,134.364515,134.948858,
2017,136.321514,137.563098,138.161039,138.812951,139.118565,139.144066,139.13501,139.294436,139.22267,139.157638,139.370328,139.833291,
INGRESOS MEDIOS,,,,,,,,,,,,,
1995,51.29974285205082,53.172340046337546,54.540825419456674,55.70690225831912,56.6158311480001,57.31216742622909,57.760266822822516,58.147261756244106,58.648827558112885,59.21277083280291,59.68505741273519,60.19935331109809,
