Años,1 9 9 4,,,1 9 9 5,,,1 9 9 6,,,1 9 9 7,,,1 9 9 8,,,1 9 9 9,,,2 0 0 0,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,
Cultivos,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total,A,B,Total
Producción Semillas,1494.479,1639.447,3133.926,2917.843,2260.972,5178.8150000000005,1351.733,1414.267,2766,797.6,745.4,1543,513,1063,1576,875,713,1588,250,517,767,50,43,93,220,3446,3666,425,75.60000000000002,500.6,240,1994.8049999999998,2234.805,492,360,852,574,1245,1819,14,548,562,81,439,520,541,3127,3668,1998,0x2a,6147,1998,11013,13011,7164,5980,13144,8398,5518.911,13916.911,4554,5863.526,10417.526,18696.63,17587.37,36284,3178,2383,5561
Hortalizas,2516.264,3078.691,5594.955,2455.57,2760.837,5216.407,1643.9,2308.8,3952.7,2319,1877.2,4196.2,1039,1049,2088,824,3743,4567,1301,1097,2398,1132,1598,2730,1656,2419,4075,3264,4476.4,7740.4,5560,5326.161,10886.161,5468,6276,11744,4504,5954,10458,3820,1348,5168,1459,4433,5892,5811,7439,13250,9566,0x2a,22598,9566,11849,21415,9334,12033,21367,7777,9831.723000000002,17608.723,7793,10305.723000000002,18098.723,9593.68,14521.32,24115,11156.61,15152.39,26309
Tabaco Negro,183.79,17.836,201.62599999999998,555.206,15.9,571.106,160.656,108.58100000000002,269.237,26,257.8,283.8,336,246,582,933,158,1091,31,306,337,14,284,298,236,12,248,31,24.700000000000003,55.7,3662,357.59900000000016,4019.599,49,1679,1728,41,1492,1533,300,16,316,0,5074,5074,179,627,806,105,0x2a,1679,105,2148,2253,26,1084,1110,23,695.487,718.487,228,249.317,477.317,46.5,874.5,921,25,588,613
Tabaco Rubio,610.202,208.637,818.8389999999999,1880.04,645.236,2525.276,1857.005,993.4,2850.405,621.7,843,1464.7,1873,639,2512,758,197,955,304,3510,3814,779,1166,1945,786,9104,9890,19506,1912.5,21418.5,19230,121.36699999999837,19351.367,444,1941,2385,347,12263,12610,2410,181,2591,31,4929,4960,3494,2516,6010,4563,0x2a,17769,4563,11748,16311,650,14347,14997,2079,14515.468,16594.468,10920,1958.9529999999995,12878.953,1979.67,9705.33,11685,404.72,9119.28,9524
Cult. Ciclo Corto/2,,,,5162.705,5325.902,10488.607,1368.7,3426.6,4795.3,1885,1603.2,3488.2,982,865,1847,254,946,1200,1174,1072,2246,1508,1710,3218,2140,2536,4676,4423,6217,10640,8323,4818.4,13141.4,5451,5404,10855,5999,6866,12865,3932,78685,82617,38082,32583,70665,20949,8684,29633,10445,0x2a,32420,10445,16830.5,27275.5,18511,19262,37773,15601,10328.707999999999,25929.708,13261,9745.79,23006.79,11056.2,14837.8,25894,14608.19,10616.81,25225
TOTALES,70137.26980000001,67989.26119999998,138126.531,102020.929,100739.469,202760.398,81371.83499999999,89007.80700000003,170379.642,73771.79999999999,57896.60000000001,131668.4,62314,47196,109510,37738,48934,86672,46776,61564,108340,76455,95781.12700000001,172169,118984.18,148853.94700000001,267838,222775,149519.4,372294.4,195395,147519.399,342914.3990000001,101260,96229,197489,89588,125025,214613,73497,213134,286631,158593,179696,338289,174630,167155,341785,175678,0x2a,393888,175678,179064,354742,191353,194796,386149,158817,160249.88399999996,319066.88399999996,170519,149690.85900000003,320209.85899999994,238837.80000000002,211289.19999999998,450127,268545.68,202098.32000000004,470644
"FUENTE: FINAGRO, con base en Informe de Aprobaciones.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota: Incluye Maíz Clima Templado y Maíz Clima Frío /1 - Para el año 2008 incluye los creditos otorgados por el programa AIS para el mismo grupo de cultivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2/ Ajonjolí, algodón, Arroz Riego, Arroz Secano, Avena, Frijol, Maiz Clima Templado, Maíz clima frio, Maíz Blanco Trecnificado, Maíz Blanco Tradicional, Maní, Papa, sorgo, Soya, Trigo, Maíz I.S. Clima Medio, Arroz Riego AIS, Arroz secano AIS, Tabaco Negro, Tabaco Rubio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELABORO: Ministerio de Agricultura y Desarrollo Rural, Oficina Asesora de Planeación y Prospectiva - Grupo de Información y Estadísticas Sectoriales.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
