               ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
                ,,,,,,,,,,,,,,,,,,
TABLA 93. PRECIOS DE LOS PRINCIPALES PRODUCTOS AGROPECUARIOS Y AGROINDUSTRIALES 2000 - 2017 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,$ Pesos/Tonelada,
Caña Azúcar**/1/3.,30374.63416770209,40383.13556325973,41579.2081831746,39285.06999706361,39694.79734030117,42897.201710576584,51729.8997562318,51326.31159634181,51468.07786693745,61560.85050185208,69391.64010968509,71899.13574889909,70384.81636107218,68877.91113303456,66654.85411107595,73687.0,96444,89332.07951564077
Etanol/3. ($/galón),,,,,,,4900.287500000001,4790.524166666667,4738.190000000001,6595.750857502765,7462.366666666665,8392.183333333334,8186.344166666667,6842.830000000001,6434.123333333334,7176.639816997757,7785.317500000001,8377.540833333333
Azúcar Blanca/5,898860.25,1098034.4804084168,1138686.9166666667,1102643.25,1021371.0,1066501.25,1417037.861084069,1192999.5750599885,1144867.2690719583,1343990.1220981444,1685821.931879244,1696694.8244798763,1463111.3984446863,1335666.8531165144,1409430.7368038427,1776075.8053853342,2289662.5,1951129.1666666665
Azúcar Refinada/5,877391.3333333334,1199347.7935005834,1231679.8333333333,1241838.25,1123775.1818181819,1206908.5454545454,1580684.3636363635,1601999.8803126968,1356843.3276122906,1462766.8983085782,1876393.971972611,1751801.2503727272,1661639.9826786274,1426480.30189535,1579399.5832096573,1899656.32208336,2268658.733230134,1938799.0173940014
Palma Africana - Fruto/3,123901.66666666667,133931.66666666666,186121.66666666666,238155.83333333334,212670.0,165410.0,183818.5491666667,262519.7975,306824.0561583333,252163.333333333,290855.8333333333,360329.1666666667,410840.241,343805.0,362583.3333333333,393916.6666666667,424907.0487363585,433649.33371688944
Aceite Crudo de Palma/3 ,804166.6666666666,885416.6666666666,1167416.6666666667,1558666.6666666667,1417166.6666666667,1089083.3333333333,1156368.9166666667,1517518.4166666667,1888430.7225,1666250.0,1751250.0,2119583.3333333335,1956382.0999999999,1637166.6666666667,1812916.6666666667,1969583.3333333333,2124535.2436817926,2168246.668584448
 Panela/3 ,614000.0,754000.0,960000.0,810000.0,653000.0,648000.0,1008000.0,1578000.0,1226000.0,944000.0,1112000.0,1537000.0,1601000.0,1548000.0,1384000.0,1368000.0,2241272,2901000
Fique*/1 ,770708.6614173228,926354.3581616482,963553.5219079312,1263573.598130841,1411183.7209302327,1424689.6077081899,1711015.1242347858,1616961.9737437754,1617209.3178036606,1555704.8665620093,1601638.1578947369,1714286.5264354746,1798865.3049958597,1893012.2857142857,2049889.705882353,2816958.4338235296,2168445.7266498376,2405109.794658018
Plátano/4 ,475879.609215252,438116.9043601429,451587.75331246125,464630.0498887211,450956.80715976574,500153.7822500001,606968.993233175,690795.7625341825,794836.9474934298,817092.3820232458,813006.9201131295,838007.6425970708,879865.9592219915,915923.0032263291,897269.7646331933,1175423.3916694832,1587834.35890198,1093222.2741817436
Yuca/4 ,439090.4928984646,284747.53341614,227156.7853128225,422849.56355958706,312927.264191538,317669.5166666666,424779.7845350222,441877.52370197565,405085.04954728915,570940.6416666667,458086.0416666666,458551.0737057714,630701.2629435807,338161.60262253706,297162.0178616666,418998.4451849499,362499.08584467665,256678.49583692788
Ñame/4,482142.5,596309.6,438437.0,591672.9,438720.5,424801.5,652833.8,761616.2,650712.0,673874.6,879575.0,1210545.0,1539265.0,681278.0,598678.0983846332,844136.1187223328,730309.5629155578,517117.8836704987
Frutales/4 ,616987.3494172267,710794.4151190115,768862.2321791253,742456.8989083795,763785.1302694309,799871.5167262199,900383.874891117,985067.370597475,1034592.3137520833,1191772.3951281786,1143154.865127204,1417652.9282030852,1280817.3222677046,1387249.6093908069,1521524.6188692076,1780183.8040769727,1803797.674659951,1717840.4399390062
Flores/6,7261341.985697063,7733156.603453549,8833055.522767195,10040053.9413262,8859199.079014458,9492628.38110794,10217249.21626398,9954918.852133527,9511430.06341961,10802004.460929167,10688015.173310248,11157428.892903538,11300661.743439436,11759187.986891126,11386391.301817968,18754423.819836054,17159899.500557926,16831034.628036622
Café/3 ,2814512.0,2413896.0,2383048.0,2537184.0,2895304.0,3742800.0,3818992.0,3758736.0,4046856.0,5371832.0,6145592.0,7917944.0,5401824.0,3848968.0,5636316.124756885,5734568.326118325,6690214.545454546,6545181.15719406
Productos Pecuarios e Industria Cárnica,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Bovino en pie para sacrificio/7,1865000.0,2471000.0,2574000.0,2631000.0,2773000.0,2907000.0,2974000.0,3484000.0,3348000.0,3209000.0,2877000.0,2896000.0,3162000.0,3337000.0,3354000.0,3538000.0,4741056.910569105,4599000
Carne de res en canal*/5,3082726.75,3743876.5129559995,4331760.5,4467329.701936156,4528586.725000001,4880542.4931675,4869795.607378338,5548926.96880556,5903930.139127498,6256093.42623242,5279988.47659218,5749989.93413895,5966532.627356573,6102385.676378418,6373569.26220956,6692247.725320038,7563284.017305154,8009597.430311547
Leche Cruda/8,403850.9375,443900.91875,453405.101933637,490455.0800826952,537519.52945,549584.5,563392.75,641074.25,703494.066554866,713214.1676928889,714476.0808187276,743487.7421791283,755711.6083974782,764371.000977566,801363.0,810084.0,868224,929271
Aves/3,2985333.3333333335,3365350.0,3353333.3333333335,3492850.0,3615540.472222222,3839058.1666666665,3629974.5,3995802.8935185187,4070275.6944444445,3706928.9235348203,4216108.333333333,4749965.625,5139944.794090466,5038825.902323961,5013402.111232818,5157546.6134787025,5464665.761445626,5417810.11151045
Huevos/3,2102467.592592593,2088000.0000000002,2389851.851851852,2419067.12962963,2772381.944444445,2541581.018518519,2430092.5925925933,2880555.555555556,3349305.5555555555,3147916.6666666674,3275462.9629629627,3218339.539851621,3373705.832683814,3172401.0204670765,3493336.2922548414,3585599.1564367358,4242777.350357956,3919571.1350892
Porcinos/7,2523469.5833333335,2915389.166666667,2973596.6666666665,2829579.3067235025,3493059.291666667,3846395.023467433,3276514.895833333,3396807.1550179212,4507620.697379804,4254000.0,4538988.735279057,4294500.0,4370354.459427489,4621626.666666667,5065917.5,4488083.333333333,4830655.833333333,5313883.333333333
Carne de cerdo en canal/7,2997502.2682093503,3338733.558870238,3533274.237943793,3662648.943449375,4178527.5766451517,4677181.815765193,4410348.941817706,4831304.166666667,6135995.833333334,5726235.0,5784197.499999999,5868216.666666667,5678749.166666666,6124840.0,6632734.166666666,5925840.000000001,6281759.166666667,6936964.999999999
,,,,,,,,,,,,,,,,,,
Fuente.,,,,,,,,,,,,,,,,,,
1/ Encuesta Anual Manufacturera del DANE - EAM. Precios calculados implícitamente a partir de dividir el valor del consumo de  materias primas por  la industria  entre la cantidad consumida por ellos mismos de este producto. Para caña de azúcar esta fue la fuente hasta el año 2010.,,,,,,,,,,,,,,,,,,
2/ Ministerio de Agricultura y Desarrollo Rural -MADR.  Los cereales de cebada y trigo se tomaron para el periodo 2008-2010 de las Evaluaciones Municipales -EVAS y para los demás años se evolucionó con la variación mensual del IPP del producto respectivo o del que mas se le asemeje.,,,,,,,,,,,,,,,,,,
3/ Gremios. Arroz pady verde-FEDEARROZ-. Fruto y Aceite Crudo de Palma-FEDEPALMA-.Cacao en grano -FEDECACAO-. Café Pergamino -FEDERACION NACIONAL DE CAFETEROS- . Caña de Azúcar - PROCAÑA (2010-2016; del 2017 en adelante evolucionado con IPP de caña molida ).Panela -FEDEPANELA- .ASOCAÑA -Etanol-.Banano de Exportación -AUGURA-Precio calculado implícitamente a partir de dividir el valor de las exportaciones de este producto entre las cantidades exportadas del mismo. Pollo crudo y Huevos frescos -FENAVI-,,,,,,,,,,,,,,,,,,
"4/Sistema de Información de Precios del Sector Agropecuario -SIPSA. MADR-CCI:2000-2010. Para el periodo 2000-2010 se tomó los precios del primer mercado, es decir los precios en las plazas de mercado mas cercanas a las principales zonas productoras. A partir de 2011  se e evolucionó con la variación mensual del IPP del producto respectivo o del que mas se le asemeje calculado por el DANE.",,,,,,,,,,,,,,,,,,
5/ Bolsa Mercantil de Colombia -BMC  . A partir de noviembre de 2015 se evoluciona con la variación mensual del IPP del producto respectivo o del que mas se le asemeje. Para el caso del maíz y el sorgo se evoluciona con el comportamiento de los precios suministrado por FENALCE.Para el precio de la fibra de algodón NO INCLUYE  la compensación otorgada por el Gobierno. ,,,,,,,,,,,,,,,,,,
6/ Estadísticas de Comercio Exterior  del DANE . Precios calculados implícitamente a partir de dividir el valor de las exportaciones de flores  entre la cantidad exportada de las mismas.,,,,,,,,,,,,,,,,,,
"7/ Precios del ganado bovino y porcino en pie. Ganado Bovino: Precio promedio nacional anual por tonelada  en pie con base en información de  las plantas de beneficio reportadas por el gremio ganadero de FEDEGAN. Ganado Porcino: MADR- Ferias de Bogotá y Medellín. Precio por tonelada de cerdo en pie. A partir del 2013 se toma el promedio nacional de la ronda de precios de Asoporcicultores. Para carne de cerdo en canal, es el precio por tonelada de carne en canal  reportada por el gremio desde el año 2007.  Los años anteriores se estimaron deflactando con el IPP para este producto.",,,,,,,,,,,,,,,,,,
"8/Fuente ANALAC para el periodo 2000 - 2007. 2008 - en adelante: MADR - USP serie de precios sin bonificaciones voluntarias. 969 litros = 1 tonelada. Un litro de leche =  1,032 kg",,,,,,,,,,,,,,,,,,
* Evolucionado con la variación acumulada 12 meses a diciembre del IPP del producto respectivo o que mas se le asemeja mientras salen los resultados de la fuente oficial.,,,,,,,,,,,,,,,,,,
** A partir del año 2015 se tomó el precio de PROCAÑA.,,,,,,,,,,,,,,,,,,
P. PROVISIONAL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,
La Bolsa Mercantil dejó de reportar en su página web los precios mensuales de aquellos productos en los que es fuente. Esta fuente empezó a reportar nuevamente a partir de 2016,,,,,,,,,,,,,,,,,,
"1. A partir de Enero 16 se evolucionaron los precios del Maíz Amarillo y Blanco reportado por la BMC, con la variación mensual reportada por Fenalce para cada variedad - amarillo y blanco -",,,,,,,,,,,,,,,,,,
"2. A partir de Enero 16 se evolucionó el precio del Sorgo reportado por la BMC, con la variación mensual del precio  del Sorgo reportado por FENALCE.",,,,,,,,,,,,,,,,,,
"3. Los precios que tienen como fuente la EAM del DANE, para el año en que no se disponga de información mientras se publica, se estima con base en la función de pronóstico de la hoja de cálculo del Excel basada en la metodología de mínimos cuadrados ordinarios.",,,,,,,,,,,,,,,,,,
"4. A partir de Enero 16 se evolucionó el precio de la carne en canal reportado por la BMC, con la variación mensual del IPP de Carne en canal de los producidos y consumidos calculado por el DANE.",,,,,,,,,,,,,,,,,,
