Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"TABLA 75. EXPORTACIONES ANUALES DE PESCADOS Y CRUSTÁCEOS, MOLUSCOS Y DEMÁS INVERTEBRADOS ACUÁTICO",,,,,,,,,
                  SEGUN ZONA MUNDIAL A AÑOS 2009 - 2017 ,,,,,,,,,
,,,,,,,,(Valor Miles FOB Dol Expo),
Año,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016,2017.0
Grupo,,,,,,,,,
ALIANZA PACÍFICO,251.55433000000002,323.17575,203.01394,280.34265000000005,259.04198,227.66597999999996,219.24185000000003,317.93866999999995,254.6605
CA Y EL CARIBE,644.8522399999999,365.67277,223.23860000000002,54.94812999999999,77.92997,83.19567,76.46540999999999,51.10766999999999,143.58079000000004
CAN,3530.3,435.69999999999993,4017.8749000000003,5181.487,10787.739099999999,16633.73319,11769.077800000001,6263.961,8509.356999999998
CARICOM,50.73361,100.13098000000001,63.50868,67.93441,61.151199999999996,31.2895,39.91878,6.69249,7.90738
EFTA,75.03572,85.43929,67.14468000000001,40.73679,51.52810999999999,31.953879999999998,34.13128999999999,80.96194,73.68959
JAPON,2518.30915,3072.47193,2236.79466,1687.83826,1632.2655399999999,1271.4948,1416.5787299999997,1525.56808,1384.6111999999998
MERCOSUR,1.0509,1.9855,4.11881,95.782,0.0,0.0,5.03,8.443200000000001,12.5914
RESTO MUNDO,105282.33382999997,88444.41958,97114.42145000001,87943.75524,73615.90258,82114.91219,62457.17061999999,55651.43912,7910.991239999999
TRIANGULO NORTE,445.66755,672.5573499999999,927.8756599999999,1600.91309,1016.66976,239.73715,8.128339999999998,17.00405,5.317
UNIÓN EUROPEA,44887.858069999995,29283.646679999994,23161.582469999998,20767.223309999994,19399.28916,24166.424329999998,17583.42289,25612.7056,32341.02786
USA*,24042.91191,31659.5648,32419.318589999995,38550.01561999999,42494.07523000002,50322.19914999999,54618.70397,49874.42066999999,54203.50977
Total general,181730.60730999996,154444.76463,160438.89244,156270.9765,149395.59263000003,175122.60583999997,148227.86968,139410.24249,104847.24372999999
Fuente: Cubo de Comercio Exterior por subpartida arancelaria a 4 dígitos NANDINA .,,,,,,,,,
