Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
TABLA 118. VOLUMEN Y VALOR DE LAS IMPORTACIONES DE BIENES DEL SECTOR AGROPECUARIO 1991 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDINA,DESCRIPCION,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
,,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$
,,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF,(Toneladas),CIF
0101101000,"Caballos reproductores de raza pura, vivos.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.408,576.428,82.138,367.353,87.857,423.645,152.68001000000004,807.07422,205.80904,1112.98124,139.32759,798.79795,198.82115,1122.01732,174.47775,929.8192200000001,134.43462,1370.68149,159.13943,1875.87475,0,0,0,0,0,0,0,0,0,0,0,0
0101102000,Asnos reproductores de raza pura.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24545,0.97955,4.11246,9.961139999999999,3.13692,4.65637,0.45764000000000005,4.186920000000001,0.754,2.94978,1.6163500000000002,11.4617,0,0,0,0,0,0,0,0,0,0,0,0
0101109000,"Asnos, mulos y burdéganos, reproductores de raza pura, vivos.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,6.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101110000,"Caballos reproductores de raza pura, vivos.",32.165,142.023,58.88399999999999,215.22,108.64,645.251,186.686,856.822,109.799,562.238,85.773,500.99999999999994,81.70299999999999,532.159,88.901,695.178,27.194000000000003,1154.9319999999998,24.267,529.539,39.823,247.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101191000,Caballos para carreras.,0.455,2.435,0,0,10.117,42.20400000000001,5.162000000000001,23.721,0.5,2.005,18.842,97.732,3.659,21.319,4.45,31.990999999999996,5.8100000000000005,589.1510000000001,4.05,519.421,0.5,4.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101199000,"Los demás caballos de raza pura, vivos.",19.733999999999998,74.46499999999997,0,0,0,0,0,0,0.528,2.357,84.663,528.041,292.47,1726.654,71.451,414.551,6.381,46.102,4.2090000000000005,33.835,10.359,56.025999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101199010,Caballos para polo.,0,0,0,0,0,0,0.85,2.427,5.64,19.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101199090,"Los demás caballos, vivos.",0,0,57.873,213.51300000000003,554.865,414.17299999999994,275.83,250.941,50.53,190.916,0.544,3.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101200000,"Asnos, mulos y burdéganos, vivos.",0,0,0,0,0,0,1.529,5.279,0.8540000000000001,1.08,3.402,0.839,0,0,0,0,1.95,2.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101901100,Caballos para carrera.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.37,28.036,2.131,6.487,0,0,23.25,28.570300000000003,19.00909,160.52333,4.01446,25.26936,0,0,0.932,4.38966,7,49.8176,0,0,0,0,0,0,0,0,0,0,0,0
0101901900,"Los demás caballos vivos, excepto para carrera.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,19.804,15.11,72.957,7.071,38.730999999999995,13.624310000000001,99.46706,64.45168000000001,291.86931,28.700499999999998,156.51274,299.6361299999999,3886.508779999999,423.36584000000005,5372.35085,273.8670000000001,3497.3359700000005,35.5236,533.78697,0,0,0,0,0,0,0,0,0,0,0,0
0101909000,"Asnos, mulos y burdéganos.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.731000000000001,28.299,3.795,27.436999999999998,2.481,11.882,5.550000000000001,27.4663,4.86971,18.25398,5.82668,33.29514,72.00397999999998,176.60429,0.5444,1.2063,10.74169,57.59183999999999,0.45,6.096,0,0,0,0,0,0,0,0,0,0,0,0
0102100000,"Reproductores de raza pura, de la especie bovina.",93.919,257.967,103.73900000000002,301.12800000000004,670.511,1970.156,513.682,2153.28,510.505,1845.0190000000002,596.105,1875.2190000000003,271.876,832.8779999999999,233.79800000000003,880.501,200.661,481.361,148.72199999999998,287.93699999999995,395.58099999999996,790.333,478.323,860.033,725.614,1445.727,19.35,196.085,34.469800000000006,356.32693,16.272,136.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0102100010,"Reproductores de raza pura, de la especie bovina, hembras.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.25353,368.52373,33.13499,225.76478,37.44,278.2,0,0,0,0,0,0,0,0,0,0,0,0
0102100020,"Reproductores de raza pura, de la especie bovina, machos.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5846,44.238260000000004,3.73393,20.76561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0102901000,"Animales vivos de la especie bovina, para lidia.",0,0,0,0,0,0,13.734,169.872,32.2,414.06,34.16,410.694,30,369.227,0,0,29.925,353.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0102909000,Los demás animales vivos de la especie bovina.,36.516000000000005,101.04899999999999,0,0,0,0,7388.065,7047.72,1910.8880000000001,995.924,11270.139000000001,10971.228000000001,1900.7850000000003,1838.9099999999999,967.6229999999998,726.3829999999999,22.93,49.934,4.113,17.12,0,0,0,0,0,0,13,7.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0102909010,Animales vivos de la especie bovina de raza pura y los puros por cruza.,0,0,56.855999999999995,183.452,578.939,581.6619999999999,10629.72,10405.523000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0494,39.352650000000004,2.19241,11.17238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0102909020,"Los demás animales vivos de la especie bovina, machos.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20647,7.74272,0.36867,2.05032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0102909090,Los demás animales vivos de la especie bovina.,0,0,306.8,164.25,2346.54,1323.2500000000002,2520.4310000000005,2135.1769999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0103100000,"Reproductores de raza pura, de la especie porcina.",0.853,12.035,1.8,36.466,5.897,106.23,58.551,886.201,89.83200000000001,877.7639999999999,28.465,382.561,11.195,202.73000000000002,7.186999999999999,130.923,2.566,93.717,3.8470000000000004,78.467,2.537,56.926,15.133,292.65400000000005,6.526,100.738,7.085999999999999,150.917,11.1455,175.86145,54.90362,951.9003200000001,10.425,290.73219,0,0,62.92661,1140.2087,69.28322,724.12359,8.078,163.73357000000001,5.833,108.56795,15.05057,451.43593,0,0,19.8,525.321,0,0,6.3,192.37562
0103910000,"Animales vivos de la especie porcina, de peso inferior a 50 Kg.",0,0,0,0,0,0,0,0,0,0,0,0,2,16.56,0,0,0,0,1.95,14.363,0,0,0,0,0,0,0.384,2.117,0,0,2.28778,11.54052,0,0,0,0,0,0,3.8232,61.22133,0.8568,13.42861,0,0,0,0,0,0,3.52,109.02068,0,0,0,0
0103920000,"Animales vivos de la especie porcina de raza pura, de peso superior o igual a 50 Kg.",0,0,0,0,0,0,1190.72,1095.712,0,0,272.01,308.92100000000005,0.18,2.398,335.97,446.028,5.819999999999999,6.241,0,0,0,0,0,0,3.61,62.226,0,0,0,0,0,0,0,0,0,0,0.36,1.3867,0,0,0,0,0,0,5.9292,99.78353,0,0,10.505,193.89974,18.317,221.67831999999999,36.199,337.35866
