TABLA 92.  INDICE DE PRECIOS AL CONSUMIDOR. SUBGRUPOS DEL GRUPO DE GASTO DE ALIMENTOS. 1995 - 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Años,   Ene,   Feb,  Mar,  Abr,  May,  Jun,  Jul, Ago,Sept, Oct,Nov,Dic
,,,,,,,,,,,,
CEREALES Y PRODUCTOS DE PANADERIA,,,,,,,,,,,,
2007,81.005479,80.519007,88.275193,91.391012,90.725497,91.072894,88.128737,80.956057,77.89078,75.511811,74.940363,75.356789
2008,81.555906,98.488198,101.700214,108.627047,136.752715,144.804486,136.720077,129.323567,112.676322,105.90725,100.186395,100
2009,102.472439,106.701127,114.721952,127.168093,131.369496,118.261485,107.278081,101.459017,97.750919,102.830828,105.122423,110.046421
2010,124.378205,129.826389,131.64583,138.30469,128.189251,119.775514,115.22833,111.746986,103.316348,102.271963,106.035242,112.745212
2011,115.064879,112.431309,105.854125,103.730373,104.023542,102.528097,104.924362,109.58649,127.410528,137.774035,134.719824,123.600769
2012,116.638767,109.729719,111.7695,115.169888,118.950763,118.070539,118.236205,123.230201,126.486373,129.408547,118.988899,111.75445
2013,112.78,109.32,115.38,116.32,124.48,124.3,125.45,126.38,125.17,110.76,104.63,101.16
2014,103.4,102.02,111.86,129.63,144.96,138.26,139.89,135.47,134.58,131.3,132.93,137.79
2015,148.18,153.56,170.36,171.59,158.3,149.51,137.6,130.18,131.89,143.92,149.03,161.84
2016,193.13,192.11,200.58,207.23,223.98,224.99,232.52,191.01,163.72,152.45,142.82,134
2017,134.33,128.62,126.87,128.81,125.02,122.21,120.33,119.27,122.51,138.04,153.82,159.99
HORTALIZAS Y LEGUMBRES ,,,,,,,,,,,,
1995,59.484057084420584,59.06299575973326,60.15707744456801,60.68407284637852,62.2501367314766,64.2684392344218,61.90174640509882,59.51471051146198,60.74072418816661,62.17460019759794,61.12383425572888,61.381688902262866
1996,64.6441788807524,65.77350054333264,66.30654036807051,70.07937817841854,68.34654701935544,66.70948233727914,70.06130903181726,71.50864767458008,70.88887594615605,68.90126982001485,69.62403568406619,72.98670386656508
1997,29.17351462362365,29.62941654470254,29.80265927471252,30.115478131329724,30.3343110534476,30.764261634403532,30.921372450283027,32.258918547971405,34.844233134274155,36.520549428702694,35.19562830729035,33.327131818437785
1998,33.7303937452525,35.12287701651742,37.69137779062947,41.38242906059441,41.41596017667597,42.947053552296154,43.58294486146564,41.35777670809857,40.333469548167116,39.20026063810924,37.55061350831126,38.816862044872295
1999,48.10138,49.269656,44.898875,40.380169,40.146165,40.282284,41.740851,42.366758,41.368052,41.066557,42.750927,45.786355
2000,49.783136,50.260507,46.734106,43.755425,43.318028,43.226732,44.379159,44.12494,42.967286,42.591866,42.80832,42.633153
2001,43.969227,44.004822,44.66922,45.202525,45.168445,45.967539,44.745736,44.756209,46.56334,48.769812,47.786163,47.199302
2002,48.650783,51.888472,50.493931,53.249297,57.513614,61.068281,59.241826,55.879522,52.503079,50.986942,52.618144,52.977625
2003,55.155813,57.995825,58.406444,62.76687,63.580873,59.437745,56.670392,55.36164,54.066284,53.309804,57.483354,63.922476
2004,67.935273,69.06963,68.472125,61.190458,62.227786,67.911028,65.102951,62.760559,62.278027,61.957522,63.900588,62.547925
