Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
TABLA 105. CRÉDITOS APROBADOS PARA CAPITALES DE TRABAJO Y LÍNEAS DE INVERSIÓN CON RECURSOS DE FINAGRO RESUMEN GENERAL 1996 - 2017,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,(Millones de pesos),
Años,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016,2017.0
Cultivos,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1. CAPITALES DE TRABAJO,291534.7,222877.8,591226.7,615174.4,592931.1,661396.2,475440.7,728533.676,855079.6190000001,727391.659,531172.368,545421.774,804495.5129999999,1499158.9440000001,1183382.017,1586741.722,2629560.092,2618394.485,3079794.957,3943081.089463,4346999.792386999,6472490.900444
,,,,,,,,,,,,,,,,,,,,,,
  AGRICOLAS,210323.40000000002,165522.0,144835.90000000002,107893.1,134805.2,212595.4,221394.9,367725.4,484516.601,444896.375,326731.927,345413.75800000003,474721.289,546535.729,430876.017,542875.851,583091.1510000001,596783.114,481100.842,480585.146463,598539.774001,784226.398925
  Cultivos Semestrales,170379.6,131668.4,109510.0,85472.0,106094.0,144198.0,168951.0,267839.0,372292.0,342915.0,197486.788,214612.609,222945.42,289899.137,341784.248,393887.899,354742.079,386148.284,318781.138,320209.861,449695.86,470334.0
  Cultivos Anuales,4646.2,3125.7,1682.1,1200.0,2246.0,4462.0,3218.0,3169.5,6528.221,9966.923999999999,7506.074,9727.064,3689.64,4498.570000000001,12039.769,26079.656,20277.889000000003,29883.702,17276.503,14163.716,16796,15536.527854
  Sostenimientos,35297.6,30727.9,33643.8,21221.1,26465.2,63935.4,49225.9,96716.9,105696.38,92014.451,121739.065,121074.085,248086.229,252138.022,77052.0,122908.296,208071.183,180751.128,145043.201,146211.569463,132047.914001,298355.871071
  PECUARIAS,62195.5,42435.9,65591.8,53726.3,38611.50000000001,46436.7,36026.9,53760.40700000001,83791.32400000001,86662.04600000002,80536.293,80771.69399999999,113298.695,191877.21499999997,141381.0,134119.87099999998,208008.94100000002,221786.371,163929.11500000002,144763.484,157825.338386,270004.501519
  Avicultura,16604.9,10984.1,39325.3,32771.9,18674.0,24829.6,15068.5,23197.425,31443.567,28103.394,13625.917,20821.805,38986.347,74590.666,63265.0,55692.278,92965.27,124228.665,91642.873,83206.013,83053.824094,189440.960478
  Bovinos,39598.5,27501.3,24458.1,19079.1,11333.4,16222.1,15371.0,25045.462,42163.091,37653.271,41858.982,43517.7,48350.358,75117.031,63573.0,59219.524,70783.133,74065.372,51781.071,59325.259,71780.882292,69523.69668
  Especies Menores,4349.0,2519.4,1075.8,1470.3,5348.3,4576.8,4185.4,3823.743,6111.888,8851.963,8383.842,8187.797,7460.894,26661.017,10941.0,14297.055,33928.368,18177.004,18014.171,7.42,201.5,210.0
