Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
TABLA 98.  SEMILLA CERTIFICADA VENDIDA POR LOS PRODUCTORES Y DENSIDADES DE SIEMBRA A NIVEL SEMESTRAL. 2002 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Miles de Kilogramos),
Producto,Densidad de,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
,Siembra (kg/ha),A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK 777  RR **,,,,,,,,,,,,,,,,11.684,16.38,9.58,27.6,8.92,23.025,,,,,,,,,,,,
DK 777  RRYG **,,,,,,,,,,,,,,,,,,38.42,35.34,86.64,73.5,0.18,,,,,18.5,,,,,,
DK 777  YG **,,,,,,,,,,,,,,,,35.765,26.08,9.1,55.36,20.16,,,,,,,,,,,,,
DK 777 **,,,,,,,,,,,61.014,143.077,118.801,,,107.479,68.36,16.02,,,,,,,,,,,,,,,
DK 888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK 888 **,,,,,,48.6,72.45,,,,65.023,30.572,0.069,,,,,,,,,,,,,,,,,,,,
DOW 2B604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.308,0.7,,
DOW 2B688,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
DOW 2B710,,,,,,,,,,,,,,1,,,,,,,,,0.42,,,,,,,,,,
DOW 2B710 HX,,,,,,,,,,,,,,,,,,,,,,,1.799,,,,,,,,,,
Expro 8135,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
FNC 3056,,,,,,,,,,0.84,13.046,28.954,25.03,41.378,72.73,,14.612,15,7.848,23.182,34.356,15.379,,,,18.599,8.431,18.663,11.005,,7.911,0.048,
FNC 3057,,,,,,,,,,,,,,,,,,,,,,3.708,,,,,,,0.004,,,,
FNC 3059,,,,,,,,,,,,,,,,,,,,,,1.18,,,,22.478,0.153,,,,,,
FNC 318,,,,,,,,,,,,,,,,,,10,19.676,27.961,22.376,0.036,,,,,,0.82,,,,,
FNC 31AC,,,,,,,,,,,,,,,,,,,,,,,,,,0.355,1.385,,0.054,,,,
FNC 514,,,,,,,,,,,,,,,,5.182,,,,,,,,,,0.05,,,,,,,
FNC 8134,,,,,,,,,,,,,,,,,,,,,,,,,,10.336,14.72,17.724,27.024,,0.563,0.202,
FNC 8502,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.002,1.772,,1.192,1.619,1.669
Funks G 5423,,214,,152.1,98.5,101.33,,,,36.25,20.086,48.58,0.155,,,,,,,,,,,,,,,,,,,,
Garra,,,,,,,,,,86.415,,,,,,,,,,,,,,,,,,,,,,,
HR ORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578,,0.282,0.018
HS 15,,,,,,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,
HS 23,,,,,,,,,,,0.06,0.06,,,,,,,24.95,0.45,3.75,,,,,,,,,,,,
HS 3G,,,,,,,,,,22.5,,,,,,,,,,,,,,,,,,,,,,,
HS 514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS 8,,,,,,,,,,,,2.86,,,,,,,,,,,,,,,,,,,,,
HS 9,,,,,,,,81.32,,56,6.666,6.666,,,,,,,,,,,,,,,,,,,,,
ICA H 556,,,,,,,,,,,,,,,4.086,,,,,,,,,,,,,,,,1.505,,
ICI 550,,,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impacto,,,,,,,,,,,,,,,,,,,,,,43.866,35.804,117.587,33.268,,,258.3,,,,1.386,
Impacto BT 11 **,,,,,,,,,,,,,,,,,,,,,,45.756,9,53.604,99.72,,,90.18,12.78,,,7.75,
Impacto VIP3 **,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.08,183.24,,,88.74,
Kacique 101,,,,,,,,,,1.575,0.43,2.95,9.554,5.635,0.62,5.725,6.764,,,,,,,,,,,,,,,,
Kacique 151,,,,,,,,,,1.725,0.375,5.885,4.751,3.32,1.8,7.417,12.798,,,,,,,,,,,,,,,,
Kacique 153,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,
Lucino,,,,,,,,,,,,,,,,,,,,,,20.088,3.222,4.62,11.378,,,63.78,56.64,,,12.276,
Master,,370,,612.6,202.1,1155.645,,,,63.463,8.325,12.66,1.617,,,,,,,,,,,,,,,,,,,,
Maximus,,,,,,,,,,21.336,30.572,61.182,36.427,,,,,,,,43.64,5.782,7.93,19.127,8.638,,,1911.24,17.02,,,12.65,
Maximus Agrisure VIPTERA 3 **,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.22,,,,6.516,
Murano,,,,,,,,,,33.978,0.488,4.472,29.964,,,,,,,,64.845,11.781,2.574,3.78,,,,11.955,1.8,,,,
Nakar,,49,,,,,,,,,12.953,,0.04,,,,,,,,,,,,,,,,,,,,
NK 238,,,,,,,,,,,,,,,,,,,,,,3.15,2.818,0.9,,,,,,,,,
NK 254,,,,,,,,,,,,,,,,,,,,,,45.041,62.296,78.884,107.461,,,,,,,,
NK 316,,,,,,,,,,,,,,,,,,,,,,2.394,,,,,,,,,,,
P 30 F 32 WH **,,,,,,,,,,,,,,,,1.105,58.856,61.676,,,0.0162,,,,,,,,,,,,
P 30 F 32 WHR**,,,,,,,,,,,,,,,,,,10.671,,,,,,,,,,60.725,32.759,10.234,,5.175,8.464
P 30 F 83 WH **,,,,,,,,,,,,,,,15.192,1.744,21.14,13.702,,,,,,,,,,,,,,,
P 30 F35 H,,,,,,,,,,,,,,,,1.743,10.584,,,,,,,,,,,,,,,7.544,5.368399999999999
P 30 F94,,17,,17.7,37.3,22.74,0.46,13.88,,3.78,0.18,,,,0.108,0.036,0.364,,,,,,,,,,,,,,,,
P 3018,,112,,31.2,55.1,24.54,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,
P 30B8 Bt Hercilex ,,,,,,,,,,,,,,,,,31.864,,,,,,,,,,,,,,,,
P 30B87,,26,,,,,,,,,,,,,,,10.276,,,,,,,,,,,,,,,,
P 30B88 **,,,,,,,,,,,,,8.14,79.609,67.104,,,2.244,,,,,,,,,,,,,,,
P 30K35 H Bt Hercilex,,,,,,,,,,,,,,,,,45.668,,,,,,,,,,,,,,,,
P 30K73,,,,,,,,,,,,,,8.655,45.198,4.285,66.556,31.586,,,,,,,,,,,17.442,,,,
P 30K73 H **,,,,,,,,,,,,,,,,0.034,11.396,43.197,,,,,,,,,,,20.825,,,,
P 30K73 H R Bt Hercilex RR,,,,,,,,,,,,,,,,,122.5,,,,,,,,,,,,,,,,
P 30K73 HR **,,,,,,,,,,,,,,,,,,18.445,,,,,,,,,,88.4,,,,,
P 3966W**,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.775,47.039,50.915,,45.494,20.7
P 3966WH**,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.675,127.432,365.466,,463.45,174.915
P 4082W,,,,,,,,,,,,,,,,,,0.459,,,,,,,,,,5.9,7.36,49.164,,1.15,18.4
P 4082WH,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.725,65.297,89.607,,41.055,46
P 4083W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272,6.902,,,
P4226,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.775,2.839,1.19,,4.255,2.806
PAC 105,,,,,,,,,,,,,,5.468,,,,,,,,,5.547,,,,,,,,,,
PAC 133,,,,,,,,,,,,,,0.172,,,,,,,,,0.733,,,,,,,,,,
PAC 147,,,,,,,,,,,,,,0.161,,,,,,,,,,,,,,,,,,,
PAC 259,,,,,,,,,,,,,,,,,,,,,,,0.344,,,,,,,,,,
Pioneer 3041 **,,,,,,,,,,,,67.451,32.412,,,1.452,,,,,,,,,,,,,,34.816,,,
Pioneer 30F32 HR**,,,,,,,,,,,,,,,,,,36.516,,,,,,,,,,,,,,,
Pioneer 30F32 WR **,,,,,,,,,,,,2.202,27.491,21.24,32.184,2.028,19.908,42.5,,,,,,,,,,24.3,0.935,1.462,,,
Pioneer 30F35 **,,,,,,,,,,,,,,16.129,25.182,4.911,34.524,34.289,,,,,,,,,,15,7.446,0.621,,,
Pioneer 30F35 R**,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.825,82.943,158.185,,108.02,17.595
Pioneer 30F35H **,,,,,,,,,,,,,,,,,,78.727,,,,,,,,,,109.35,76.143,22.882,,8.187999999999999,2.3
Pioneer 30F80 **,,,,,,,,101.86,200.82,200.82,105.42,229.086,109.631,10.116,58.338,6.457,48.16,53.312,,,,,,,,,,,,,,,
Pioneer 30F83 **,,,,,,,,17.24,,43.62,28.28,49.673,16.78,14.837,11.718,0.968,14.308,14.654,,,,,,,,,,,,,,,
Pioneer 30F87 **,,,,,,,,,,37.96,46.08,70.689,62.604,75.199,28.638,0.777,,2.72,,,,,,,,,,,,,,,
Pioneer 30F88 **,,,,,,,,,,,,,,,,2.565,,,,,,,,,,,,,,,,,
Pioneer 30K73 **,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.675,,34,,22.218,25.875
Pioneer 30K75 **,,25,,35.3,130.2,120.92,,296.52,,105.38,82.1,91.908,64.88,60.196,47.214,1.992,28.868,0.272,,,,,,,,,,,,,,,
Pioneer 30P70 **,,,,,,,,,,19.9,23.04,16.946,15.966,9.817,5.94,0.07,,,,,,,,,,,,,,,,,
Pioneer 30R92,,,,,,,,6.067,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer 30R94,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,
Pioneer 30T17 **,,,,,,,,,,,,9.731,9.842,5.997,11.376,0.183,6.188,,,,,,,,,,,,,,,,
Pioneer 3862 **,,,,,,,,,,,,,,,,0.061,2.688,4.131,,,,,,,,,,9.3,67.269,29.693,,1.518,
Pioneer P 30F73 H**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.341,,,
Pioneer P 30F73 HR**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.472,,38.157,
Pioneer P 30F35 VYHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.45
Pioneer P 30K73H **,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.05,11.118,115.226,,,
Pioneer P 3862H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.813,,12.351,4.37
Pioneer P 4082WH **,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.525,46.767,,,,
Somma,,,,,,,,,,,,17.606,18.882,,,,,,,,69.147,26.82,1.365,1.91,37.196,,,389.32,272.985,,,9.234,
Sorento,,,,,,,,,,,,,,,,,,,,,,2.988,4.824,6.334,0.78,,,5347.5,86.52,,,,
STATUS Agrisure VIPTERA 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,63.36,,,45.684,
SV 1020,,,,,,,,,,,,,,0.776,,,,,,,,,0.21,,,,,,,,,,
SV 1100,,,,,,,,,,,,,,,,,,,,,,,0.245,,,,,,,,,,
SV 1127,,,5,38.7,61.9,157.607,22.603,163.193,23.773,126.99,,,,4.152,,,,,,,,,0.026,,,,,,,,,,
SV-1035,,,3,12.6,5.9,45.097,22.516,,27.517,33.489,,,,1.739,,,,,,,,,6.747,,,,,,,,,,
SV-670,,,57,23.4,21.2,5.634,2.507,,,,,,,,,,,,,,,,,,,,,,,,,,
SYN 750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,9.821,
Synko,,,,,,,,,,32.332,42.421,14.349,46.561,,,,,,,,12.434,26.747,16.775,40.66,35.62,,,288.715,102.653,,,99.562,
Udenar Granizo 100,,,,,,,,,,,,,,,,,1.314,,,,,,,,,0.443,0.945,0.33,1929,,0.746,,
PAPA,1500,710,1070,952.6000000000001,1118.8999999999999,1093.9250000000002,1018.8,469.125,408,1241.3470000000002,2684.1290000000004,2508.8089999999997,2198.429,194.95,245.1,610.15,885.39,2766.55,999.1499999999999,2080.5,1424,2771.05,1767.8500000000001,1230.127,663.905,1568.85,582.2,0,1550.312,159.65,0,138.912,0
Criollo Colombia,,,,,,,,,,,2.8,10.15,11.35,,,,,26.95,45.3,,,,2.9,,,,,,,,,,
Desirre,,,,,,,,,,,,,16.996,,,,,,,,,,,,,,,,,,,,
Diacol Capiro,,459,680,523.7,674.1,703.488,560.8,376.975,270,899.442,2253.942,2147.192,1880.202,194.95,245.1,610.15,815.92,2647.5,825.6,1956.25,1413.6,2763.55,1595.5,1229.327,663.905,1568.85,582.2,,1334.312,159.65,,138.912,
Dorado,,,,,,,,,,,,,3.471,,,,,,,,,,,,,,,,,,,,
Ica Huila,,,6,1.8,1.8,1.2,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,
Ica Morita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ica Nariño,,3,,,6.7,,,,,20.875,3.775,,,,,,,,,,,,,,,,,,,,,,
Ica Puracé,,130,215,181.2,240.1,207.4,310,40,93.5,165.325,117.45,140.2,190.325,,,,30.035,12.5,8.5,,,,,,,,,,,,,,
Ica Unica,,7,,,,21.6,,,,,,,0.55,,,,2.485,23.75,12.55,120.75,,,22.45,0.8,,,,,,,,,
Nova,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,
Parda Pastusa,,104,159,239.7,178.1,160.237,148,52.15,44.5,145.255,300.012,177.817,50.435,,,,3.505,18.55,1.05,3.5,1,,16.05,,,,,,216,,,,
Pastusa Suprema,,,,,,,,,,9.25,,25,37.1,,,,7.815,,93.55,,,7.5,85.9,,,,,,,,,,
Punto Azul,,,,,,,,,,,,,,,,,,,6.9,,,,1,,,,,,,,,,
Rubí,,,,,,,,,,,,,,,,,,,5.7,,,,36.05,,,,,,,,,,
Tuquerreña,,7,7,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
Yema de Huevo,,,3,6.2,18.1,,,,,,6.15,8.45,8,,,,25.63,34.55,,,9.4,,,,,,,,,,,,
SORGO (VAR.),20,88,193,86.5,194.9,47.825,167.95000000000002,65.525,87.425,45.230999999999995,239.7,58.25,71.6,23.3,40.55,25.275,29.525,6.725,13.9,5.775,13.5,2.675,0,0,4.475,0,0,0,0,0,0,0,0
Ica Nataima,,26,71,18.7,28.6,10.475,14.425,8.675,19.175,10.825,16.975,2,3.475,,,,,,,,,,,,,,,,,,,,
Icaima,,62,122,67.8,166.3,37.35,153.525,56.85,68.25,34.406,222.725,56.25,68.125,23.3,40.55,25.275,29.525,6.725,13.9,5.775,13.5,2.675,,,4.475,,,,,,,,
SORGO (HIBRIDO),20,299,308,494.59999999999997,637.8000000000001,330.849,350.403,203.39200000000002,237.807,203.741,104.368,116.989,104.28699999999999,148.499,12.82,2.539,8.86,28.56,0,53.995,31.117,0,50.835,0,0,0,0,0,0,0,0,0,0
Colosal,,,,,,,,,,25.26,4.46,4.46,,,,,,,,,,,,,,,,,,,,,
D-61,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
H W 1758,,155,,113,215.3,84.534,,,,34.02,83.984,54.889,74.687,,,,,,,,31.117,,,,,,,,,,,,
ICI 730,,,,,,,,,,,,,,,,,,,,50.595,,,,,,,,,,,,,
ICI 730,,,223,156.2,235.4,109.125,261.004,52.1,177.2,68,,,,,,,,,,,,,4.94,,,,,,,,,,
P 82G55,,11,,4,12,4.38,0.54,0.257,,0.929,0.334,,,,,,,,,,,,,,,,,,,,,,
Pioneer 30R92,,,,,,,,,,0.083,,,,,,,,,,,,,,,,,,,,,,,
Pioneer 83G88 **,,,,,,,,,,4.429,15.53,18.94,28.72,10.35,9.18,0.929,8.28,4.34,,,,,,,,,,,,,,,
Pioneer 8419 **,,25,,56.4,66.4,57.199,0.884,77.647,,,0.06,38.7,0.88,25.169,3.64,1.61,0.58,24.22,,,,,,,,,,,,,,,
Sinupar 2R,,108,17,118,35,15,2.825,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorgo 744,,,,,,,,,,35,,,,89.24,,,,,,3.4,,,45.895,,,,,,,,,,
Sorgo 744,,,68,47,73.7,45.811,85.15,73.388,60.607,36.02,,,,23.74,,,,,,,,,,,,,,,,,,,
TRIGO,130,0,0,0,0,0,15.411999999999999,0,4.852,51.741,4.175,61.29999999999999,18.026,21.359,17.464000000000002,17.523,11.758,0,0,0,0,0,0,0,0,22.027000000000005,4.8919999999999995,4.071,3.852,0,0.511,2.2720000000000002,2.31
Bochica,,,,,,,,,2.127,19.947,0.201,4.961,2.475,2.67,0.846,0.312,2.811,,,,,,,,,7.105,,,,,,,
Bonanza 63,,,,,,,,,0.4,2.583,0.55,5.471,,,,2.14,1.847,,,,,,,,,0.155,,,,,,,
Facianar promesa,,,,,,,,,,,,,,,,,1.395,,,,,,,,,0.2,,0.103,,,,,
FNC Fenix,,,,,,,,,,,,,,,,,,,,,,,,,,2.672,0.786,0.908,0.825,,,,
FNC Galeras,,,,,,,,,,,,,,,,,,,,,,,,,,5.51,,0.83,0.861,,,1.076,
FNC Tundama,,,,,,,,,,,,,,,,,,,,,,,,,,3.103,3.862,2.23,2.166,,0.511,1.196,2.31
Ica Gualmatán,,,,,,,,,0.049,0.45,0.115,2.417,,,,,,,,,,,,,,,,,,,,,
Ica Hunza,,,,,,,,,0.085,11.081,0.3,20.087,9.929,9.291,13.349,13.571,4.165,,,,,,,,,3.103,,,,,,,
Ica Tenza,,,,,,,,,1,5.589,0.233,7.37,0.028,3.012,0.243,,,,,,,,,,,0.074,,,,,,,
Ica Yacuanquer,,,,,,,11.25,,0.04,5.113,0.2,7.061,0.15,,1.938,1.5,1.54,,,,,,,,,,,,,,,,
Obonuco Obando 98,,,,,,,4.162,,,1,0.097,3.009,0.053,2.222,0.529,,,,,,,,,,,,,,,,,,
Obonuco Sequia 96,,,,,,,,,,1,0.05,3.239,0.2,1.268,0.559,,,,,,,,,,,,,,,,,,
Obonuco Sureño 97,,,,,,,,,0.9,4.878,1.842,6.888,2.85,2.896,,,,,,,,,,,,0.105,0.244,,,,,,
Tota 63,,,,,,,,,0.251,0.1,0.587,0.797,2.341,,,,,,,,,,,,,,,,,,,,
SOYA,80,130,682,72.1,832.8,284.075,1084.251,282.55,70.63,566.136,2033.562,630.575,2034.487,178.475,409.8,140,338.95,126.89999999999999,129.45,234.60000000000002,1295.375,208.637,1041.988,218.42000000000002,143.2,438.43000000000006,162.89600000000002,320.279,1031.8319999999999,93.539,698.355,58.95,426.271
AceitunoSY 4,,,,,,,,,,,,,,,,,,,,,,,15.4,,,,,,,,,,
AceitunoSY 5,,,,,,,,,,,,,,,,,,,,,,,36,16.4,,,,,,,,,
Cimarrona,,,,,,,,,,,,12.5,260,,,,,,,,111.725,,,,,,,,,,,,
Corpoica Sabana 7,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
Corpoica Superior 6,,,,,,,,,,,,,,,,,,,,,,,24.925,,,,0.096,,,,,,
Expro 31-16,,,,,116.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expro 33-20,,,,,165.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orinoquia 3,,,,,,,13.176,,,7.136,,,,,,,,,,,,,,,,,,,,,,,
Panorama 27 D,,,,,,,,,,41,102.624,127.75,119.262,102.975,3.75,,,23.8,21,130.8,54.5,52.65,69.625,2.25,34.8,27.5,5.6,0.8,,,25,,
Panorama 29 i,,,,,,,,,,24,50.938,110.325,135.225,75.5,406.05,140,338.95,103.1,108.45,103.8,181.6,149.787,749.863,90.9,67.6,290.93,79.15,218.329,948.832,55.839,561.505,55.35,426.271
Panorama 357,,,,,,,,,,,,,,,,,,,,,,,70,14.7,16.1,86.65,33.05,61.4,44,37.7,39.45,0.7,
Panorama 358,,,,,,,,,,,,,,,,,,,,,,,16.35,4,24.7,33.35,45,39.75,39,,72.4,2.9,
SOY SK5,,,,,,,,,,,,,,,,,,,,,34.7,,,,,,,,,,,,
SOY SK7,,,,,,,,,,,,,,,,,,,,,20.7,,,,,,,,,,,,
Soyica Ariari 1,,,,,,,,,,,,,,,,,,,,,73.075,,,,,,,,,,,,
Soyica P-34,,130,682,72.1,551.3,284.075,1071.075,282.55,70.63,494,1880,380,1520,,,,,,,,743.575,6.2,54.825,,,,,,,,,,
SSK,,,,,,,,,,,,,,,,,,,,,75.5,,,,,,,,,,,,
Superior 6,,,,,,,,,,,,,,,,,,,,,,,,90.17,,,,,,,,,
Fuente: ICA. División de Semillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elaboró: Ministerio de Agricultura y Desarrollo Rural- Dirección de Política Sectorial. Grupo de Sistemas de Información.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota: Las sumas totales pueden no coincidir ya que hay clases de semillas que no aparecen desagregadas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nota: (**) Hace referencia a semilla importada, para los años 2006 / 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
