Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
TABLA 98.  SEMILLA CERTIFICADA VENDIDA POR LOS PRODUCTORES Y DENSIDADES DE SIEMBRA A NIVEL SEMESTRAL. 2002 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Miles de Kilogramos),
Producto,Densidad de,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
,Siembra (kg/ha),A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceituno San Juan,,,,,,,,,,,,,,,,,208.25,389,447.4,221.95,,,63.95,44.1,22.6,,,,,,,,
Aceituno Yuma,,,,,,,,,,,,,,33.5,10.8,,,,,,,,54.2,44.2,,,,,,,,,
Agrocom 3-16,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,
Alejanda 3-18,,,,,,,,997.5,596.562,1299.5,1167.15,1346.35,234.65,881.05,134.75,80,6.95,4.4,3.75,44.8,,667.8,,,,,,,,,,,
Alejanda 5-24,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,
Arco Iris,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,3.2,,,,
Bonanza 6-30,,,,,,,,1049.353,672.615,965.45,466.503,799.5,291.3,185.43,91.5,147.25,,60.9,,10,,,,,,,,,,,,,
Bunde,,,,,,,,,,,,,,,,,,,,,,,,157.45,,100.5,,,,,,,
CF 205,,,,133,,789.65,,,,,,8.2,360,360,220,,,,,,,,,,,,,,,,,,
Cimarron,,,,,,,,126.188,68.625,159.188,63.938,,,,,,,,,,,,,,,,,,,,,,
Clerafield CF 205,,,,,,,,113.3,3.95,,,2.75,,,,,,,,,,,,,,,,,,,,,
Colombia XXI,,11675,834,1231,,780,,510,77.063,2.688,,,,127.3,150,50,4.1,,,,,,,,,,,,,,,,
Combeima,,,,,,,,,,,,,59.35,,,15.05,6.487,6.7,9.25,3.15,,,,,,,,,,,,,
Combeima 2,,,,,,,,,,,,,,,,12.5,8.987,3.475,,9.75,2.75,,,,,,,,,,,,
Coprosem 1,,1613,1953,2557,2453.9,1830.837,2080.125,1256.838,972.738,1353.05,1646.225,1662.3,1356.796,82.162,40.688,1.4,7.05,,,1.45,1.2,,,,,,,,,,,,
Coprosem 2,,220,142,337,389.6,422.875,334.937,220.563,253.625,403.063,73.563,177.376,33,254.563,,297.888,42.65,119.7,84.1,37.1,84.75,28.5,,18.45,41.45,0.165,,,,7,,,
Coprosem 301,,,,,,,,,,,,,0.03,0.5,,,,,,,57.8,369.25,220.5,73.3,,,,,,,,,
Coprosem 304,,,,,,,,,,,,19.112,729.1,509.927,665.3,402.163,236.175,57.15,15.3,1.5,489.45,1204.65,440.85,,,88,,,,,,,14
Coprosem 305,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,
Coprosem 306,,,,,,,,,,,,,0.01,,,,,,,,,,,209.35,,,,,,,,,
Coprosem el Bunde,,,,,,,,,,,,,,,,,,,,,,7.8,196.252,,,,,,,,,,
Dorado 510,,,,,,,,,,,,,,,35,,,191.7,,,80,,1.1,,,,,,,,,,
Escobal 3-12,,,,,,,,,,,,,,,,,,,,,,,53.05,725.9,342.95,614.4,506.95,353.35,167.7,66.1,96.75,97.5,2.25
Escobal 4-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.55
Fedearroz 174,,,,,,,,,,,,,,,125,1721,674.05,2116.5,194.7,2392.45,1634.55,2202,372.9,1050.4,747.6,1558.6,940.8,931.35,,739.55,3.95,89.3,150
Fedearroz 2000,,401,332,283,,,,1234.5,706.95,1531.038,2299,2178.1,213,1530,1000,1180,6.3,,950,1340,970,1886.6,1636.25,2696.3,3370,3669,4102,7166,5460,5727.85,3292.9,5576.65,2764.2
Fedearroz 275,,,,,,,,5.5,0.3,,,,,,40,,243.55,,,,,,,,,,,,,,,,
Fedearroz 369,,,,,,,,21,967.846,679.1,898,1558.3,1910,3809,2581,1849,,525.65,229.25,297.05,389.25,212.55,,131.5,,,,,,,,,
Fedearroz 473,,,,,,,,450,190.263,642.288,825,1330.3,1200,1540,1670,2022,1224.11,910,1030,1660,1523.15,1420.15,1790,2337.6,2430,2120,611.2,261.7,500,124.25,2.85,,
Fedearroz 50,,8802,6866,9591.7,,13807.25,6327.625,6876.999,2910.551,4292.575,3685,3041.4,3720,3557,1660,1740,1750,307.35,540,465,,26.75,2.9,,,,,,,,,,
Fedearroz 60,,,,,,,,,,,,1.45,40,1344,1308,4366,3787.27,2640,2246.25,1620,1780,2623,3326.5,4030,900,1840,280,806,,248.7,1.5,40.3,27.4
Fedearroz 67,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,2051.05,2822.9,5505,3403.35,6426.05,3871.5
Fedearroz 733,,,,,,,,,,,,,,320,610,1500,4.3,,2090,2098,2945.2,2802.65,3218.85,2505.95,1980.15,825,,1.7,,,,,
Fedearroz 809,,,,,,,,360,728.526,176.413,8,,,,,,,,,,,,,,,,,,,,,,
Fedearroz Acaima,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,
Fedearroz Chicala,,,,,,,,,,,,,,,,,,,60.85,,200,,,,,,,1.25,,,,,
Fedearroz Laguna,,,,,,,,,,,,,,,,,,,323,2540,3324.65,4201.5,781.45,683.5,700,404.1,,125,,0.55,,26.75,
Fedearroz Mocari,,,,,,,,,,,,,,,,,,,664.85,1085,1070,100,186,60,100,,,,,,,,
FL Fedearroz 68,,,,,,,,,,,,,,,,,,,,,,,,,,140,0.95,2205.5,2453.65,4151.4,2110.85,3618,691
Fortaleza,,,,,,,,,,,1695.361,,,,,,,,,4450.5,321.018,,118.332,160.6,12.34,,,,,,,,
Fortaleza 5-30,,,,,,,,942.6,865.96,2675.1,,4080.225,1712.28,6233.9,1824.502,6609,645.652,3269.5,711.45,,,483.033,,,,,,,,,,,
Horizonte 322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,
Horizonte 733,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,
Ica Yuma,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,
Inproarroz 15-50,,,,,,,,935.25,117.062,700.338,548.55,1585.4,386.75,2436.95,2795.5,3421.7,2159.45,3761.4,600.3,3034,,583.95,,,,,,,,,,,
Inproarroz 2-16,,,,,,,,1770.937,975.912,609.2,,1.7,66,300,,,10.95,726.75,593.3,101.2,,935.5,,,,,,,,,,,
Inproarroz 4-20,,,,,,,,,,,,,370.9,139,187.5,413.85,,1.8,,,,81.8,,,,,,,,,,,
IR-22,,,,13,,9.375,9.437,3,5.5,,,,,,,,,,,,,,,,,,,,,,,,
Katira 5,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.55,,,,,,
Linea 2,,328,354,428,258.1,,28.55,36.41,21.5,22.1,,23.15,,48.15,,,,,,,,,,,,,,,,,,,
Maja 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.8,129.15,,,,
Montecarlo 1,,,,,,,,,,,,,,,,,,,,1470.3,,,,,,,,,,,,,
Only Rice 228,,,,,,,,,,,,,,,,,,,940.5,,850.35,,784.7,,500.7,,,,,,,,
Orquidea 1,,,,,,,,,,,,,,,,,,,,,,,143.6,,,,,,,,,,
Oryzica 1,,1069,668,853,980.8,1197.897,,629.1,230.688,855.651,527.288,535.95,362.5,146.425,167.213,146.3,17.125,275.325,80.8,80,106.1,,19.438,,,5.8,,,,,,,
Oryzica 3,,59,36,,,,,,,,,,,,,3.95,,11,,,,,,,,,,,,,,,
Oryzica Caribe 8,,207,208,239,,651.493,435.987,307.287,319,580.794,463.138,601.1,303.1,117.9,222.7,,16.037,48.4,,,,,,,,,,,,,,,
Oryzica Llanos 5,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,
Oryzica Yacu 9,,26,48,,113.1,138.25,43.75,218.062,,163.126,126.25,112.95,79.2,16.6,2.95,,,,,,,,,,,,,,,,,,
Panorama 2008,,,,,,,,,,,,,,,226.95,,,1026.85,,1.9,2342.8,0.5,1.55,4.28,,,,,,,,,
Panorama Premium,,,,,,,,,,,,,,,,,,,,,,2.35,2,2.56,,,3,45.704,,,,,
Platinum 555,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,
Progreso 4-25,,1413,1396,1824,1402.1,,,1468.275,302.88,191.948,151.25,118.945,47.5,101.945,5.85,24.9,,38.75,,,,,,,,,,,,,,,
