Trigo,40800.0,38300.0,46400.0,56700.0,47300.0,43008.0,51298.0,51191.0,34977.0,29610.8,23621.5,19058.0,18576.300000000003,19841.8,14832.0,17872.0,19803.5,20030.0,20929.5,17606.5,18354.0,14219.0,11845.0,8695.0,7989.0,5916.0,4928.0,4385.0,2751.0,2010.0,1786
Maní,4020.0,4470.0,5350.0,3350.0,4615.0,3265.0,7783.0,6994.0,5382.0,6180.0,3884.0,1789.0,3948.0,3140.5,1948.3999999999999,1309.3000000000002,1550.0,1576.0,2105.0,2379.0,2283.0,2394.0,2855.0,3604.0,3182.0,2221.0,2696.0,1566.0,1679.0,1684.0,2393
Hortalizas,97718.0,104830.0,110600.0,87600.0,86800.0,78193.0,85478.0,87541.0,89805.0,91780.0,98524.39999999998,88108.5,95229.49999999999,96133.71999999999,94761.77,86612.68999999997,88332.63,88675.17,92067.32,101635.8,104361.0,111798.0,110480.0,106377.0,103858.6,118422.79199999999,119876.0,114929.79100000001,110568.83399999999,111577.05420000001,119485.01499999998
Permanentes,1164468.16017316,1186102.4675324676,1241669.0043290043,1247369.9976190478,1259843.9194805194,1335859.298809524,1402283.142857143,1398557.4278571429,1458375.6457142858,1493158.299904762,1470385.5035714284,1450119.962142857,1475808.771547619,1528938.7097619048,1538066.8764285713,1488795.1721645023,1536399.7203246753,1578702.6435064934,1590576.2801948055,1626596.853766234,2401148.87,2360355.35,2396199.1,2437579.5,2491252.7,2591854.2393839094,2932552.54,2776550.59,2842326.17,2866047.8117953,2903090.8462985475
Banano Exportación,24900.0,25050.0,26160.0,32400.0,34858.0,41085.0,44141.0,44475.0,43324.0,41292.0,41436.0,40500.0,42338.0,41086.0,40801.0,39167.0,42301.0,43807.5,43629.0,43791.0,44953.0,45445.0,46049.0,45105.0,48662.0,49261.0,48325.0,46694.0,47407.0,47582.0,49307
Cacao,104790.0,112250.0,118200.0,120712.0,125000.0,119689.0,125642.0,108550.5,120153.5,113188.3,105308.5,95412.7,97786.0,93491.8,93037.70000000001,99330.03,101110.53,104828.63,107137.03,109879.0,106035.1,107595.0,109271.0,126680.0,133099.75,151158.4,150093.0,154513.0,166637.0,169959.0,181383
Caña Azúcar ,108000.0,109250.0,110160.0,112640.0,116548.0,142224.0,175731.0,154461.0,179206.0,180391.0,184992.0,174444.8,205044.0,217569.6,203069.0,171639.0,176222.0,179881.0,183940.0,189679.0,186962.0,158559.0,193099.0,172427.0,185784.0,207464.0,193685.0,197471.0,199502.0,191293.0,173281
Plátano Exp.,6080.0,7050.0,7000.0,7000.0,7000.0,23000.0,23045.0,12783.0,12138.6,13117.0,10880.0,14037.8,14096.0,13899.0,13899.0,16849.0,16915.0,15733.0,17304.0,16612.0,14785.0,15598.0,15512.0,16277.0,16849.0,16513.0,16106.0,13046.0,14354.0,15666.0,13178
Total Tabaco Negro ,21140.0,21400.0,20530.0,19906.0,22633.0,15496.0,19139.0,14562.5,13578.96,16562.5,13620.5,17280.1,13749.8,14691.5,13378.1,13460.7,16152.64,16222.86,18564.3,17319.0,14927.1,11609.0,8698.0,10517.0,10660.0,12567.0,12084.0,12866.0,10585.0,8315.0,7242
Palma Africana ,51560.0,62870.0,76135.0,89671.0,97604.0,108510.0,113395.0,125321.0,131067.0,133688.0,145134.0,147493.0,148643.5,147439.0,154331.0,155208.0,167361.0,180227.0,192970.0,208875.0,221601.0,246586.0,258907.0,284241.0,334416.0,344643.0,379966.0,430634.0,479193.0,498362.0,527139
