Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
"TABLA 84.  PRESUPUESTO GENERAL DE LA NACIÓN, APROPIACIÓN Y EJECUCIÓN DEL SECTOR AGROPECUARIO. 1996 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Mill. de Pesos corrientes)
ENTIDAD,APROPIACIÓN,,,,,,,,,,,,,,,,,,,,,,EJECUCIÓN,,,,,,,,,,,,,,,,,,,,,
,1996,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,1996,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCIONAMIENTO,,,,,,,,,,,,,,,,,,,,,,,FUNCIONAMIENTO,,,,,,,,,,,,,,,,,,,,,
GESTION GENERAL MINAGRICULTURA,7196,10486.6,72009.2,99354.0,95065.4,94481.4,92395.9,93818.8,106720.8,116376.9,220413.6,253088.5,629123.0,227957.0,279322.0,164325.0,262625.9498,1182009.966,188339.1,307599.67,283648.98709218,339107.261733,6767,9972.7,69499.0,96094.4,84952.7,87881.9,90666.0,87468.1,101550.1,95893.5,169176.5,252217.6,592537.0,226874.0,278420.0,161646.860167,199365.51696,971358.91130835,170861.98570466,303131.27222906996,283648.98709218,335606.91538143
ICA,28799.1,33606.4,35650.4,50143.2,49937.1,48346.0,49109.7,50622.5,48786.8,51221.6,55445.2,51742.8,59946.0,52819.0,59476.0,62184.0,74856.166,104744.772,109398.657725,103055.258505,102893.763044,105357.433333,27682.2,32134.1,37020.3,45389.3,49049.3,47270.7,48159.9,46069.5,44978.4,49415.6,53188.4,51371.1,55264.0,51175.0,58965.0,61435.0,65624.322301,79828.08960204,90228.72009337001,90563.36224333002,97080.76542555001,102328.832655
INCORA EN LIQUIDACIÓN,30752.4,46609.6,46624.2,60591.6,58324.2,57650.0,64373.3,94295.5,69540.1,72046.1,58345.2,52412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28602.2,44506.5,43187.9,57947.2,57637.1,55316.0,62550.9,81129.9,60050.1,63978.1,55958.6,50885.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
INAT EN LIQUIDACIÓN,14100.1,17569.8,19546.2,33611.1,22367.4,18929.0,19665.7,19587.6,9388.8,14903.3,10054.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13920.8,17490.0,19123.7,33165.9,21307.1,17442.3,18788.7,14250.5,8186.3,14521.4,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
INPA EN LIQUIDACIÓN,5343.5,6182.1,7024.3,7530.5,8192.3,9296.1,9698.5,10361.8,4501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4883.8,5836.5,6384.6,7025.0,8015.8,7672.3,7946.9,7467.7,3016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DRI EN LIQUIDACIÓN,4353.1,5543.5,5559.2,6546.5,5521.5,5980.1,6403.6,4435.6,2360.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4020.7,5183.9,4775.0,5888.7,5182.9,5168.5,5502.1,3938.3,1853.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
INCODER,0,0.0,0.0,0.0,0.0,0.0,0.0,14225.7,29366.8,35414.6,41674.2,52853.2,49181.0,45690.0,50402.0,51761.0,62835.636093,55169.057,53815.897,56109.169861,56679.087212,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6230.4,27718.4,34599.9,38571.8,44066.6,45583.0,43558.0,49302.0,50108.0,53827.722079,47738.122729,47817.58788651,54835.93682296999,55701.01055682,0
UNAT - LIQUIDADA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UPRA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6800.0,7143.16,7280.1,7164.523482,7280.767655,8414.985152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.263386,3405.92009712,6317.020263,6519.58269472,7198.67807101,8275.45554066
AUNAP,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6148.301907,10066.545,10188.0,10864.916278,10629.553398,11373.788333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611.951386,7069.84326,9409.700454,9326.96631235,10384.16846325,10779.32390525
