Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
TABLA 88. INDICE NACIONAL DE PRECIOS DEL PRODUCTOR 2000 - 2017.,,,,,,,,,,,,
,,,,,,,,,,,'(Base: Diciembre  2014=100),
ÍNDICE DE PRECIOS DEL PRODUCTOR. RESUMEN****,,,,,,,,,,,,
,,,,,,,,,,,,
Año,mes,PRODUCCIÓN NACIONAL*,,,,OFERTA INTERNA,,,,PROCEDENCIAS,,
,,PRODUCCIÓN NACIONAL,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",MINERÍA,INDUSTRIA,OFERTA INTERNA,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA**",MINERÍA,INDUSTRIA,PRODUCIDOS Y CONSUMIDOS,IMPORTADOS ,EXPORTADOS
2000,Enero,48.07,49.23,27.28,51.91,53.71,48.36,26.18,56.65,49.36,73.33,46.23
,Febrero,49.19,51.5,28.96,52.55,54.71,50.35,26.63,57.38,50.38,74.27,47.98
,Marzo,49.87,53.53,28.5,52.96,55.45,52.12,26.64,57.83,51.16,74.82,48.21
,Abril,50.36,54.02,27.51,53.73,56.35,53,26.69,58.78,51.99,76.03,47.18
,Mayo,50.83,52.58,29.94,54.52,56.64,51.55,28.38,59.53,52.03,77.47,49.7
,Junio,51.1,51.5,31.51,55.03,57,50.37,29.71,60.31,52.1,79.18,50.92
,Julio,51.5,51.77,31.65,55.52,57.6,50.61,31.64,60.93,52.52,80.59,51.26
,Agosto,51.68,51.72,32.25,55.71,57.89,50.58,31.41,61.36,52.71,81.36,51.41
,Septiembre,52.27,52.25,33.96,56.12,58.36,51.13,33.09,61.72,53.15,81.88,52.7
,Octubre,52.05,51.73,32.75,56.19,58.37,50.75,32.6,61.89,53.36,81.07,50.54
,Noviembre,52.01,51.54,32.61,56.23,58.44,50.55,32.65,62.04,53.53,80.65,49.52
,Diciembre,52.09,51.52,31.06,56.64,58.82,50.55,32.49,62.56,53.81,81.43,48.62
2001,Enero,53.01,53.18,32.43,57.23,59.87,52.01,34.71,63.41,54.82,82.68,49.23
,Febrero,53.99,54.83,32.97,58.05,60.93,53.7,35.5,64.29,55.96,83.4,49.53
,Marzo,54.43,55.62,31.74,58.68,61.51,54.33,33.84,64.99,56.49,84.2,49.56
,Abril,55.37,57.08,33.31,59.33,62.4,55.76,35.4,65.66,57.35,85.22,51.01
,Mayo,55.97,57.57,34.98,59.78,62.91,56.33,37.11,66.08,57.85,85.75,52.09
,Junio,55.57,56.49,33.12,59.89,62.76,55.31,34.86,66.32,57.79,85.18,50.09
,Julio,55.37,56.17,32.06,59.88,62.8,55.01,34,66.51,57.81,85.29,48.81
,Agosto,55.37,56.11,31.94,59.93,62.99,55.06,34.27,66.74,58.05,85.26,47.68
,Septiembre,55.48,55.77,32.16,60.17,63.04,54.62,34.23,66.97,58.01,85.79,48.51
,Octubre,54.91,55.01,30.07,59.94,62.79,53.87,32.22,66.95,57.74,85.59,46.5
,Noviembre,54.67,55.1,28.92,59.75,62.71,54.06,31.74,66.82,57.7,85.31,45.29
,Diciembre,54.78,55.36,28.99,59.81,62.89,54.37,32.07,66.95,57.95,85.21,44.76
2002,Enero,55.1,56.13,29.31,59.98,63.16,55.29,31.72,67.06,58.39,84.7,44.59
,Febrero,55.32,56.06,30.24,60.17,63.35,55.14,32.88,67.29,58.58,84.85,44.9
,Marzo,55.86,56.5,31.79,60.56,63.7,55.65,34.43,67.52,58.99,84.88,46.04
,Abril,56.29,56.58,32.68,61.04,63.94,55.74,35.17,67.78,59.36,84.55,46.86
,Mayo,56.78,57.73,33.45,61.26,64.38,56.79,35.89,68,59.75,85.21,47.87
,Junio,56.96,57.48,33.94,61.53,64.61,56.48,35.58,68.43,59.75,86.5,48.89
,Julio,57.32,56.51,36.69,61.92,65.21,56.28,37.75,69.19,59.86,89.4,50.46
,Agosto,58.09,56.96,38.84,62.57,66,56.6,39.85,70.05,60.2,92.24,53.32
,Septiembre,59.37,58.74,41.05,63.51,67.3,58.34,41.9,71.17,61.19,94.96,56.04
,Octubre,60.16,60.27,41.36,64.14,68.4,59.83,42.24,72.17,61.86,98.02,57.52
,Noviembre,59.78,60.09,38.14,64.2,68.36,60.03,39.64,72.2,61.97,97.25,54.75
,Diciembre,60.34,59.59,41.41,64.65,68.73,59.35,42.77,72.73,62.08,98.81,57.5
2003,Enero,61.33,59.03,45.54,65.62,69.5,58.73,46.7,73.74,62.49,101.22,61.3
,Febrero,62.29,59.4,47.63,66.6,70.37,59.05,49.11,74.69,63.23,102.66,63.38
,Marzo,62.58,60.17,46.11,67.05,71.01,60.02,47.42,75.37,63.88,103.34,62.01
,Abril,62.96,62.95,42.7,67.28,71.78,62.67,44.22,75.78,64.88,103.04,59.53
,Mayo,62.86,62.4,42.15,67.42,71.82,62.19,43.8,76.02,64.98,102.8,58.49
,Junio,62.72,61.43,43.2,67.35,71.68,61.37,45.04,76,64.9,102.36,58.01
,Julio,62.92,61.38,43.73,67.58,71.83,61.28,45.71,76.2,65.03,102.65,58.6
,Agosto,63.1,60.47,44.81,67.98,71.95,60.44,46.43,76.57,65.13,102.81,59.14
,Septiembre,62.93,60.53,42.87,68.05,71.92,60.52,44.19,76.65,65.16,102.55,58.01
,Octubre,63.02,59.47,45.34,68.11,72.04,59.51,46.43,76.98,65.04,103.73,59.07
,Noviembre,63.42,59.98,45.82,68.46,72.41,60.21,46.68,77.28,65.59,103.35,58.84
,Diciembre,63.69,60.55,46.3,68.59,72.66,60.88,46.72,77.39,65.93,103.14,58.8
2004,Enero,64.41,61.44,46.93,69.28,73.16,61.57,47.68,77.81,66.67,102.5,59.47
,Febrero,65.03,62.71,47.28,69.71,73.86,62.96,48.48,78.29,67.47,102.79,59.31
,Marzo,65.43,63.42,47.08,70.13,74.26,63.3,49.02,78.68,68.09,102.1,58.75
,Abril,65.92,63.66,47.06,70.8,74.74,63.5,49.06,79.27,68.75,101.81,58.49
,Mayo,66.95,64.56,50.16,71.51,75.62,64.22,53.18,80.01,69.44,103.53,61.18
,Junio,67.18,64.69,49.09,72.02,75.89,64.48,52.2,80.36,69.7,103.89,61.31
,Julio,66.85,63.22,50.38,71.79,75.59,63.29,53.38,80.24,69.49,103.12,60.37
,Agosto,66.97,62.96,51.64,71.84,75.66,63.11,54.88,80.3,69.71,102.48,60.04
,Septiembre,67.25,63.66,51.88,71.98,75.89,63.91,55.6,80.33,70.1,101.98,59.83
,Octubre,68,63.29,55.73,72.56,76.22,63.35,59.83,80.71,70.39,102.5,62.75
,Noviembre,67.83,63.92,52.23,72.72,76.38,64.18,56.57,80.86,70.59,102.48,60.88
,Diciembre,67.24,64.2,47.6,72.55,76.03,64.61,52.23,80.51,70.58,100.57,57.48
2005,Enero,67.85,65.32,49.2,72.8,76.4,65.76,54.23,80.53,71.19,99.84,58.16
,Febrero,68.7,67.04,50.41,73.29,77.04,67.4,55.56,80.82,71.99,99.71,59.3
,Marzo,69.95,69.1,53.95,73.86,77.92,69.49,59.41,81.14,73,100.03,61.86
,Abril,69.75,68.49,53.16,73.91,77.84,68.89,58.7,81.28,72.9,100.04,61.14
,Mayo,69.75,68.49,52.11,74.09,77.89,68.91,57.55,81.39,72.97,99.96,60.82
,Junio,70.1,68.34,54.73,74.21,77.97,68.68,60.89,81.37,73.11,99.8,62.22
,Julio,69.99,67.86,55.08,74.15,77.89,68.27,61.85,81.34,73.08,99.46,61.71
,Agosto,70.18,67.42,57.62,74.13,77.87,67.82,64.98,81.26,73.11,99.18,62.6
,Septiembre,69.83,66.72,57.47,73.87,77.56,67.07,65,81.08,72.82,98.84,61.99
,Octubre,70.16,68.15,55.94,74.15,77.91,68.53,63.42,81.19,73.29,98.6,61.69
,Noviembre,69.84,67.67,53.7,74.23,77.75,68.02,61.1,81.28,73.17,98.28,60.37
,Diciembre,69.74,66.86,54.56,74.2,77.61,67.19,61.51,81.3,73,98.25,60.6
2006,Enero,70.57,67.88,57.65,74.57,78.18,68.26,64.99,81.56,73.66,98.43,62.32
,Febrero,70.61,68.58,55.68,74.73,78.31,68.77,63.07,81.69,73.85,98.29,61.63
,Marzo,71.43,70.13,56.69,75.27,79.05,70.33,63.79,82.17,74.7,98.52,62.43
,Abril,73.16,71.17,61.36,76.73,80.42,71.38,68.58,83.44,76.11,99.73,65.8
,Mayo,73.95,70.62,64.94,77.48,81.01,70.77,71.73,84.25,76.36,101.89,69.16
,Junio,74.53,70.69,66.13,78.15,81.69,70.74,73.28,85.09,76.61,104.54,71.4
,Julio,75.2,70.48,70.18,78.51,82,70.42,76.39,85.42,77.02,104.33,73.27
,Agosto,74.96,71.17,66.66,78.54,82,71.31,73.41,85.32,77.42,102.45,70.01
,Septiembre,74.69,71.49,62.2,78.82,82.19,71.65,68.19,85.78,77.55,102.96,67.87
,Octubre,74.4,71.38,60.28,78.76,82.02,71.56,65.39,85.75,77.45,102.51,66.64
,Noviembre,74.08,70.9,58.64,78.74,81.82,71.24,64.52,85.61,77.45,101.52,64.79
,Diciembre,74.37,70.67,60.27,78.97,81.91,71.08,66.12,85.69,77.66,100.85,65.47
2007,Enero,74.72,70.71,60.31,79.49,82.07,70.71,66.23,85.99,78.01,100.17,65.83
