Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
TABLA 62.  EXPORTACIONES DE CAFÉ COLOMBIANO SEGÚN PUERTOS DE EMBARQUE. AÑOS CAFETEROS 1989/90 - 2016/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,( Miles de sacos de 60kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Años,Barranquilla,,Buenaventura,,Cartagena,,Santa Marta,,Otros*,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014/15
,Sacos,% ,Sacos,% ,Sacos,% ,Sacos,% ,Sacos,% ,Sacos,% ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011/2012,0,0,3928.853,53.83465332967936,3041.162,41.67117018361194,291.025,3.987736366127706,36.96000000000049,0.5064401205809879,7298,100,,,,,,,,,,,,,,,,,,,,,,,,,,,11.068
2012/2013,0,0,4980.325,56.29622416010995,3502.285,39.5888664761016,328.57,3.7140649199173397,35.461270000002514,0.4008444438710975,8846.641270000004,99.99999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,15.814
2013/2014,0,0,6280.116,57.922877850562294,4055.154,37.40156866644168,476.155,4.391681284698322,30.77799999999843,0.2838721982976931,10842.203,100,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073
2014/2015,0,0,7217.479,58.783703603192926,4344.871,35.38737127716041,674.573,5.494148204756351,41.10399999999936,0.33477691489031064,12278.027,100,,,,,,,,,,,,,,,,,,,,,,,,,,,15.683
2015/2016,0,0,6997.28,56.818596127704126,4310.463,35.001380010577236,973.54,7.905239760902104,33.839999999999236,0.27478410081652643,12315.123,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/2017,0,0,7410.094,54.946554587004016,4610.315,34.185925955970795,1435.087,10.641307138964747,30.507000000001426,0.226212318060447,13486.003,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Período Octubre - septiembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.188
"*  Aeropuerto Eldorado, Medellín, Cúcuta, Paraguachón, Calí, Pasto e Ipiales desde 1996 Barranquilla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    A partir de 1995/1996 B/quilla esta incluida en otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.745
FUENTE:  FEDERACAFE - Grupo de Información Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.967
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.733
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10486.107
