Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
TABLA 82. PRODUCCIÓN ACUÍCOLA POR ESPECIES  1995 - 2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,(Toneladas),
ESPECIES,1995,1996,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,,,,,,,,,,,,,,,,,,,,,,
PECES,,,,,,,,,,,,,,,,,,,,,,,
Cachama,3181,6154,12131.167599999999,12335.306,13445.483540000003,6511.0,6923.0,7873.0,7720.0,7124.0,6768.0,17415.0,10424.0,12189,8985,8372,10489,9659,21360,24611,20777,22024,22455
Tilapia,16057,14025,16112.339399999999,18203.729000000003,19842.064610000005,10176.0,11991.0,15224.0,17815.0,24307.0,27953.0,23146.0,27324.0,31356,42602,46313,45692,44383,52766,60798,63157,66946,73641
Trucha,3181,4506,7822.55,6481.476000000001,7064.8088400000015,2254.0,2049.0,1931.0,2997.0,3933.0,4079.0,2416.0,1065.0,4617,5733,2395,4389,9025,9034,10409,15828,16778,20226
Bocachico,ND.,3,317.74199999999996,1202.857,1311.11413,1473.904,2060.633,2064.665950012207,2330.9,2447.4,2545.3,2682.0,2826.0,ND.,ND.,ND.,ND.,ND.,ND.,N.D,N.D,N.D,N.D
Carpa,ND.,83,285.17560000000003,794.5560000000002,866.06604,877.255,786.713,418.0575,666.0,679.3,686.1,777.0,879.0,ND.,ND.,ND.,ND.,ND.,ND.,N.D,N.D,N.D,N.D
Otros,4,ND.,211.539,403.474,439.78666,2351.0,2848.0,2483.0,2997.0,3126.0,3231.0,5555.0,7453.0,5782,7140,8650,11600,11772,1266,1459,3352,3552,3907
TOTAL PECES,22423,24771,36880.5136,39421.398,42969.32382000001,23643.159,26658.346,29993.723450012207,34525.9,41616.700000000004,45262.4,51991.0,49971.0,53944,64460,65730,72170,74839,84426,97277,103114,109300,120229
,,,,,,,,,,,,,,,,,,,,,,,
CRUSTÁCEOS,,,,,,,,,,,,,,,,,,,,,,,
Camarón ,8091,5221,6907.20229,7466.31847,9227.534,10000.0,10939.0,14604.0,16503.0,18040.0,19303.0,21300.0,20300.0,19292,18123,12576,9410,8084,3542,3268,2852,3270,4807
TOTAL CRUSTACEOS,8091,5221,6907.20229,7466.31847,9227.534,10000.0,10939.0,14604.0,16503.0,18040.0,19303.0,21300.0,20300.0,19292,18123,12576,9410,8084,3542,3268,2852,3270,4807
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,30514,29992,43787.71589,46887.71647,52196.85782000001,33643.159,37597.346000000005,44597.72345001221,51028.9,59656.700000000004,64565.4,73291.0,70271.0,73236,82583,78306,81580,82923,87968,100545,105966,112570,125036
"Fuente: Cadena Nacional Acuicultura –MADR. Boletines Estadísticos del INPA, 1995-2003,INCODER 2004-2005,  MADR-INCODER-CCI, 2006-2010, Encuesta piscícola  MADR-CCI, 2009 - 2012.",,,,,,,,,,,,,,,,,,,,,,,
ND.: No disponible,,,,,,,,,,,,,,,,,,,,,,,
