Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
TABLA 107. PRECIOS MENSUALES DE LOS PRINCIPALES PLAGUICIDAS COMERCIALIZADOS EN COLOMBIA  2006 - 2016,,,,,,,,,
,,,,,,,,,
Fecha,FUNGICIDAS,,,HERBICIDAS,,,INSECTICIDAS,,
,Mancozeb 80%,Clorotalonil 720 G/L,Propineb 70%,Glifosato 480 G/L,"2,4 D Amina + Picloram  240 + 64 g/l",Paraquat 200 g/l,Clorpirifos 480 g/l,Metamidofos 600 g/l,Carbofuran 330 g/l
,($/Kilo),($/Litro),($/Kilo),($/Litro),($/Litro),($/Litro),($/Litro),($/Litro),($/Litro)
,,,,,,,,,
2006,,,,,,,,,
Enero,7733.805721598826,19478.208565216435,22885.30155738792,8748.420576259547,21067.56816209217,13883.052728849041,19913.483538034627,19929.442728833194,22186.67703455964
Febrero,7272.493274960385,18356.486905580838,23018.652237832823,8449.9867246578,21348.487726923897,12125.627870706656,20254.88781823064,18238.022725146613,20886.661151750504
Marzo,8564.786968126635,25508.26304699865,22932.68130916475,8380.645676835777,22051.51150303762,12412.692175939863,21114.932319023523,18114.914151764737,24243.572687663847
Abril,9204.04210055866,29205.77923913424,22923.823498530033,8617.349393511271,21801.59971106351,13076.27194169326,20480.87951498906,18714.82690626153,23595.191769955713
Mayo,8611.989345035063,29276.132603794096,23131.165456301005,8323.205389530354,21835.842609329327,13570.228636668588,20718.44489850291,19219.93468853618,23231.019616140245
Junio,8869.785220551024,26699.127029462128,23166.64990091714,8575.297133238495,22123.634321533744,14086.28572796592,21374.475725687782,18478.462874918085,23417.496942748763
Julio,7422.241060870322,27506.98402227812,22477.158091161727,8623.382231181022,21545.566790559715,12294.864429234673,17758.521290566823,18169.1256995203,21990.04281763181
Agosto,8781.967957991252,25449.192684499918,22617.100574162625,8267.635982866848,21624.14184878024,12779.151642645038,19703.767846716524,18400.976957026483,23793.01968593922
