Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
TABLA 5.  ESTIMACIÓN DE ÁREA SEMBRADA CON SEMILLA CERTIFICADA VENDIDA. 1996 - 2017,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,(Hectáreas),
Fríjol,0.062440564835914085,0.015522200072289098,0.028071716630882107,0.15164133096341964,0.3456057353963,0.22326802426317657,0.06894196936726875,0.5840742367020638,0.5988536004619627,0.5077465524497307,0.8000967719637797,0.5272790723545754,0.4175772396032204,1.3226632002274852,0.03470047565042233,0.1774246594312025,12.224014388807795,0.07811151034771956,0.062471230354442034,0.135260575520488,0.05805956017650106,0
Maíz,17.534608542510455,10.98975856373845,16.988198690425115,14.30145864452104,25.044605220475553,21.789689857213677,10.275900086973207,29.205504518222057,34.21946543978397,11.107935832358937,21.41556688037737,24.746240113460573,8.459408648094342,15.555074551661003,14.679182624715178,16.89652637202668,14.54248271676927,14.951978309004355,9.27392533281023,151.8088675488749,29.24507138647554,21.37372139967222
Maní,108.37957824639291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84350721420644,39.900110987791344,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Papa,0.792736986332915,1.5290978322789555,1.0500159626704153,0.9725530390826553,1.1346143482733009,0.5307849237824143,0.7280786030222015,0.8329221998796152,0.8784550172384318,0.3919900025797633,1.6201525432123225,1.9978869115812519,0.1853503627932869,0.6399065492541911,1.4867378247426344,1.3696987773888583,1.9131556319862426,0.8192733570747466,0.8960931836928537,1.1705531569929188,0.4911916119586266,0.05202855416564101
Sorgo,76.13943603989185,60.24585970502683,104.82648940637709,82.24407823738771,127.19075178300012,91.99643210475752,63.81035919186972,100.28265515397905,58.56468791604668,43.734533779476905,58.20261935582122,40.82600809264685,51.394531428310586,14.356972457167643,13.44744613365416,32.39032901296112,58.74338475396915,3.930514125285138,0.0,0.0,0,0
Soya,131.29773241127387,63.630505822248814,67.40123527696535,59.719912834230115,118.95791364948005,51.969735396060535,38.17943014989519,41.38984076860886,50.93559906700544,11.56606937021901,113.53801772099732,114.73552244563383,27.94179110148562,18.983372921615203,11.806758300475366,59.82545045045045,32.12502311818014,14.331462633564792,21.688007710312544,44.0577670029457,24.215882957381222,10.410230003432886
Trigo,5.094882116158712,4.0598044853364,3.1167337550316274,2.4726854514088554,18.987924094307076,0.0,0.0,0.0,0.0,0.425531914893617,4.945370902817711,7.027027027027027,3.427257044278321,2.587694077055779,0.0,0.0,0.0,0.0,4.743443557582668,2.2173754998182478,0.1990049751243781,1.9596864501679732
Total,37.29773809223949,26.550350298977037,35.43457643828654,26.12845852686859,38.395794238333245,35.997340354154254,27.220249162222643,30.848946672427562,36.84548317917758,22.25564028274306,30.162013632624596,30.00129155931996,24.777338155158127,24.569269594210247,22.151058829631957,30.49260008814003,31.41254747700829,19.47954750036396,13.770814710626603,72.47055414683508,24.95445555211711,0
Nota: La información hace referencia a años agrícolas.,,,,,,,,,,,,, ,,,,,,,,,
"FUENTE : ICA-División de Semillas, suministrada por los productores de semilla.",,,,,,,,,,,,,,,,,,,,,,
Elaboró: Ministerio de Agricultura y Desarrollo Rural. Oficina Asesora de Planeación y Prospectiva.,,,,,,,,,,,,,,,,,,,,,,
