Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Casanare,Rendimiento,0.0,5197.750702905342,3342.915811088296,3928.2758620689656,4877.06611570248,3416.4904862579283,4049.7787610619466,2754.7082611207393,3596.97265625,4129.894736842106,4328.83435582822,3993.548387096774,3967.4593241551943,3941.1146161934803,4086.170212765958,4501.714285714286,4367.851622874807,4330.588235294118,4255.364806866953,3804.0540540540537,5114.882506527415,4723.287671232876,5808.917197452229,3394.6666666666665,4416.309012875537,2615.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guaviare,Superficie,0.0,381.0,506.0,508.0,659.0,474.8,804.4,331.0,818.0,88.5,79.0,59.0,28.0,582.0,531.0,230.0,315.0,315.0,290.0,345.0,382.0,0.0,0.0,0.0,0.0,0.0
Guaviare,Producción,0.0,2286.0,3048.0,3048.0,3954.0,2985.6,4420.0,1986.0,9224.2,1044.6,901.9,118.0,56.0,1373.5,1122.0,548.0,840.0,740.0,870.0,985.0,1019.0,0.0,0.0,0.0,0.0,0.0
Guaviare,Rendimiento,0.0,6000.0,6023.715415019763,6000.0,6000.0,6288.121314237573,5494.778717056191,6000.0,11276.528117359414,11803.389830508473,11416.45569620253,2000.0,2000.0,2359.9656357388317,2112.994350282486,2382.608695652174,2666.6666666666665,2349.2063492063494,3000.0,2855.0724637681155,2667.539267015707,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Superficie,5051.333441558441,7880.914285714285,8167.262012987014,9219.964935064934,8654.415584415585,9653.95422077922,8490.915259740259,8085.516071428571,6750.00487012987,6023.691233766234,4930.018831168831,6088.550324675325,5398.8435064935065,6021.630194805195,6751.783766233766,6051.0,5427.35,5568.0,3946.0,3941.998086124402,4048.0,3576.0,3351.0,3565.0,2987.0,3514.0
Total,Producción,31337.0,52051.96693815748,67028.9704191903,83904.03214536181,78622.84887631495,65426.31839974498,61871.96153490596,47884.92628817342,32423.01426362767,25500.80290898948,21364.926284985657,24475.885011475933,22508.120439910745,25038.15247210711,27439.182166082246,23529.0,21924.31,22869.0,14758.0,14409.922660055014,15179.0,14475.0,13704.0,14444.0,16154.0,18798.0
Total,Rendimiento,6203.708458876135,6604.813229920792,8207.030742078005,9100.255015749784,9084.709199532183,6777.152336078106,7286.8424241933435,5922.309208855852,4803.406054876498,4233.418002244686,4333.639894012406,4019.985662643122,4169.063321216647,4158.035558827125,4063.9900678259105,3888.448190381755,4039.597593669102,4107.219827586207,3739.98986315256,3655.486975190851,3749.7529644268775,4047.818791946309,4089.52551477171,4051.612903225807,5408.101774355541,5349.459305634604
Nota: Superficie en hectáreas (ha); Producción en toneladas métricas (t); Rendimiento en kilogramos por hectárea (kg/ha). Producción y Rendimientos en términos de Miel.,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUENTE: Evaluaciones Agropecuarias Municipales. Ministerio de Agricultura y Desarrollo Rural - Secretarías de Agricultura Departamentales - UMATA. Años 2006 al 2012 Convenio MADR - CCI. Para el año 2013 Contrato MADR - UT -CRECE Federación Nacional de Cafeteros - 2015 Convenio Interadministrativo CCI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elaboró:  Oficina Asesora de Planeación y Prospectiva - Grupo de Información y Estadísticas Sectoriales.,,,,,,,,,,,,,,,,,,,,,,,,,,,
