Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
TABLA 47. INVENTARIO DE GANADERÍA BOVINA EN COLOMBIA 2004 - 2017,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Departamento,INVENTARIO GANADERO,,,,,,,,,,,,,
,2004,2005,2006,2007,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017
AMAZONAS,3272,6952,7150,7148,8318.0,7148.0,1687.0,2367.0,2209.0,1497.0,1442.0,1264.0,1552.0,823
ANTIOQUIA,2550915,2658773,2707044,2655852,2621234.0,2635578.0,2634637.0,2646356.0,2571478.0,2474777.0,2535479.0,2632125.0,2760633.0,3038218
ARAUCA,668000,679000,679000,683000,777680.0,845130.0,929800.0,1023500.0,1044750.0,1056850.0,1059000.0,1048543.0,1096641.0,1162032
ATLANTICO,254572,246384,251157,254169,254169.0,224254.0,242402.0,203673.0,207822.0,215941.0,229744.0,224978.0,217003.0,238413
BOGOTÁ DISTRITO CAPITAL,NR,NR,NR,NR,25760.0,27788.0,21302.0,21302.0,19441.0,22861.0,26699.0,26125.0,33725.0,34238
BOLIVAR,876831,936942,893951,892013,909909.0,884147.0,880660.0,789868.0,790754.0,841755.0,884297.0,925446.0,1002017.0,1172465
BOYACA,715020,757169,765162,766628,804977.0,632620.0,816965.0,834371.0,775990.0,719706.0,754999.0,748701.0,837567.0,1172503
CALDAS,397928,400570,402296,390345,382405.0,364396.0,370224.0,346688.0,337187.0,351698.0,363548.0,370345.0,428324.0,448895
CAQUETA,1220069,1176296,1186131,1204803,1204473.0,1196656.0,1250166.0,1293544.0,1338753.0,1338602.0,1304403.0,1340049.0,1486685.0,1809702
CASANARE,1586700,1615700,1623700,1620700,1652300.0,1704000.0,1754100.0,1837000.0,1862540.0,1840500.0,1900000.0,1845226.0,1861776.0,1992767
CAUCA,230654,242975,245552,249989,255743.0,237860.0,236914.0,257673.0,266718.0,271476.0,263497.0,273663.0,276891.0,298025
