Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
TABLA 59. INVENTARIO BUFALINO 2004 - 2017,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DEPARTAMENTO,2004,2005,2006,2007,2008,2009,2010,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0
AMAZONAS,840,1540,1500,1500,1500,792,940,692.0,350.0,138.0,160.0,160.0,180.0,173.0
ANTIOQUIA,9562,10480,16410,15753,15694,20695,29186,28074.0,35877.0,45081.0,48018.0,53657.0,56659.0,55869.0
ARAUCA,648,650,622,597,695,2005,1830,2095.0,2345.0,2180.0,3270.0,3171.0,4147.0,5149.0
ATLANTICO,581,205,328,539,537,770,1362,1760.0,2558.0,1407.0,1520.0,1603.0,1717.0,2776.0
BOLIVAR,539,608,451,1591,1615,1922,9597,8750.0,10625.0,13197.0,15175.0,15721.0,20246.0,2.0
BOYACA,1225,1225,1225,1225,1225,106,3125,2984.0,3846.0,3476.0,3507.0,3507.0,3507.0,24684.0
CALDAS,1482,943,1765,1949,2195,1886,1909,1909.0,1909.0,2092.0,2557.0,2319.0,2206.0,5318.0
CAQUETA,288,320,438,710,1138,2123,2818,3724.0,3623.0,3998.0,5912.0,6999.0,9047.0,2466.0
CASANARE,1364,1217,1436,1303,1303,2420,2620,2655.0,4750.0,4750.0,5035.0,0.0,5983.0,7100.0
CAUCA,567,576,576,576,576,576,97,102.0,316.0,287.0,271.0,213.0,229.0,8287.0
CESAR,1450,2765,2765,3141,7884,7683,6086,6366.0,9085.0,9595.0,10023.0,11536.0,12541.0,290.0
CHOCO,9,9,0,0,0,67,37,35.0,668.0,68.0,64.0,236.0,233.0,18468.0
CORDOBA,0,16021,18126,24639,28679,35352,36669,43133.0,49485.0,50040.0,58261.0,65172.0,80330.0,946.0
CUNDINAMARCA,599,599,637,599,599,1416,649,3200.0,2415.0,2630.0,2630.0,2630.0,5064.0,89315.0
DISTRITO CAPITAL,-,-,-,-,-,-,-,0.0,3.0,9.0,9.0,9.0,9.0,2355.0
GUAINIA,7,0,5,5,5,5,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUAVIARE,0,0,106,95,95,20,21,28.0,60.0,170.0,280.0,449.0,509.0,154.0
HUILA,0,0,92,92,12328,122,235,214.0,433.0,429.0,452.0,738.0,507.0,623.0
LA GUAJIRA,200,4,4,1366,546,517,104,47.0,47.0,49.0,74.0,242.0,153.0,614.0
MAGDALENA,342,1574,1574,3561,3560,7347,7786,7347.0,9840.0,14691.0,16534.0,17490.0,20647.0,25272.0
META,4228,4710,6779,6822,6800,7800,8252,8860.0,9135.0,9260.0,8990.0,8559.0,13086.0,9956.0
NARINO,0,0,2089,1254,1360,13127,1542,1610.0,1302.0,1407.0,1344.0,1210.0,1252.0,1249.0
NORTE SANTANDER,384,388,388,420,590,1100,1245,1480.0,1621.0,1275.0,1911.0,2431.0,2224.0,1836.0
PUTUMAYO,30,38,46,46,126,2355,204,319.0,314.0,338.0,473.0,483.0,634.0,482.0
QUINDIO,645,687,798,905,255,169,382,382.0,375.0,342.0,291.0,383.0,509.0,476.0
RISARALDA,429,144,307,205,136,251,323,323.0,323.0,504.0,435.0,379.0,390.0,735.0
SANTANDER,13621,9629,12245,10128,13758,14941,21160,22071.0,22085.0,35246.0,29646.0,28133.0,40037.0,46544.0
SUCRE,0,1099,2188,3067,3698,5735,7166,22895.0,10253.0,10717.0,12788.0,15733.0,20203.0,21111.0
TOLIMA,1878,1953,812,1342,1646,2260,2211,2207.0,2412.0,2489.0,2572.0,2947.0,2904.0,1875.0
VALLE,1492,1646,1642,1868,1572,1572,1430,1503.0,1844.0,1972.0,1949.0,1974.0,2047.0,1361.0
VAUPES,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VICHADA,10,0,53,79,90,80,90,300.0,180.0,515.0,843.0,867.0,1380.0,931.0
Total,42420,59030,75407,85377,110205,135214,149076,175065.0,188079.0,218352.0,234994.0,248951.0,308580.0,336417.0
Fuente: ICA,,,,,,,,,,,,,,
