Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"TABLA 79. BALANZA COMERCIAL ANUAL DE PESCADOS Y CRUSTÁCEOS, MOLUSCOS Y DEMÁS INVERTEBRADOS ACUÁTICOS ",,,,,,,,,
                  SEGUN ZONA MUNDIAL AÑOS 2009-2017,,,,,,,,,
,,,,,,,,(Balanza Miles FOB Dol),
Año,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016,2017.0
Grupo,,,,,,,,,
ALIANZA PACÍFICO,-14036.716049999997,-14718.90237,-18980.7296,-19203.779480000005,-29812.737399999995,-42743.20749,-40938.15026,-40073.56739,-45792.02916
CA Y EL CARIBE,-1367.1257699999996,-2182.38424,-3260.25379,-2398.2476399999996,-1922.57193,-2574.56202,-1780.7430399999998,-1607.4329899999998,-1260.0655500000003
CAN,-12218.940439999998,-13858.527389999996,-12425.552770000002,-15472.80994,-25183.17826,-29270.67456,-27000.591549999997,-36273.052699999986,-30829.20339
CARICOM,-12453.246340000002,-10565.870630000001,-8728.21227,-3255.72899,-1166.85041,-17491.412740000003,-10570.21242,-11581.855959999999,-4571.48287
EFTA,-367.24460999999997,48.95044,-166.76165,-223.15133000000003,-623.8278100000001,-1484.58302,-1654.0288999999998,-1815.7605,-2520.1535100000006
JAPON,2469.85273,2972.57427,1958.68962,1452.4071299999998,1447.8273699999995,1163.11511,1253.3727199999998,1442.3326999999997,1328.2018600000001
MERCOSUR,-10699.35139,-10517.520400000001,-11614.82627,-12418.88384,-14587.49041,-18911.127259999997,-20855.52243,-19793.792639999996,-16785.402570000002
RESTO MUNDO,91885.48754000003,61536.225799999986,46931.234960000016,4725.095020000008,-27740.370179999984,-16223.419779999953,-5899.321289999985,-18975.799500000016,-63502.10244000002
TRIANGULO NORTE,445.66754999999995,640.04075,927.8756600000002,1600.9130899999996,1016.66976,239.73715,8.12834,-310.40343,5.317
UNIÓN EUROPEA,44720.305770000006,29089.09006,23055.397729999993,18070.126790000002,13757.607680000001,17924.15462,17254.487650000003,24839.815640000004,31459.070190000006
USA,22733.98063,29191.05504,30796.470159999997,37046.83845,26048.46128999999,39931.23018000001,42485.485510000006,39652.72454000001,45143.876910000006
VENEZUELA,-18.26,,-80.0,-18.54,-22.47965,,,-53.888749999999995,-142.51695999999998
TOTAL GENERAL,111094.40962000003,71634.73132999998,48413.33178,9904.239260000002,-58788.93994999999,-69440.74980999994,-47697.09567,-64550.68097999999,-87466.49049
Fuente: Cubo de Comercio Exterior por subpartida arancelaria a 4 dígitos NANDINA .,,,,,,,,,
