Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
TABLA  97.  PRECIOS MENSUALES TRANSADOS EN LA BOLSA MERCANTIL DE COLOMBIA PARA ALGUNOS PRODUCTOS PECUARIOS A NIVEL NACIONAL. 1995 - 2015,,,,,,,,,,,,,,
,,,,,,,,,,,,,($/t),
AÑOS,Año,   Ene, Feb,   Mar,   Abr,    May,   Jun,   Jul,  Ago, Sep,Oct,  Nov, Dic,Prom.
Productos,,,,,,,,,,,,,,
GANADO EN PIE LOTES*,1995,897903,936687,881054,991659,1081723,1095857,1125797,1092483,1090363,1070171,1076593,945190.4166666666,1023790.0347222221
,1996,1080950,1109951,1102636,1135372,1129780,1118025,1117912,1117257,1127385,1132336,1091837,1140939,1117031.6666666667
,1997,1132463,1118863,1127731,1157779,1211895,1242518,1227052,1219229,1233866,1192859,1255230,1228714,1195683.25
,1998,1256936,1254181,1324310,1448679,1526697,1561041,1617564,1547207,1585524,1558969,1574644,1552352,1484008.6666666667
,1999,1520796,1549648,1561182,1532387,1572510,1535162,1472041,1286498,1356317,1281309,1290868,1405120,1446986.5
,2000,1402798,1415269,1570750,1594057,1584975,1633393,1588678,1596570,1617782,1479957,1622646,1634616,1561790.9166666667
,2001,1556558,1710069,1686410,1938454,2113684,2201718.738973,2074823.216131,2166536,2194189,2094306,2165219,2142417,2003698.6629253335
,2002,2206775,2159178,2164557,2187355,2249216,2152085,2291854,2212919,2219212,2171762,2172325,2186798,2197836.3333333335
,2003,2255111,2175327,2192773,2310400,2308146,2422002,2299103,2252484,2229694,2169181,2175418,2117535,2242264.5
,2004,2224425,2214801,2240926,2308621,2356330,2413979,2446176,2385842,2348771,2336827,2327804,2333947.9,2328204.158333333
,2005,2369268,2355221,2355915,2471984,2463196.8528492157,2446132,2420022,2432722,2419263,2416676,2426563,2345352,2410192.9044041014
,2006,2488089.3625433994,2459547,2481713.7031184547,2542482,2552726,2574003,2632989,2643972,2653360.8465677598,2660756.67283155,2647432,2666187.3,2583604.9070884306
,2007,2718236,2785365,2842707,3112006.671699587,3425543.7426919835,3321090.6409370424,3215171.75362201,3111965.51305385,3086037.668384053,3036599.6400754387,3245498.25000692,3265481.82883338,3097141.975775355
,2008,3368682.84442061,3318081.674124767,3589658.701614096,3234888,3252364,3173238.2627479723,3220458,3161057,3165951,3226498.51912404,3630122.1345167668,3381709.62546345,3310225.813500975
,2009,3446735.8061271524,3420332.81411338,3422260.4586503617,3449077.597284951,3496738,3380513.83034338,3248366.043893744,3206387.306,2999524.693,2900272.98242546,2658492.7857467667,2663613.3008885947,3191026.3015394825
,2010,2663504.920247103,2552090.02557192,2613491.73685837,2865343.10661718,2855112.4787667897,2805908.375991507,2845498.5638854755,2733796.860740085,2776470.46224792,2692166.998812327,2675993.96193777,2728567.0278247143,2733995.3766250964
,2011,2789850.60961552,2903243.018647494,2923104.447698094,2813080.5414145645,2872288.4491301,2839871.539243881,2874012.6443948713,2798821.948346871,2796830.7804484987,2795915.130543639,2798695.386714542,2821949.8210963844,2835638.6931078713
,2012,2848494.9237964326,2866078.452975907,2907538.3248121357,3008181.574314226,3101624.769188676,3167243.6218590653,3169276.032309245,3169045.8592183683,3138324.951728202,3112784.6765820053,3026862.77068168,3020465.0415416104,3044660.0832506292
,2013,3055203.77760623,3094819.684166238,3106454.629655825,3273044.8868418704,3289859.9293523147,3290167.931874671,3259232.882297134,3213381.1613463056,3243320.462683081,3219604.391516909,3221351.066637947,3183304.568014386,3204145.4476660755
,2014,3194596.6823337325,3197820.7619945677,3209711.445256189,3254529.02584342,3299536.6648874963,3294575.9463972533,3315880.13343926,3309588.5592744914,3270792.6059250506,3266690.00427422,3260819.2240720275,3247194.3415801707,3260144.616273156
,2015,3236964.6624651197,3278571.9050695095,3309981.41878499,3361137.6691309535,3371465.6011935486,3426440.9337169933,3440583.0843134997,3377766.2320793625,3599261.5903696055,3590000,3537000,3516000,3420431.0914269653
,,,,,,,,,,,,,,
CARNE DE RES DESPOTADA,1996,2756149,3188589,2884391,3774029,4034031,3385450,3676411,3369611,3832663,3538481,3831195,3616503,3490625.25
,1997,3828226,3784523,3506422,4239046,3980347,3706607,4227517,4268063,4255346,4080250,4271460,4436793,4048716.6666666665
,1998,3621151,4748125,4382179,4542617,4763637,4078432,4384813,4125698,4528211,4641845,4039863,4227911,4340373.5
,1999,3978326,4471668,3584005,4098246,5785446,3658842,5045403,4933422,3143295,3844224,5043530,3990477,4298073.666666667
